"Inequality-adjusted education index"
"HDI Rank (2017)","Country","2010","","2011","","2012","","2013","","2014","","2015","","2016","","2017",""
"89"," Peru","0.455","","0.515","","0.502","","0.502","","0.534","","0.547","","0.577","","0.583",""
"113"," Philippines","0.542","","0.547","","0.557","","0.566","","0.581","","0.584","","0.584","","0.584",""
"33"," Poland","0.773","","0.778","","0.766","","0.806","","0.776","","0.807","","0.815","","0.825",""
"41"," Portugal","0.674","","0.684","","0.692","","0.708","","0.710","","0.712","","0.626","","0.635",""
"37"," Qatar","","","","","","","","","","","","","0.615","","0.619",""
"52"," Romania","0.681","","0.738","","0.725","","0.728","","0.729","","0.732","","0.716","","0.714",""
"49"," Russian Federation","0.686","","0.696","","","","0.789","","0.794","","0.810","","0.814","","0.814",""
"158"," Rwanda","0.303","","0.305","","0.313","","0.311","","0.314","","0.307","","0.318","","0.318",""
"90"," Saint Lucia","","","","","","","","","0.600","","0.614","","0.614","","0.591",""
"104"," Samoa","","","","","","","","","","","","","","","0.658",""
"143"," Sao Tome and Principe","0.352","","0.377","","0.381","","0.392","","0.393","","0.420","","0.446","","0.455",""
"39"," Saudi Arabia","","","","","","","","","","","","","0.658","","0.660",""
"164"," Senegal","0.159","","0.176","","0.185","","0.188","","0.192","","0.196","","0.198","","0.197",""
"67"," Serbia","0.642","","0.670","","0.668","","0.664","","0.695","","0.704","","0.706","","0.714",""
"184"," Sierra Leone","0.181","","0.188","","0.192","","0.191","","0.189","","0.198","","0.202","","0.206",""
"9"," Singapore","","","","","","","","","","","","","0.757","","0.764",""
"38"," Slovakia","0.788","","0.805","","0.811","","0.810","","0.808","","0.819","","0.817","","0.819",""
"25"," Slovenia","0.843","","0.850","","0.830","","0.857","","0.854","","0.857","","0.868","","0.866",""
"152"," Solomon Islands","0.305","","","","","","0.350","","0.354","","0.359","","","","",""
"113"," South Africa","0.547","","0.544","","0.542","","0.569","","0.590","","0.611","","0.607","","0.607",""
"187"," South Sudan","","","","","","","","","0.179","","0.180","","0.180","","0.180",""
"26"," Spain","0.735","","0.750","","0.756","","0.761","","0.771","","0.778","","0.666","","0.671",""
"76"," Sri Lanka","0.606","","0.610","","0.636","","0.638","","0.653","","0.655","","0.653","","0.653",""
"167"," Sudan","","","","","","","","","0.183","","0.186","","0.187","","0.189",""
"100"," Suriname","0.481","","0.485","","0.489","","0.496","","0.503","","0.511","","0.539","","0.537",""
"7"," Sweden","0.822","","0.818","","0.821","","0.832","","0.851","","0.871","","0.872","","0.870",""
"2"," Switzerland","0.859","","0.862","","0.868","","0.838","","0.841","","0.843","","0.876","","0.876",""
"155"," Syrian Arab Republic","0.368","","0.375","","0.384","","0.309","","0.295","","0.282","","0.282","","",""
"127"," Tajikistan","0.608","","0.605","","0.586","","0.586","","0.621","","0.618","","0.617","","0.616",""
"154"," Tanzania (United Republic of)","0.297","","0.279","","0.305","","0.291","","0.301","","0.315","","0.322","","0.322",""
"83"," Thailand","0.512","","0.513","","0.514","","0.517","","0.528","","0.537","","0.542","","0.573",""
"80"," The former Yugoslav Republic of Macedonia","0.546","","0.551","","0.588","","0.602","","0.604","","0.616","","0.618","","0.618",""
"132"," Timor-Leste","0.275","","0.264","","0.264","","0.264","","0.264","","0.264","","0.265","","0.278",""
"165"," Togo","0.271","","0.279","","0.282","","0.305","","0.305","","0.306","","0.309","","0.309",""
"98"," Tonga","0.719","","","","","","","","","","","","","","0.736",""
"69"," Trinidad and Tobago","0.661","","0.663","","0.665","","0.667","","0.667","","0.668","","0.674","","",""
"95"," Tunisia","0.383","","0.389","","","","","","0.419","","0.423","","0.429","","0.431",""
"64"," Turkey","0.441","","0.464","","0.473","","0.573","","0.582","","0.587","","0.591","","0.595",""
"108"," Turkmenistan","0.561","","","","","","","","","","","","0.606","","0.604",""
"162"," Uganda","0.354","","0.330","","0.328","","0.337","","0.349","","0.354","","0.356","","0.378",""
"88"," Ukraine","0.766","","0.739","","0.743","","0.743","","0.766","","0.766","","0.766","","0.766",""
"14"," United Kingdom","0.877","","0.853","","0.844","","0.889","","0.894","","0.885","","0.835","","0.880",""
"13"," United States","0.873","","0.873","","0.858","","0.837","","0.850","","0.850","","0.853","","0.853",""
"55"," Uruguay","0.613","","0.627","","0.640","","0.651","","0.668","","0.655","","0.678","","0.679",""
"105"," Uzbekistan","0.665","","0.672","","0.682","","0.689","","0.692","","0.694","","0.698","","0.712",""
"138"," Vanuatu","","","","","","","","","0.436","","0.436","","0.437","","0.437",""
"78"," Venezuela (Bolivarian Republic of)","0.570","","0.588","","0.589","","0.597","","0.601","","0.604","","0.627","","0.646",""
"116"," Viet Nam","0.483","","0.499","","0.504","","0.503","","0.503","","0.510","","0.511","","0.516",""
"178"," Yemen","0.163","","0.172","","0.175","","0.184","","0.181","","0.181","","0.188","","0.188",""
"144"," Zambia","0.420","","0.429","","0.436","","0.438","","0.452","","0.452","","0.454","","0.454",""
"156"," Zimbabwe","0.418","","0.411","","0.451","","0.452","","0.461","","0.461","","0.464","","0.464",""
""
