"Remittances, inflows (% of GDP)"
"37"," Qatar","","","","","","","","","","","0.34","","0.43","","0.29","","0.24","","0.27","","0.25","","0.40",""
"52"," Romania","","","0.02","","0.26","","0.95","","0.39","","0.38","","0.43","","1.84","","1.70","","1.73","","1.86","","2.03",""
"49"," Russian Federation","","","0.04","","0.19","","0.45","","0.34","","0.30","","0.26","","0.29","","0.38","","0.50","","0.52","","0.51",""
"158"," Rwanda","0.10","","1.63","","0.38","","0.34","","1.84","","2.65","","2.49","","2.23","","2.29","","1.92","","2.04","","2.36",""
"72"," Saint Kitts and Nevis","9.24","","6.18","","5.77","","5.57","","6.67","","5.93","","6.95","","6.54","","2.39","","2.30","","1.14","","1.12",""
"90"," Saint Lucia","3.33","","3.31","","3.04","","2.85","","2.10","","2.05","","2.07","","2.02","","2.08","","1.95","","0.07","","1.88",""
"99"," Saint Vincent and the Grenadines","6.50","","4.91","","4.87","","4.07","","4.26","","4.32","","4.49","","4.38","","6.02","","5.51","","0.21","","5.28",""
"104"," Samoa","34.19","","18.02","","16.73","","17.64","","21.54","","21.57","","22.18","","20.45","","19.61","","17.89","","17.30","","16.68",""
"143"," Sao Tome and Principe","","","","","","","1.20","","3.22","","2.95","","2.52","","8.77","","7.69","","6.33","","5.09","","4.65",""
"39"," Saudi Arabia","","","","","","","0.03","","0.04","","0.04","","0.03","","0.04","","0.04","","0.04","","0.05","","0.04",""
"164"," Senegal","2.48","","2.99","","4.99","","9.06","","11.41","","11.21","","11.08","","11.97","","12.61","","14.14","","13.73","","13.67",""
"67"," Serbia","","","","","","","","","10.44","","8.52","","8.71","","8.84","","8.36","","9.07","","8.37","","8.66",""
"62"," Seychelles","2.04","","0.10","","0.51","","1.32","","1.79","","2.37","","1.67","","0.97","","1.12","","1.34","","1.55","","1.46",""
"184"," Sierra Leone","0.00","","2.72","","1.12","","0.15","","1.72","","2.00","","1.70","","1.42","","1.25","","1.14","","1.32","","1.30",""
"38"," Slovakia","","","0.10","","0.06","","1.93","","1.78","","1.78","","2.06","","2.10","","2.37","","2.44","","2.36","","2.26",""
"25"," Slovenia","","","1.27","","0.99","","0.72","","0.72","","0.95","","0.55","","0.64","","0.74","","0.98","","0.81","","0.82",""
"152"," Solomon Islands","","","","","0.99","","1.73","","2.10","","1.81","","1.95","","1.83","","1.39","","1.61","","1.65","","1.23",""
"113"," South Africa","0.12","","0.05","","0.24","","0.24","","0.28","","0.28","","0.27","","0.27","","0.26","","0.26","","0.26","","0.25",""
"187"," South Sudan","","","","","","","","","","","","","","","","","0.01","","6.80","","24.07","","",""
"26"," Spain","0.41","","0.45","","0.11","","0.10","","0.11","","0.11","","0.16","","0.22","","0.22","","0.22","","0.21","","0.23",""
