Country,Human Development Index (HDI),[Education] Education Index,[Education] Expected years of schooling (years),[Education] Mean years of schooling (years),[Gender] Female share of employment in senior and middle management (%),"[Gender] Share of employment in nonagriculture, female (% of total employment in nonagriculture)",[Gender] Total unemployment rate (female to male ratio),[Gender] Youth unemployment rate (female to male ratio),[Health] Life expectancy Index,[Health] Life expectancy at birth (years),[Income_composition of resources] Gross national income (GNI) per capita (2011 PPP$),[Income_composition of resources] Income Index,"[Work, employment and vulnerability] Employment in agriculture (% of total employment)","[Work, employment and vulnerability] Employment in services (% of total employment)","[Work, employment and vulnerability] Employment to population ratio (% ages 15 and older)","[Work, employment and vulnerability] Unemployment, total (% of labour force)","[Work, employment and vulnerability] Unemployment, youth (% ages 15–24)","[Work, employment and vulnerability] Vulnerable employment (% of total employment)"
KAZ,0.684,0.619,12.3,8.3,,48.2,1.3,1.0,0.7120000000000001,66.3,12230.0,0.726,45.7,38.2,70.4,1.1,1.3,44.4
KEN,0.466,0.379,9.0,3.9,,38.2,1.92,1.32,0.568,56.9,2245.0,0.47,45.6,40.8,66.1,10.2,19.8,60.4
KGZ,0.611,0.616,11.8,8.7,,43.2,1.29,1.11,0.713,66.3,3096.0,0.519,39.1,42.6,59.2,5.5,9.7,45.3
KHM,0.368,0.28,6.8,2.7,,42.4,0.89,0.84,0.522,53.9,965.0,0.342,79.9,16.0,79.5,0.9,1.6,92.0
KIR,,,10.8,,,,,,0.629,60.9,2113.0,0.461,,,,,,
KNA,,,12.8,,,,,,0.732,67.6,13802.0,0.7440000000000001,,,,,,
KOR,0.7390000000000001,0.6859999999999999,13.7,9.2,,38.5,0.68,0.79,0.802,72.1,12687.0,0.732,16.4,47.7,58.9,2.4,7.1,36.2
KWT,0.6729999999999999,0.429,8.8,5.5,,25.7,1.0,1.0,0.804,72.2,34365.0,0.882,4.6,76.8,64.2,0.7,3.0,1.4
LAO,0.405,0.294,6.7,3.2,,35.6,0.93,0.93,0.524,54.1,1756.0,0.433,86.3,10.5,79.1,2.6,5.6,91.1
LBN,,,11.9,,,22.9,1.36,0.99,0.778,70.5,11500.0,0.7170000000000001,3.8,75.7,39.9,9.1,22.1,36.5
LBR,,,,2.7,,47.2,0.59,0.81,0.42200000000000004,47.4,657.0,0.284,41.2,49.7,53.3,5.6,4.6,79.4
LBY,0.688,0.527,14.2,4.0,,17.5,1.74,1.16,0.752,68.9,23170.0,0.823,7.4,66.9,39.0,20.2,43.7,39.0
LCA,,,12.9,,,42.4,1.33,1.09,0.7879999999999999,71.2,9347.0,0.685,28.4,49.8,51.5,17.8,32.2,24.3
LIE,,,,9.2,,,,,0.866,76.3,82279.0,1.0,,,,,,
LKA,0.63,0.6,11.4,8.5,,30.7,2.25,1.25,0.764,69.6,3703.0,0.546,42.8,30.6,51.2,14.7,41.9,38.6
LSO,0.499,0.418,9.7,4.5,,54.7,1.45,1.19,0.607,59.5,2571.0,0.49,61.7,24.5,48.0,36.4,50.7,65.7
LTU,0.728,0.6579999999999999,12.6,9.2,,49.6,0.78,0.94,0.775,70.3,15062.0,0.758,17.3,45.8,51.4,17.6,32.1,13.0
LUX,0.79,0.61,11.3,8.9,,35.7,1.91,0.96,0.852,75.4,53116.0,0.948,3.5,66.2,51.1,1.5,2.6,7.2
LVA,0.6990000000000001,0.61,12.6,7.8,,49.9,0.81,0.96,0.747,68.6,14400.0,0.7509999999999999,18.1,47.8,49.0,20.0,34.5,11.9
MAR,0.46399999999999997,0.258,6.5,2.3,,25.8,1.08,0.96,0.696,65.3,3990.0,0.557,41.2,35.1,42.1,17.3,28.5,49.1
MDA,0.64,0.597,11.8,8.1,,52.5,0.72,1.04,0.732,67.6,5331.0,0.601,43.4,36.4,45.8,8.5,18.4,28.3
MDG,,,6.6,,,44.9,1.07,1.01,0.486,51.6,1416.0,0.4,78.3,16.0,81.6,5.8,9.7,86.7
MDV,,,,3.9,,27.9,2.33,1.29,0.65,62.2,5570.0,0.607,27.2,48.1,49.3,0.8,1.8,63.7
MEX,0.654,0.48100000000000004,10.5,5.7,,35.6,1.61,1.02,0.7879999999999999,71.2,13030.0,0.736,26.8,50.1,56.9,3.1,5.3,36.8
MHL,,,,,,,,,,,3546.0,0.539,,,,,,
MKD,,,10.4,,,40.2,0.96,0.97,0.79,71.3,8999.0,0.68,19.0,36.3,35.4,36.0,61.6,19.5
MLI,0.23800000000000002,0.085,2.2,0.7,,44.5,1.37,1.09,0.401,46.1,1395.0,0.39799999999999996,50.0,36.3,49.0,3.1,4.8,90.9
