Country,Human Development Index (HDI),[Education] Education Index,[Education] Expected years of schooling (years),[Education] Mean years of schooling (years),[Gender] Share of seats in parliament (% held by women),[Health] Life expectancy Index,[Health] Life expectancy at birth (years),[Income_composition of resources] Gross national income (GNI) per capita (2011 PPP$),[Income_composition of resources] Income Index
PHL,0.611,0.552,11.1,7.3,11.6,0.718,66.7,4466.0,0.574
PLW,,,,11.1,3.3,0.708,66.0,12488.0,0.7290000000000001
PNG,0.435,0.259,5.7,3.1,1.8,0.63,61.0,2790.0,0.503
POL,0.759,0.741,13.8,10.7,12.7,0.8079999999999999,72.5,12644.0,0.731
PRK,,,,,20.1,0.6890000000000001,64.8,,
PRT,0.773,0.652,15.7,6.5,13.0,0.86,75.9,23334.0,0.8240000000000001
PRY,0.618,0.499,10.7,6.0,5.6,0.759,69.3,6197.0,0.623
PSE,,,10.6,,,0.772,70.2,3844.0,0.551
QAT,0.8,0.596,13.4,6.7,,0.86,75.9,97480.0,1.0
ROU,0.696,0.628,11.0,9.7,5.6,0.765,69.7,10369.0,0.701
RUS,0.7040000000000001,0.682,11.9,10.6,7.5,0.7020000000000001,65.6,12357.0,0.728
RWA,0.28800000000000003,0.248,6.4,2.1,17.1,0.308,40.0,787.0,0.312
SAU,0.731,0.535,11.6,6.4,,0.794,71.6,43684.0,0.9179999999999999
SDN,0.384,0.214,5.1,2.2,5.3,0.575,57.4,2103.0,0.46
SEN,0.37,0.204,5.0,2.0,11.7,0.574,57.3,1737.0,0.431
SGP,0.7929999999999999,0.6,12.0,8.0,4.8,0.887,77.7,49489.0,0.937
SLB,,,7.2,,,0.633,61.1,1836.0,0.44
SLE,0.268,0.242,6.2,2.1,,0.253,36.4,800.0,0.314
SLV,0.595,0.46299999999999997,11.1,4.6,15.5,0.738,68.0,5911.0,0.616
SMR,,,,,11.7,,,,
SOM,,,,,,0.446,49.0,,
SRB,0.705,0.66,12.9,9.0,,0.799,71.9,8158.0,0.665
SSD,,,,,,0.429,47.9,,
STP,0.47700000000000004,0.379,9.1,3.8,7.3,0.66,62.9,1783.0,0.435
SUR,,,11.3,,15.7,0.735,67.8,9518.0,0.688
SVK,0.757,0.708,12.3,11.0,14.7,0.809,72.6,14899.0,0.7559999999999999
SVN,0.7959999999999999,0.7440000000000001,13.1,11.4,7.8,0.847,75.1,20111.0,0.8009999999999999
SWE,0.8740000000000001,0.845,17.0,11.1,40.4,0.91,79.2,31385.0,0.868
SWZ,0.504,0.401,9.5,4.1,8.5,0.512,53.3,6207.0,0.624
SYC,,,12.0,,27.3,0.7879999999999999,71.2,18196.0,0.7859999999999999
SYR,0.5870000000000001,0.424,9.9,4.5,9.6,0.807,72.4,5027.0,0.5920000000000001
TCD,,,4.0,,2.4,0.424,47.6,1038.0,0.354
TGO,0.424,0.371,8.9,3.7,1.2,0.523,54.0,1353.0,0.39399999999999996
THA,0.625,0.46299999999999997,10.1,5.5,6.6,0.773,70.3,9115.0,0.682
TJK,0.5379999999999999,0.63,10.0,10.6,2.8,0.679,64.1,1116.0,0.364
TKM,,,,,18.0,0.6629999999999999,63.1,4348.0,0.57
TLS,,,,,,0.557,56.2,8675.0,0.674
