Country,Human Development Index (HDI),[Education] Education Index,[Education] Expected years of schooling (years),[Education] Mean years of schooling (years),[Health] Life expectancy Index,[Health] Life expectancy at birth (years),[Income_composition of resources] Gross national income (GNI) per capita (2011 PPP$),[Income_composition of resources] Income Index,[Socio-economic sustainability] Research and development expenditure (% of GDP)
KOR,0.789,0.7509999999999999,14.9,10.1,0.836,74.3,17573.0,0.7809999999999999,2.2
KWT,0.772,0.5660000000000001,13.3,5.9,0.813,72.8,92724.0,1.0,
LAO,0.441,0.32799999999999996,7.4,3.6,0.565,56.7,2138.0,0.46299999999999997,
LBN,,,12.7,,0.8079999999999999,72.5,13298.0,0.7390000000000001,
LBR,,,,3.2,0.47700000000000004,51.0,226.0,0.12300000000000001,
LBY,0.7090000000000001,0.579,15.0,4.9,0.769,70.0,19919.0,0.8,
LCA,,,13.1,,0.787,71.2,10375.0,0.701,
LIE,,,,9.5,0.883,77.4,84815.0,1.0,
LKA,0.655,0.642,12.0,9.3,0.758,69.3,4538.0,0.5760000000000001,0.2
LSO,0.48700000000000004,0.429,9.8,4.7,0.544,55.4,2615.0,0.493,
LTU,0.7120000000000001,0.679,12.4,10.0,0.768,69.9,9851.0,0.693,0.5
LUX,0.8170000000000001,0.657,12.3,9.5,0.871,76.6,54773.0,0.953,
LVA,0.68,0.631,11.9,9.0,0.74,68.1,8630.0,0.6729999999999999,0.4
MAR,0.499,0.303,7.4,2.9,0.726,67.2,4229.0,0.5660000000000001,
MCO,,,,,,,,,
MDA,0.591,0.586,10.7,8.7,0.7190000000000001,66.8,2536.0,0.488,0.9
MDG,,,7.5,,0.545,55.4,1334.0,0.391,
MDV,0.5529999999999999,0.368,9.2,3.4,0.7140000000000001,66.4,7124.0,0.644,
MEX,0.677,0.517,10.8,6.5,0.818,73.2,12864.0,0.7340000000000001,0.3
MHL,,,,,,,3903.0,0.5539999999999999,
MKD,,,11.3,,0.805,72.3,7615.0,0.654,
MLI,0.271,0.12300000000000001,3.3,1.0,0.41,46.7,1348.0,0.39299999999999996,
MLT,0.763,0.625,13.4,7.6,0.8809999999999999,77.2,20754.0,0.8059999999999999,
MMR,0.40399999999999997,0.301,7.5,2.8,0.628,60.8,1009.0,0.349,
MNE,,,,,0.828,73.8,9234.0,0.684,
MNG,0.561,0.486,8.0,7.9,0.638,61.4,4374.0,0.5710000000000001,
MOZ,0.253,0.177,4.3,1.7,0.402,46.1,449.0,0.22699999999999998,
MRT,0.428,0.249,5.8,2.7,0.609,59.6,3016.0,0.515,
MUS,0.652,0.523,11.3,6.2,0.775,70.4,9157.0,0.682,
MWI,0.385,0.381,10.4,2.8,0.408,46.5,1127.0,0.366,
MYS,0.695,0.555,10.7,7.8,0.8,72.0,14998.0,0.757,0.2
NAM,0.581,0.523,12.0,5.6,0.606,59.4,6011.0,0.619,
NER,0.235,0.10099999999999999,2.5,0.9,0.42,47.3,751.0,0.305,
NGA,,,7.3,,0.39799999999999996,45.9,2652.0,0.495,
NIC,0.534,0.41,9.1,4.7,0.737,67.9,2821.0,0.504,
NLD,0.866,0.8220000000000001,16.9,10.6,0.887,77.6,36345.0,0.8909999999999999,1.9
NOR,0.888,0.8320000000000001,15.8,11.8,0.892,78.0,51736.0,0.9440000000000001,
NPL,0.42,0.31,8.5,2.3,0.605,59.3,1350.0,0.39299999999999996,
NRU,,,,,,,,,
NZL,0.8540000000000001,0.858,17.0,11.6,0.8809999999999999,77.2,23558.0,0.825,
OMN,,,9.9,,0.773,70.3,38824.0,0.9009999999999999,
PAK,0.433,0.237,5.1,2.9,0.642,61.7,3424.0,0.534,
PAN,0.6940000000000001,0.586,11.3,8.1,0.835,74.3,9184.0,0.6829999999999999,0.3
PER,0.648,0.586,12.2,7.4,0.747,68.5,6147.0,0.622,
PHL,0.606,0.5489999999999999,11.1,7.2,0.715,66.5,4273.0,0.5670000000000001,
PLW,,,,11.0,0.7,65.5,12721.0,0.732,
PNG,0.4320000000000001,0.25,5.4,3.0,0.626,60.7,3053.0,0.516,
