Country,Human Development Index (HDI),[Demography] Old age dependency ratio (old age (65 and older) per 100 people (ages 15-64)),"[Demography] Population, ages 15–64 (millions)","[Demography] Population, ages 65 and older (millions)","[Demography] Population, total (millions)","[Demography] Population, under age 5 (millions)","[Demography] Population, urban (%)",[Demography] Sex ratio at birth (male to female births),[Demography] Young age (0-14) dependency ratio (per 100 people ages 15-64),[Education] Education Index,[Education] Expected years of schooling (years),"[Education] Expected years of schooling, female (years)","[Education] Expected years of schooling, male (years)",[Education] Government expenditure on education (% of GDP),"[Education] Gross enrolment ratio, pre-primary (% of preschool-age children)","[Education] Gross enrolment ratio, primary (% of primary school-age population)","[Education] Gross enrolment ratio, secondary (% of secondary school-age population)","[Education] Gross enrolment ratio, tertiary (% of tertiary school-age population)",[Education] Mean years of schooling (years),"[Education] Mean years of schooling, female (years)","[Education] Mean years of schooling, male (years)",[Education] Population with at least some secondary education (% ages 25 and older),"[Education] Population with at least some secondary education, female (% ages 25 and older)","[Education] Population with at least some secondary education, male (% ages 25 and older)",[Education] Primary school teachers trained to teach (%),"[Education] Pupil-teacher ratio, primary school (number of pupils per teacher)","[Gender] Adolescent birth rate (births per 1,000 women ages 15-19)","[Gender] Antenatal care coverage, at least one visit (%)","[Gender] Contraceptive prevalence, any method (% of married or in-union women of reproductive age, 15–49 years)","[Gender] Estimated gross national income per capita, female (2011 PPP$)","[Gender] Estimated gross national income per capita, male (2011 PPP$)",[Gender] Female share of employment in senior and middle management (%),[Gender] Gender Development Index (GDI),[Gender] Gender Inequality Index (GII),"[Gender] Human Development Index (HDI), female","[Gender] Human Development Index (HDI), male",[Gender] Mandatory paid maternity leave (days),[Gender] Proportion of births attended by skilled health personnel (%),"[Gender] Share of employment in nonagriculture, female (% of total employment in nonagriculture)",[Gender] Share of seats in parliament (% held by women),[Gender] Total unemployment rate (female to male ratio),"[Gender] Unmet need for family planning (% of married or in-union women of reproductive age, 15–49 years)",[Gender] Women with account at financial institution or with mobile money-service provider (% of female population ages 15 and older),[Gender] Youth unemployment rate (female to male ratio),"[Health] Infants lacking immunization, DTP (% of one-year-olds)","[Health] Infants lacking immunization, measles (% of one-year-olds)",[Health] Life expectancy Index,[Health] Life expectancy at birth (years),"[Health] Life expectancy at birth, female (years)","[Health] Life expectancy at birth, male (years)",[Human Security] Refugees by country of origin (thousands),[Income_composition of resources] Domestic credit provided by financial sector (% of GDP),[Income_composition of resources] Gross domestic product (GDP) per capita (2011 PPP $),"[Income_composition of resources] Gross domestic product (GDP), total (2011 PPP $ billions)",[Income_composition of resources] Gross fixed capital formation (% of GDP),[Income_composition of resources] Gross national income (GNI) per capita (2011 PPP$),[Income_composition of resources] Income Index,[Inequality] Coefficient of Human Inequality,[Inequality] Inequality in education (%),[Inequality] Inequality in income (%),[Inequality] Inequality in life expectancy (%),[Inequality] Inequality-adjusted HDI (IHDI),[Inequality] Inequality-adjusted education index,[Inequality] Inequality-adjusted income index,[Inequality] Inequality-adjusted life expectancy index,[Inequality] Overall loss in HDI due to inequality (%),[Mobility and communication] International student mobility (% of total tertiary enrolment),[Socio-economic sustainability] Gross capital formation (% of GDP),[Socio-economic sustainability] Skilled labour force (% of labour force),[Trade and financial flows] Exports and imports (% of GDP),"[Trade and financial flows] Foreign direct investment, net inflows (% of GDP)",[Trade and financial flows] Private capital flows (% of GDP),"[Trade and financial flows] Remittances, inflows (% of GDP)","[Work, employment and vulnerability] Employment in agriculture (% of total employment)","[Work, employment and vulnerability] Employment in services (% of total employment)","[Work, employment and vulnerability] Employment to population ratio (% ages 15 and older)","[Work, employment and vulnerability] Labour force participation rate (% ages 15 and older)","[Work, employment and vulnerability] Labour force participation rate (% ages 15 and older), female","[Work, employment and vulnerability] Labour force participation rate (% ages 15 and older), male","[Work, employment and vulnerability] Unemployment, total (% of labour force)","[Work, employment and vulnerability] Unemployment, youth (% ages 15–24)","[Work, employment and vulnerability] Vulnerable employment (% of total employment)","[Work, employment and vulnerability] Youth not in school or employment (% ages 15-24)"
GAB,0.7020000000000001,7.5,1.2,0.1,2.0,0.3,89.0,1.03,60.2,0.628,12.8,12.5,13.4,,,,,,8.2,7.4,9.1,57.6,65.6,49.8,,,95.3,,,11789.0,20825.0,,0.9109999999999999,0.534,0.67,0.735,98.0,,24.0,17.4,1.9,,53.7,1.15,19.0,37.0,0.715,66.5,68.2,64.9,0.2,18.7,16562.0,33.5,,16431.0,0.7709999999999999,22.3,23.5,20.4,23.1,0.545,0.48100000000000004,0.613,0.55,22.3,,,,,,,,41.9,45.6,41.3,51.4,42.9,59.4,19.6,36.5,32.2,
GBR,0.922,29.0,42.2,12.3,66.2,4.0,83.1,1.05,27.8,0.914,17.4,17.9,17.0,,,,,,12.9,12.8,13.5,82.9,82.4,85.2,,,12.5,,,28043.0,50485.0,,0.96,0.11599999999999999,0.903,0.941,42.0,,46.8,28.5,0.95,,96.1,0.88,2.0,8.0,0.95,81.7,83.4,79.9,0.1,167.5,39753.0,2624.6,16.9,39116.0,0.902,9.1,3.7,19.5,4.0,0.835,0.88,0.726,0.912,9.4,,17.0,83.2,62.5,1.8,-0.3,0.17,1.1,80.5,59.7,62.3,56.8,68.1,4.3,11.7,13.1,
GEO,0.78,22.5,2.6,0.6,3.9,0.3,58.2,1.08,29.1,0.845,15.0,15.3,14.8,,,,,,12.8,12.8,12.8,95.5,95.1,96.0,,,45.9,,,6177.0,12481.0,,0.975,0.35,0.7659999999999999,0.7859999999999999,183.0,,46.4,16.0,0.65,,63.6,0.98,2.0,5.0,0.8220000000000001,73.4,77.6,69.2,6.5,61.5,9745.0,36.2,29.5,9186.0,0.6829999999999999,12.0,2.2,25.7,8.1,0.682,0.826,0.508,0.7559999999999999,12.6,,31.9,,112.6,11.9,-10.0,11.83,40.9,46.6,59.8,67.6,57.9,78.8,11.6,29.3,57.0,
GHA,0.5920000000000001,5.8,16.8,1.0,28.8,4.1,55.4,1.05,66.3,0.5579999999999999,11.6,11.4,11.8,,,105.0,60.0,,7.1,6.3,7.9,62.1,54.6,70.4,55.0,27.0,66.6,,33.0,3349.0,4849.0,,0.91,0.5379999999999999,0.563,0.619,84.0,,52.7,12.7,1.18,26.3,53.7,1.09,1.0,5.0,0.662,63.0,64.1,62.0,17.0,30.6,4228.0,121.9,15.3,4096.0,0.561,28.8,34.9,25.3,26.2,0.42,0.363,0.419,0.489,28.9,,16.1,,90.6,6.9,-12.2,7.47,40.7,45.2,75.1,76.9,74.8,79.2,2.4,4.9,66.1,
GIN,0.45899999999999996,5.7,6.9,0.4,12.7,2.0,35.8,1.02,77.4,0.33899999999999997,9.1,7.8,10.4,,,,,,2.6,1.5,3.9,11.7,,,,,135.3,,,1804.0,2328.0,,0.81,,0.41100000000000003,0.508,98.0,,43.8,21.9,0.64,,19.7,0.82,37.0,52.0,0.625,60.6,61.2,60.1,20.3,,2081.0,26.5,75.1,2067.0,0.457,32.2,48.3,17.1,31.2,0.306,0.175,0.379,0.43,33.4,,43.1,,140.1,,,0.53,68.2,25.9,61.3,64.2,63.0,65.4,4.5,5.5,90.1,
GMB,0.46,4.5,1.1,0.0,2.1,0.4,60.6,1.03,86.6,0.3720000000000001,9.2,9.3,9.2,,39.0,97.0,,,3.5,2.9,4.3,35.3,29.0,42.3,88.0,39.0,79.2,,,1168.0,1870.0,,0.89,0.623,0.434,0.48700000000000004,180.0,,39.0,10.3,1.84,,,1.4,7.0,10.0,0.637,61.4,62.8,60.1,14.6,55.9,1562.0,3.3,19.2,1516.0,0.41100000000000003,36.4,49.3,31.5,28.5,0.289,0.18899999999999997,0.281,0.456,37.2,,19.2,,60.8,,,21.25,27.1,57.6,53.7,59.3,51.2,67.7,9.5,12.9,71.2,
GNB,0.455,5.4,1.0,0.1,1.9,0.3,42.9,1.03,74.8,0.392,10.5,,,,,,,,3.0,,,,,,,,84.5,,,1269.0,1843.0,,,,,,60.0,,29.8,13.7,1.2,,,1.06,5.0,19.0,0.5820000000000001,57.8,59.5,56.0,1.9,14.1,1549.0,2.9,10.4,1552.0,0.414,39.4,41.9,37.9,38.4,0.276,0.228,0.257,0.358,39.4,,10.5,,59.0,,,7.69,83.5,9.6,67.3,71.6,65.6,78.1,6.1,11.6,65.3,
GNQ,0.591,4.7,0.8,0.0,1.3,0.2,71.6,1.03,62.0,0.44299999999999995,9.3,,,,,,,,5.5,4.0,7.3,,,,,,155.6,,,14869.0,23258.0,,,,,,84.0,,30.3,19.7,1.09,,,1.01,56.0,70.0,0.584,57.9,59.4,56.7,0.1,21.1,22605.0,28.7,12.0,19513.0,0.797,,,,35.0,,,,0.379,,,12.0,,94.4,,,,59.5,34.1,55.1,59.2,55.7,61.8,6.9,14.2,35.7,
GRC,0.87,31.2,7.3,2.3,11.2,0.5,78.7,1.07,21.7,0.838,17.3,17.0,17.5,,,,,,10.8,10.5,11.0,69.2,65.4,73.2,,,7.2,,,19658.0,29796.0,,0.9640000000000001,0.12,0.853,0.885,119.0,,41.9,18.3,1.43,,84.5,1.08,1.0,3.0,0.945,81.4,83.9,78.9,0.1,116.7,24574.0,264.4,12.6,24648.0,0.8320000000000001,13.1,13.1,22.8,3.5,0.753,0.728,0.642,0.912,13.5,,11.7,76.7,67.5,2.0,-13.7,0.15,12.1,72.6,41.6,52.9,45.5,60.6,21.4,42.8,26.5,
GRD,0.772,11.0,0.1,0.0,0.1,0.0,36.2,1.05,39.7,0.758,16.9,17.4,16.3,,,,,,8.7,,,,,,,,29.2,,,,,,,,,,90.0,,,25.0,,,,,2.0,15.0,0.8270000000000001,73.8,76.3,71.3,0.1,49.2,13594.0,1.5,,12864.0,0.7340000000000001,,,,8.0,,,,0.7609999999999999,,,,,,,,0.11,,,,,,,,,,
GTM,0.65,7.8,10.2,0.8,16.9,2.0,50.7,1.05,58.2,0.514,10.8,10.7,10.9,,,,,,6.5,6.4,6.5,37.8,38.4,37.2,,,70.9,,,4768.0,9869.0,,0.948,0.493,0.63,0.665,84.0,,43.1,12.7,1.73,,42.1,1.32,12.0,14.0,0.825,73.7,76.8,70.4,16.3,40.5,7424.0,125.6,12.3,7278.0,0.648,27.7,35.0,32.2,16.0,0.467,0.335,0.439,0.693,28.2,,12.1,,45.7,1.4,-2.4,11.18,29.4,49.6,60.3,62.0,40.6,85.0,2.7,5.8,34.7,
GUY,0.654,8.1,0.5,0.0,0.8,0.1,26.5,1.05,44.1,0.596,11.4,11.7,11.0,,,,,,8.4,8.4,8.4,63.3,70.9,55.5,,,85.8,,,4543.0,10295.0,35.4,0.948,0.504,0.631,0.6659999999999999,91.0,,37.0,31.9,1.77,,,1.24,3.0,1.0,0.7190000000000001,66.8,69.2,64.5,0.3,60.2,7435.0,5.8,30.1,7447.0,0.6509999999999999,18.4,10.7,25.1,19.5,0.532,0.532,0.488,0.579,18.6,,30.1,,100.8,,,7.49,13.4,60.1,50.9,57.7,40.7,74.6,11.8,26.3,29.7,35.2
HKG,0.9329999999999999,22.6,5.3,1.2,7.4,0.3,100.0,1.07,15.9,0.855,16.3,16.3,16.4,3.3,,,,,12.0,11.6,12.5,78.4,75.7,81.8,,,2.7,,,43813.0,75577.0,,0.965,,0.9159999999999999,0.9490000000000001,70.0,,49.2,,0.83,,94.7,0.89,,,0.986,84.1,87.1,81.2,0.0,,56055.0,414.3,21.8,58420.0,0.9620000000000001,12.7,10.2,25.6,2.5,0.809,0.768,0.716,0.961,13.3,,22.3,,375.1,35.8,-17.8,0.13,0.2,86.7,58.5,60.4,54.0,68.1,3.2,9.2,6.0,
HND,0.617,7.3,5.9,0.4,9.3,1.0,56.5,1.05,49.7,0.502,10.2,10.7,9.8,,,,,,6.5,6.6,6.5,35.5,36.8,33.5,,,70.8,,,3277.0,5159.0,,0.978,,0.608,0.622,84.0,,48.0,25.8,1.39,,41.0,1.39,1.0,3.0,0.8270000000000001,73.8,76.3,71.2,14.4,58.4,4542.0,42.1,23.1,4215.0,0.565,25.2,22.7,34.9,18.1,0.45899999999999996,0.38799999999999996,0.368,0.6779999999999999,25.6,,23.8,,102.4,5.5,-7.8,18.81,28.5,50.3,65.1,68.1,50.9,85.8,4.5,8.2,36.1,
HRV,0.831,30.1,2.7,0.8,4.2,0.2,56.7,1.06,22.4,0.7909999999999999,15.0,15.7,14.3,,,,,,11.3,11.2,11.7,95.7,94.5,96.9,,,8.9,,,17507.0,27164.0,,0.991,0.124,0.828,0.835,208.0,,47.1,18.5,1.1,,82.7,1.0,2.0,11.0,0.889,77.8,81.0,74.5,24.9,77.0,22670.0,93.5,19.9,22162.0,0.816,8.8,5.0,17.3,4.1,0.7559999999999999,0.752,0.675,0.853,9.0,,20.5,90.5,100.4,3.8,-2.1,4.53,7.5,65.4,45.8,51.3,45.5,57.7,10.8,25.9,8.7,
HTI,0.498,7.7,6.8,0.5,11.0,1.2,54.3,1.05,53.0,0.433,9.3,,,,,,,,5.3,4.3,6.6,33.2,26.9,39.9,,,37.5,91.0,34.3,1400.0,1937.0,,,0.601,,,42.0,41.7,58.5,2.7,1.29,38.0,30.0,1.18,21.0,47.0,0.6709999999999999,63.6,65.8,61.4,28.4,,1653.0,18.2,43.4,1665.0,0.425,38.4,38.3,48.4,28.6,0.304,0.267,0.21899999999999997,0.479,39.0,,43.4,,75.3,,,29.25,41.3,46.5,58.6,68.1,63.8,72.6,14.0,36.0,87.5,
HUN,0.838,27.7,6.5,1.8,9.7,0.4,71.1,1.06,21.3,0.815,15.1,15.4,14.8,,,,,,11.9,11.7,12.1,96.8,95.7,98.0,,,19.7,,,19931.0,31413.0,,0.985,0.259,0.83,0.843,168.0,,46.8,10.1,1.0,,72.2,1.0,1.0,1.0,0.863,76.1,79.4,72.5,3.3,58.4,26778.0,261.9,21.5,25393.0,0.836,7.7,3.2,15.2,4.7,0.772,0.789,0.71,0.8220000000000001,7.8,,22.5,87.2,172.4,-10.7,1.2,3.33,5.0,64.8,53.2,55.6,47.9,64.2,4.3,11.3,5.9,
IDN,0.6940000000000001,7.9,177.7,14.0,264.0,24.7,54.7,1.05,40.6,0.622,12.8,12.8,12.8,,,,,,8.0,7.5,8.4,48.8,44.5,53.2,,,47.4,,60.9,7259.0,14385.0,,0.932,0.45299999999999996,0.6659999999999999,0.715,90.0,,39.4,19.8,0.87,14.5,51.4,1.01,4.0,25.0,0.759,69.4,71.6,67.3,7.0,47.0,11189.0,2953.7,32.2,10846.0,0.708,18.7,16.5,24.9,14.8,0.563,0.52,0.532,0.647,18.8,,33.4,40.8,39.5,2.2,-4.0,0.89,31.2,47.1,63.4,66.3,50.7,81.8,4.3,15.6,47.5,21.4
IND,0.64,9.0,886.9,80.2,1339.2,119.8,33.6,1.11,42.0,0.556,12.3,12.9,11.9,,,,,,6.4,4.8,8.2,51.6,39.0,63.5,,,23.1,,,2722.0,9729.0,,0.841,0.524,0.575,0.6829999999999999,182.0,,18.6,11.6,1.27,,76.6,1.02,9.0,12.0,0.7509999999999999,68.8,70.4,67.3,7.9,,6427.0,8606.5,28.5,6353.0,0.627,26.3,38.7,18.8,21.4,0.46799999999999997,0.341,0.509,0.59,26.8,,30.7,,40.6,1.5,-2.3,2.65,42.7,33.5,51.9,53.8,27.2,78.8,3.5,10.5,77.5,
IRL,0.938,21.6,3.1,0.7,4.8,0.3,62.9,1.06,33.6,0.9179999999999999,19.6,19.7,19.5,,,,,,12.5,12.7,12.1,88.3,90.2,86.3,,,9.7,,,42771.0,64916.0,,0.9790000000000001,0.109,0.9259999999999999,0.946,182.0,,47.4,24.3,0.73,,95.3,0.87,2.0,8.0,0.948,81.6,83.6,79.7,0.0,84.2,67335.0,324.1,23.4,53754.0,0.95,8.6,2.9,20.1,2.8,0.8540000000000001,0.8909999999999999,0.759,0.922,9.0,,24.2,82.8,207.9,15.4,-30.5,0.18,5.4,75.5,56.2,60.0,53.0,67.3,6.4,13.6,11.9,
IRN,0.7979999999999999,7.7,57.5,4.4,81.2,6.7,74.4,1.05,33.4,0.741,14.9,14.6,15.1,,,,,,9.8,9.7,9.9,68.5,65.8,70.9,,,25.0,,,6094.0,32017.0,,0.871,0.461,0.726,0.8340000000000001,270.0,,16.3,5.9,1.96,,91.6,1.14,1.0,1.0,0.8640000000000001,76.2,77.3,75.1,118.3,,19083.0,1548.8,20.5,19130.0,0.794,11.2,4.9,19.7,9.0,0.7070000000000001,0.705,0.637,0.7859999999999999,11.4,,34.2,,46.1,,,0.31,17.1,50.5,38.4,44.2,16.8,71.4,13.1,30.3,41.4,
IRQ,0.685,5.6,21.6,1.2,38.3,5.8,70.3,1.07,71.6,0.534,11.0,10.1,11.9,,,,,,6.8,5.4,7.8,47.7,38.7,56.7,,,80.1,,,6039.0,29250.0,,0.823,0.506,0.603,0.733,98.0,,13.1,25.3,1.93,,19.5,1.2,27.0,29.0,0.77,70.0,72.3,67.8,360.6,,15664.0,599.5,17.4,17789.0,0.7829999999999999,20.2,27.2,16.1,17.3,0.546,0.389,0.6559999999999999,0.637,20.4,,17.4,,74.0,,,0.52,18.7,61.6,42.7,46.5,18.7,74.1,8.2,18.0,35.2,
ISL,0.935,22.0,0.2,0.0,0.3,0.0,93.8,1.05,30.7,0.912,19.3,20.5,18.2,,,,,,12.4,12.3,12.7,100.0,100.0,100.0,,,6.8,,,38004.0,53562.0,,0.966,0.062,0.92,0.9520000000000001,90.0,,47.9,38.1,1.04,,,0.95,3.0,8.0,0.968,82.9,84.4,81.5,0.0,100.2,46483.0,15.9,22.1,45810.0,0.9259999999999999,5.9,2.6,12.8,2.4,0.879,0.889,0.807,0.945,6.0,,22.2,73.4,89.8,-29.4,10.8,0.88,3.6,79.8,75.1,77.3,72.8,81.8,2.9,6.2,7.8,
ISR,0.903,19.4,5.0,1.0,8.3,0.8,92.3,1.05,46.1,0.8740000000000001,15.9,16.5,15.3,,,,,,13.0,13.0,13.0,89.1,87.8,90.5,,,9.2,,,24620.0,40910.0,,0.975,0.098,0.89,0.9129999999999999,105.0,,47.3,27.5,1.05,,93.7,1.05,1.0,2.0,0.9640000000000001,82.7,84.3,80.9,0.5,,33132.0,288.7,,32711.0,0.875,12.2,7.0,26.4,3.3,0.787,0.813,0.644,0.932,12.8,,,,,5.4,-3.1,0.28,1.1,81.6,61.4,64.2,59.3,69.2,4.3,7.7,12.2,
ITA,0.88,36.3,37.7,13.7,59.4,2.4,70.1,1.06,21.3,0.7909999999999999,16.3,16.6,15.9,,,,,,10.2,10.0,10.4,79.6,75.6,83.0,,,6.1,,,25767.0,45326.0,,0.9670000000000001,0.087,0.863,0.893,150.0,,42.1,30.1,1.19,,91.6,1.04,2.0,8.0,0.972,83.2,85.3,80.9,0.1,166.2,35220.0,2132.6,17.5,35299.0,0.8859999999999999,11.9,10.5,22.5,2.9,0.7709999999999999,0.708,0.687,0.9440000000000001,12.3,,17.3,67.5,59.5,1.0,5.0,0.51,3.9,69.8,43.1,48.6,39.5,58.3,11.3,36.9,17.7,
JAM,0.732,14.3,2.0,0.3,2.9,0.2,55.4,1.05,33.6,0.69,13.1,14.4,12.8,5.4,,,,,9.8,10.0,9.5,66.3,69.9,62.4,,,52.8,,,5898.0,9812.0,,0.988,0.41200000000000003,0.731,0.7390000000000001,56.0,,46.6,19.0,1.66,,77.8,1.13,5.0,5.0,0.863,76.1,78.5,73.7,2.2,,8194.0,23.7,21.7,7846.0,0.659,16.2,5.6,32.0,11.0,0.608,0.652,0.44799999999999995,0.768,17.0,,21.8,,77.1,,,17.08,18.6,66.0,58.9,67.2,57.3,77.4,12.5,29.7,37.9,
JOR,0.735,6.3,5.9,0.4,9.7,1.2,90.7,1.05,58.5,0.711,13.1,13.4,12.9,,,,,,10.4,10.1,10.6,83.5,81.4,85.8,,,22.4,,,2459.0,13971.0,,0.857,0.46,0.6579999999999999,0.767,70.0,,16.0,15.4,1.95,,26.6,1.16,1.0,7.0,0.838,74.5,76.3,72.8,2.1,,8337.0,80.9,20.0,8288.0,0.667,16.0,16.9,20.5,10.7,0.617,0.591,0.531,0.748,16.1,,20.6,,92.6,4.2,-6.5,11.06,3.7,69.5,33.3,39.1,14.0,63.7,14.9,39.8,9.5,
JPN,0.909,45.0,76.6,34.5,127.5,5.3,91.5,1.06,21.5,0.848,15.2,15.2,15.3,,,,,,12.8,12.9,12.5,93.3,94.8,91.9,,,4.1,,,27209.0,51326.0,,0.975,0.10300000000000001,0.894,0.917,98.0,,43.5,13.7,0.87,,98.1,0.9,1.0,4.0,0.983,83.9,87.1,80.7,0.1,,39002.0,4944.9,,38986.0,0.9009999999999999,3.6,1.6,6.3,2.9,0.8759999999999999,0.835,0.8440000000000001,0.955,3.6,,,,,0.4,2.0,0.09,3.5,70.9,58.5,60.2,50.5,70.6,2.8,4.6,8.8,
KAZ,0.8,10.7,11.8,1.3,18.2,2.0,57.3,1.06,42.9,0.8140000000000001,15.1,15.5,14.8,,54.0,108.0,113.0,50.0,11.8,11.8,11.7,98.8,98.5,99.1,100.0,21.0,27.5,,,16814.0,28815.0,,1.0070000000000001,0.19699999999999998,0.8009999999999999,0.795,126.0,,48.7,22.1,1.33,,60.3,1.04,1.0,1.0,0.77,70.0,74.8,65.3,2.4,41.9,24056.0,433.9,,22626.0,0.8190000000000001,7.9,3.2,10.3,10.1,0.737,0.7879999999999999,0.7340000000000001,0.6920000000000001,7.9,-12.1,,,,2.9,-5.8,0.22,18.1,61.2,67.6,71.0,65.4,77.3,4.9,4.7,25.6,
KEN,0.59,4.7,28.3,1.3,49.7,7.1,26.6,1.03,71.2,0.551,12.1,11.7,12.5,,,,,,6.5,5.7,7.1,34.6,29.2,36.6,,,80.5,,,2529.0,3398.0,,0.9309999999999999,0.5489999999999999,0.568,0.61,90.0,,39.5,23.3,1.94,,77.7,1.3,7.0,11.0,0.728,67.3,69.7,64.9,7.6,42.6,2993.0,148.8,18.9,2961.0,0.512,26.3,22.9,33.1,22.8,0.434,0.425,0.342,0.562,26.4,,19.3,,39.4,0.9,0.5,2.62,38.0,47.8,57.9,65.4,62.4,68.5,11.5,26.2,54.3,
KGZ,0.672,7.0,3.8,0.3,6.0,0.8,36.1,1.06,50.0,0.735,13.4,13.7,13.2,,,,,,10.9,10.9,10.8,98.4,98.6,98.3,,,38.1,,,2159.0,4369.0,,0.96,0.392,0.654,0.6809999999999999,126.0,,38.7,19.2,1.4,,38.9,1.21,6.0,5.0,0.7859999999999999,71.1,75.1,67.1,2.8,20.5,3393.0,21.0,30.3,3255.0,0.526,9.8,5.0,12.2,12.1,0.606,0.698,0.462,0.691,9.8,,32.2,,102.2,1.2,-1.3,32.86,26.7,51.1,57.2,61.6,48.2,75.7,7.3,15.7,36.5,
KHM,0.5820000000000001,6.9,10.3,0.7,16.0,1.8,23.0,1.05,48.6,0.48700000000000004,11.7,11.2,12.2,,,,,,4.8,3.8,5.6,21.3,15.1,28.1,,,50.2,,,2970.0,3878.0,,0.914,0.473,0.5529999999999999,0.605,90.0,,50.3,18.5,1.0,,21.5,0.8,6.0,16.0,0.759,69.3,71.3,67.1,12.2,74.4,3645.0,58.3,21.9,3413.0,0.5329999999999999,19.2,27.3,14.3,16.0,0.469,0.354,0.457,0.638,19.4,,22.9,,124.9,,,1.74,26.7,46.3,84.5,84.6,80.9,88.7,0.2,0.4,51.0,
KIR,0.612,6.4,0.1,0.0,0.1,0.0,53.3,1.06,57.3,0.62,12.9,13.4,12.6,,,,,,7.9,,,,,,,,16.2,,,,,,,,,,84.0,,,6.5,,,,,4.0,19.0,0.715,66.5,69.8,63.2,0.0,,1981.0,0.2,,3042.0,0.516,,21.4,,24.5,,0.488,,0.54,,,,,105.3,,,9.36,,,,,,,,,,
KNA,0.778,,,,0.1,,30.8,,,0.68,14.4,14.6,14.3,,,,,,8.4,,,,,,,,,,,,,,,,,,91.0,,,13.3,,,,,1.0,7.0,0.8370000000000001,74.4,,,0.1,76.3,24654.0,1.4,,23978.0,0.828,,,,,,,,,,,,,,,,1.12,,,,,,,,,,
KOR,0.903,19.2,37.0,7.1,51.0,2.2,81.5,1.07,18.6,0.862,16.5,15.9,17.1,,,,,,12.1,11.4,12.9,95.6,89.8,95.6,,,1.6,,,22572.0,49297.0,,0.932,0.063,0.866,0.929,90.0,,42.0,17.0,0.92,,94.7,0.97,2.0,2.0,0.9590000000000001,82.4,85.3,79.2,0.2,170.1,35938.0,1849.6,31.1,35945.0,0.889,14.0,18.5,20.2,3.2,0.773,0.703,0.7090000000000001,0.929,14.3,,31.1,84.6,80.8,1.1,4.7,0.41,4.9,70.3,60.3,62.6,52.2,73.2,3.8,10.7,24.1,
KWT,0.8029999999999999,3.1,3.2,0.1,4.1,0.3,100.0,1.05,27.5,0.62,13.6,14.3,12.9,,,,,,7.3,8.0,6.9,51.2,54.8,49.3,,,9.0,,,39570.0,93476.0,,0.99,0.27,0.7909999999999999,0.799,70.0,,29.0,3.1,1.56,,73.5,1.31,1.0,1.0,0.843,74.8,76.1,73.9,1.1,92.2,65531.0,271.1,,70524.0,0.991,,17.8,,6.3,,0.51,,0.79,,,,,,0.1,26.9,0.02,3.5,69.8,67.6,69.0,47.4,84.1,2.1,15.5,1.9,
LAO,0.601,6.4,4.3,0.3,6.9,0.8,34.4,1.05,52.1,0.485,11.2,10.9,11.5,,,,,,5.2,4.6,5.7,39.2,33.6,45.2,,,62.6,,,5354.0,6789.0,,0.934,0.461,0.579,0.621,105.0,,47.3,27.5,0.86,,31.9,0.94,11.0,18.0,0.723,67.0,68.6,65.4,7.1,,6397.0,43.9,29.0,6070.0,0.62,25.8,34.1,20.3,23.1,0.445,0.32,0.494,0.556,26.1,,29.0,33.2,75.8,,,0.74,61.3,29.0,77.8,78.3,76.9,79.7,0.7,1.7,82.9,
LBN,0.757,12.4,4.2,0.5,6.1,0.5,88.4,1.05,33.8,0.637,12.5,12.4,12.7,,,,,,8.7,8.5,8.9,54.3,53.0,55.4,,,11.8,,,5523.0,21182.0,,0.889,0.381,0.701,0.7879999999999999,70.0,,24.9,3.1,1.27,,32.9,0.96,18.0,21.0,0.919,79.8,81.6,78.2,5.3,,13368.0,81.3,21.8,13378.0,0.74,,6.2,,6.7,,0.598,,0.858,,,21.8,,70.0,,,15.34,3.2,76.5,44.2,47.2,23.2,71.1,6.3,16.5,25.6,
LBR,0.435,5.5,2.6,0.1,4.7,0.7,50.7,1.05,75.8,0.434,10.0,9.3,10.6,,,,,,4.7,3.5,6.1,29.0,18.5,39.6,,,127.5,,,577.0,755.0,,0.846,0.6559999999999999,0.39799999999999996,0.47,98.0,,49.0,9.9,1.0,,28.2,1.27,1.0,13.0,0.662,63.0,64.0,62.0,6.0,,753.0,3.6,,667.0,0.287,31.0,42.9,22.7,27.5,0.298,0.248,0.221,0.48,31.6,,,,,,,26.89,43.0,45.1,54.3,55.7,53.9,57.4,2.4,3.3,77.7,
LBY,0.706,6.6,4.3,0.3,6.4,0.6,79.8,1.06,41.8,0.616,13.4,13.6,13.2,,,,,,7.3,7.7,7.0,57.4,69.4,45.0,,,5.7,,,4623.0,17472.0,,0.929,0.17,0.6679999999999999,0.7190000000000001,98.0,,22.5,16.0,1.86,,59.6,1.21,1.0,6.0,0.802,72.1,75.1,69.3,11.2,40.3,17882.0,114.0,,11100.0,0.711,,,,14.1,,,,0.6890000000000001,,,,,,,,,12.4,60.9,43.2,52.5,25.8,79.0,17.7,46.0,36.0,
