Country,Human Development Index (HDI),[Education] Education Index,[Education] Expected years of schooling (years),[Education] Mean years of schooling (years),[Health] Life expectancy Index,[Health] Life expectancy at birth (years),[Income_composition of resources] Gross national income (GNI) per capita (2011 PPP$),[Income_composition of resources] Income Index
PHL,0.628,0.573,11.4,7.7,0.728,67.3,5043.0,0.5920000000000001
PLW,0.747,0.762,13.8,11.4,0.7390000000000001,68.0,13309.0,0.7390000000000001
PNG,0.456,0.29600000000000004,6.7,3.3,0.648,62.1,2628.0,0.494
POL,0.7909999999999999,0.787,15.0,11.1,0.8320000000000001,74.1,14855.0,0.755
PRK,,,,,0.7090000000000001,66.1,,
PRT,0.79,0.669,15.8,6.9,0.878,77.1,25795.0,0.8390000000000001
PRY,0.632,0.546,12.2,6.2,0.774,70.3,5204.0,0.597
PSE,,,11.6,,0.784,71.0,4139.0,0.562
QAT,0.8109999999999999,0.616,12.6,8.0,0.868,76.4,106159.0,1.0
ROU,0.715,0.657,12.0,9.7,0.782,70.8,11167.0,0.7120000000000001
RUS,0.727,0.735,12.8,11.4,0.6920000000000001,65.0,14678.0,0.754
RWA,0.345,0.282,7.3,2.4,0.45799999999999996,49.8,818.0,0.317
SAU,0.746,0.563,12.1,6.8,0.81,72.7,41668.0,0.9109999999999999
SDN,0.408,0.244,5.7,2.5,0.597,58.8,2196.0,0.467
SEN,0.395,0.235,5.7,2.3,0.5870000000000001,58.2,1915.0,0.446
SGP,0.8220000000000001,0.657,12.6,9.2,0.903,78.7,49310.0,0.937
SLB,0.455,0.35700000000000004,7.3,4.6,0.6729999999999999,63.7,1346.0,0.39299999999999996
SLE,0.299,0.27899999999999997,7.2,2.4,0.302,39.7,803.0,0.315
SLV,0.62,0.505,11.8,5.3,0.7559999999999999,69.1,6311.0,0.626
SMR,,,,,,,,
SOM,,,,,0.48,51.2,,
SRB,0.716,0.684,13.2,9.6,0.8029999999999999,72.2,8404.0,0.669
SSD,,,,,0.456,49.6,,
STP,0.496,0.408,9.6,4.3,0.67,63.5,1930.0,0.447
SUR,,,11.0,,0.737,67.9,8939.0,0.679
SVK,0.764,0.7040000000000001,13.2,10.1,0.823,73.5,16136.0,0.768
SVN,0.835,0.818,15.6,11.5,0.865,76.2,23402.0,0.8240000000000001
SWE,0.9,0.883,18.8,11.5,0.9209999999999999,79.9,37347.0,0.895
SWZ,0.46399999999999997,0.38,9.2,3.7,0.42100000000000004,47.4,6234.0,0.624
SYC,0.7140000000000001,0.5760000000000001,11.7,7.5,0.799,71.9,18905.0,0.792
SYR,0.597,0.444,10.2,4.8,0.821,73.4,4764.0,0.584
TCD,0.306,0.19,5.1,1.4,0.425,47.6,1052.0,0.35600000000000004
TGO,0.426,0.405,9.7,4.0,0.516,53.6,1166.0,0.371
THA,0.657,0.532,11.5,6.3,0.782,70.8,9155.0,0.682
TJK,0.5579999999999999,0.627,9.8,10.6,0.706,65.9,1344.0,0.39299999999999996
TKM,,,10.2,,0.675,63.8,5485.0,0.605
TLS,0.513,0.364,9.8,2.8,0.62,60.3,5224.0,0.598
TON,0.677,0.679,13.5,9.1,0.784,70.9,4763.0,0.584
TTO,0.721,0.6409999999999999,11.9,9.3,0.747,68.6,17867.0,0.7829999999999999
TUN,0.6609999999999999,0.539,13.3,5.1,0.8220000000000001,73.4,7539.0,0.653
TUR,0.662,0.51,11.6,5.6,0.778,70.6,12518.0,0.73
TUV,,,11.0,,0.677,64.0,6254.0,0.625
