Country,Human Development Index (HDI),[Demography] Median age (years),[Demography] Old age dependency ratio (old age (65 and older) per 100 people (ages 15-64)),"[Demography] Population, ages 15–64 (millions)","[Demography] Population, ages 65 and older (millions)","[Demography] Population, total (millions)","[Demography] Population, under age 5 (millions)","[Demography] Population, urban (%)",[Demography] Sex ratio at birth (male to female births),[Demography] Young age (0-14) dependency ratio (per 100 people ages 15-64),[Education] Education Index,[Education] Expected years of schooling (years),"[Education] Expected years of schooling, female (years)","[Education] Expected years of schooling, male (years)",[Education] Government expenditure on education (% of GDP),"[Education] Gross enrolment ratio, pre-primary (% of preschool-age children)","[Education] Gross enrolment ratio, primary (% of primary school-age population)","[Education] Gross enrolment ratio, secondary (% of secondary school-age population)","[Education] Gross enrolment ratio, tertiary (% of tertiary school-age population)","[Education] Literacy rate, adult (% ages 15 and older)",[Education] Mean years of schooling (years),"[Education] Mean years of schooling, female (years)","[Education] Mean years of schooling, male (years)",[Education] Population with at least some secondary education (% ages 25 and older),"[Education] Population with at least some secondary education, female (% ages 25 and older)","[Education] Population with at least some secondary education, male (% ages 25 and older)",[Education] Primary school dropout rate (% of primary school cohort),"[Education] Pupil-teacher ratio, primary school (number of pupils per teacher)",[Education] Survival rate to the last grade of lower secondary general education (%),[Environmental Sustainability] Carbon dioxide emissions (kg per 2011 PPP $ of GDP),[Environmental Sustainability] Carbon dioxide emissions per capita (tonnes),[Environmental Sustainability] Forest area (% of total land area),[Environmental Sustainability] Fossil fuel energy consumption (% of total energy consumption),[Environmental Sustainability] Fresh water withdrawals (% of total renewable water resources),[Environmental Sustainability] Renewable energy consumption (% of total final energy consumption),"[Gender] Adolescent birth rate (births per 1,000 women ages 15-19)","[Gender] Antenatal care coverage, at least one visit (%)","[Gender] Contraceptive prevalence, any method (% of married or in-union women of reproductive age, 15–49 years)","[Gender] Maternal mortality ratio (deaths per 100,000 live births)",[Gender] Proportion of births attended by skilled health personnel (%),"[Gender] Unmet need for family planning (% of married or in-union women of reproductive age, 15–49 years)","[Health] HIV prevalence, adult (% ages 15-49), total","[Health] Infants lacking immunization, DTP (% of one-year-olds)","[Health] Infants lacking immunization, measles (% of one-year-olds)",[Health] Life expectancy Index,[Health] Life expectancy at birth (years),"[Health] Life expectancy at birth, female (years)","[Health] Life expectancy at birth, male (years)","[Health] Mortality rate, female adult (per 1,000 people)","[Health] Mortality rate, infant (per 1,000 live births)","[Health] Mortality rate, male adult (per 1,000 people)","[Health] Mortality rate, under-five (per 1,000 live births)",[Income_composition of resources] Domestic credit provided by financial sector (% of GDP),[Income_composition of resources] Gross domestic product (GDP) per capita (2011 PPP $),"[Income_composition of resources] Gross domestic product (GDP), total (2011 PPP $ billions)",[Income_composition of resources] Gross fixed capital formation (% of GDP),[Income_composition of resources] Gross national income (GNI) per capita (2011 PPP$),[Income_composition of resources] Income Index,"[Mobility and communication] Net migration rate (per 1,000 people)",[Socio-economic sustainability] Adjusted net savings (% of GNI),[Socio-economic sustainability] Gross capital formation (% of GDP),[Socio-economic sustainability] Rural population with access to electricity (%),"[Socio-economic sustainability] Total debt service (% of exports of goods, services and primary income)",[Trade and financial flows] Exports and imports (% of GDP),"[Trade and financial flows] Foreign direct investment, net inflows (% of GDP)",[Trade and financial flows] Net official development assistance received (% of GNI),[Trade and financial flows] Private capital flows (% of GDP),"[Trade and financial flows] Remittances, inflows (% of GDP)","[Work, employment and vulnerability] Labour force participation rate (% ages 15 and older)","[Work, employment and vulnerability] Labour force participation rate (% ages 15 and older), female","[Work, employment and vulnerability] Labour force participation rate (% ages 15 and older), male"
BLR,,33.1,16.1,6.8,1.1,10.2,0.8,66.0,1.06,34.5,,12.9,,,,95.0,94.0,97.0,49.0,,,,,,,,,,98.0,,,38.4,95.6,,0.8,37.8,,,33.0,99.9,,0.1,,,0.779,70.6,75.5,65.4,107.0,12.1,282.0,15.2,,8354.0,85.1,21.9,8428.0,0.67,-0.5,,26.5,100.0,,89.6,,,,,59.8,53.2,67.6
BLZ,0.644,17.9,7.9,0.1,0.0,0.2,0.0,47.5,1.03,82.9,0.573,10.8,,,,23.0,113.0,,,,8.2,8.2,8.3,21.8,21.1,22.2,,,,0.32,1.7,70.8,0.0,,38.0,131.6,,,54.0,,,0.1,3.0,14.0,0.7879999999999999,71.2,73.6,69.1,120.0,31.7,186.0,39.0,26.7,5166.0,1.0,25.0,4984.0,0.59,-6.1,29.9,25.7,78.7,7.2,122.3,4.2,7.5,-4.2,4.47,58.3,34.5,81.9
BOL,0.536,19.1,8.1,3.7,0.3,6.9,1.0,55.6,1.05,76.0,0.528,11.3,,,,31.0,100.0,,,,6.4,5.4,7.4,44.6,37.0,52.7,,,95.0,0.23,0.8,58.0,67.2,,37.4,96.1,,,425.0,,,0.1,34.0,47.0,0.54,55.1,56.8,53.5,257.0,85.2,317.0,123.8,23.0,3707.0,25.4,12.6,3540.0,0.539,-3.3,,12.5,10.4,39.4,46.7,0.6,11.8,-0.5,0.1,68.4,55.5,81.3
BRA,0.611,22.4,6.7,90.4,6.0,149.4,18.0,73.9,1.05,58.6,0.46299999999999997,12.2,,,,,,,,,3.8,4.2,3.9,20.1,20.6,19.9,,,,0.14,1.4,65.4,51.2,,49.9,82.2,,,104.0,,,0.2,14.0,22.0,0.6970000000000001,65.3,69.2,61.7,159.0,53.4,290.0,64.2,87.6,10345.0,1545.0,20.7,10697.0,0.706,0.0,9.9,20.2,55.4,22.6,15.2,0.2,0.0,-0.2,0.12,62.2,42.0,83.2
BRB,0.716,28.3,15.3,0.2,0.0,0.3,0.0,37.4,1.04,36.6,0.625,12.8,12.7,12.9,,,114.0,85.0,17.0,,8.1,8.0,8.2,66.5,64.6,68.2,,18.0,,0.29,4.1,14.7,0.0,,18.9,49.9,100.0,,58.0,,,0.1,3.0,13.0,0.7909999999999999,71.4,73.5,69.0,122.0,15.9,183.0,17.8,51.1,14434.0,3.8,14.9,13612.0,0.742,-3.2,10.9,14.8,,,86.0,0.6,0.1,0.8,1.87,69.0,61.3,77.6
BRN,0.782,23.2,4.2,0.2,0.0,0.3,0.0,66.4,1.06,55.2,0.588,12.1,12.3,12.0,4.0,,,,,,7.5,6.7,8.1,55.6,51.0,57.9,,,,0.28,23.9,78.4,99.9,,0.7,41.4,,,35.0,,,,3.0,1.0,0.8140000000000001,72.9,74.6,71.5,111.0,10.2,150.0,13.3,,84672.0,21.9,18.7,85126.0,1.0,2.4,,18.7,100.0,,99.1,,0.1,,,65.0,45.8,81.8
BTN,,17.9,5.2,0.3,0.0,0.5,0.1,16.4,1.04,82.2,,5.4,,,,,,,,,,,,,,,,,,0.1,0.2,53.6,0.0,,95.9,111.3,,,945.0,,,,2.0,7.0,0.506,52.9,53.2,52.6,377.0,89.5,372.0,127.6,-1.0,2325.0,1.2,31.0,2099.0,0.46,0.6,,30.4,,,57.5,0.5,16.4,,,64.5,51.5,76.4
BWA,0.581,17.5,5.0,0.7,0.0,1.4,0.2,41.9,1.03,84.0,0.461,10.0,10.3,9.6,5.7,,103.0,39.0,,,5.5,5.6,5.9,41.2,41.0,46.1,,32.0,,0.24,2.0,24.2,64.8,,47.6,122.0,,,243.0,,,7.0,1.0,13.0,0.645,61.9,64.3,59.3,244.0,41.5,337.0,53.9,-45.6,8110.0,11.2,32.4,7895.0,0.66,0.9,32.7,37.4,0.2,4.3,104.8,2.5,3.9,-2.4,2.26,62.5,47.8,78.2
CAF,0.317,18.4,7.6,1.6,0.1,2.9,0.5,36.8,1.03,81.9,0.214,5.2,3.8,6.7,2.2,,70.0,11.0,1.0,,2.1,1.1,3.1,9.5,4.0,14.9,71.6,90.0,54.0,0.07,0.1,36.2,,,93.5,156.3,,,1290.0,,,2.9,5.0,18.0,0.44299999999999995,48.8,51.0,46.6,368.0,114.0,427.0,173.8,13.2,925.0,2.7,11.8,935.0,0.33799999999999997,-3.2,3.1,12.7,,13.2,42.9,0.0,17.5,0.2,0.01,72.3,64.6,80.5
CAN,0.8490000000000001,32.9,16.5,18.8,3.1,27.7,1.9,76.6,1.05,30.4,0.8059999999999999,16.7,17.1,16.2,6.0,62.0,104.0,99.0,90.0,,10.3,10.2,10.4,83.4,83.3,83.5,,16.0,,0.5,15.7,38.3,73.6,,22.0,23.2,,,7.0,,,,4.0,11.0,0.882,77.3,80.5,74.1,70.0,6.8,127.0,8.3,100.6,31300.0,869.8,21.8,30227.0,0.863,6.5,5.2,21.4,100.0,,50.0,1.3,,-2.7,,66.8,57.9,76.0
