Country,1990,1995,2000,2005,2010,2015
SGP,8.4,15.3,13.8,20.7,18.8,12.7
SVK,-1.4,-0.6,-0.1,0.0,-0.3,0.4
SVN,3.3,-1.7,0.1,1.5,3.9,1.6
SLB,-1.3,-0.6,-0.4,-2.2,-4.8,-4.3
SOM,-11.3,-21.4,-2.4,-3.8,-3.3,-3.5
ZAF,-0.7,3.7,1.4,2.5,2.5,3.0
SSD,-14.4,-38.3,13.2,11.7,17.3,7.7
ESP,-0.3,1.6,4.5,13.4,9.9,-2.4
LKA,-1.6,-2.9,-5.0,-4.7,-5.2,-4.7
SDN,1.6,5.9,-4.9,-3.8,-6.6,-3.2
SUR,-2.5,-2.4,-4.4,-3.8,-2.5,-1.9
SWE,3.2,3.6,1.3,3.2,5.7,5.3
CHE,4.0,7.2,1.8,5.1,9.1,9.8
SYR,-2.5,-1.0,-1.7,-4.4,3.8,-41.8
TJK,-2.8,-10.5,-9.8,-2.5,-2.0,-2.5
TZA,0.6,4.3,-1.3,-1.6,-1.2,-0.8
THA,1.9,-2.1,2.3,1.2,0.2,0.5
MKD,-9.9,-10.1,-0.5,-1.4,-0.7,-0.9
TLS,-1.4,-1.0,-35.8,0.8,-17.6,-8.5
TGO,-1.1,-4.7,3.5,-0.4,-0.3,-0.3
TON,-23.1,-23.2,-17.9,-16.3,-16.0,-15.3
TTO,-7.5,-5.2,-5.2,-2.1,-1.7,-0.7
TUN,1.3,3.2,-0.8,-2.8,-0.6,-1.2
TUR,-0.4,-0.4,-0.3,-0.1,-0.1,4.3
TKM,-2.3,2.2,-3.0,-5.4,-2.5,-1.9
UGA,2.9,1.3,-0.4,-0.0,-0.9,-0.8
UKR,0.0,0.3,-1.9,-0.7,1.2,-0.9
ARE,32.2,34.2,34.6,60.0,103.7,11.0
GBR,0.3,0.7,1.7,3.2,6.6,3.1
USA,2.8,3.5,6.3,3.6,3.3,2.9
URY,-2.0,-1.3,-1.6,-6.3,-3.0,-1.8
UZB,-3.6,-3.0,-2.0,-1.9,-1.0,-0.4
VUT,-4.0,-0.4,-8.0,-0.5,1.0,0.5
VEN,0.0,-0.0,-0.0,-0.1,-0.2,-0.5
VNM,-1.0,-1.1,-0.6,-1.6,-2.0,-0.4
YEM,-0.9,9.0,-1.2,-1.2,-0.6,-0.6
ZMB,0.1,-0.5,1.6,-1.6,-1.9,-0.5
ZWE,1.8,-3.7,-3.7,-5.6,-4.4,-3.3
