Country1_Country2,Human Development Index (HDI),[Education] Education Index,[Education] Expected years of schooling (years),[Education] Mean years of schooling (years),[Health] Life expectancy Index,[Health] Life expectancy at birth (years),[Income_composition of resources] Gross national income (GNI) per capita (2011 PPP$),[Income_composition of resources] Income Index
ARE_KIR,1.5266985462590439,0.5378904845373629,0.38846400441061724,0.6303674641452357,1.1265637762798208,1.1311665503088468,3.758852452387119,2.733569762364228
ARE_KNA,0.603438160576697,0.40474927549346096,0.08964553947937298,0.6303674641452357,0.37102399817598847,0.373596291845123,2.706507287462766,0.9727812872031749
ARE_KOR,0.2172377378076118,0.8787319796897517,1.0458646272593553,0.6303674641452357,0.3777698890519152,0.3839739666185994,2.3591892347191354,0.7662690586349024
ARE_KWT,0.2956846986825812,0.48463400091980213,0.11952738597249785,0.9770695694251152,0.23610618065744693,0.22830884501646476,1.432989814265147,0.02717266165372001
ARE_LAO,1.8646239161819937,1.4698789478446748,1.135510166738728,1.6389554067776126,1.308702829929852,1.3075870214579326,3.70592830948726,2.4727122104885164
ARE_LBN,0.5310255813074932,0.3142132533436077,0.0,0.5673307177307121,0.18888494452595816,0.197175820696038,3.101796257117662,1.3042877593785582
ARE_LBR,2.6490935249317005,1.5124841347387232,1.045864627259355,1.7650288996066597,1.8551199908799436,1.8472261096786662,3.8665851176390182,3.945470472120139
ARE_LBY,0.48878491006712443,0.260956769726047,0.41834585090374216,0.8194777033888063,0.4519746886871134,0.4462400152594528,2.348582870373996,0.7608345263041589
ARE_LCA,0.7180914110862688,0.37279538532292456,0.11952738597249729,0.5673307177307121,0.20912261715373937,0.20755349546951307,3.2388714024106835,1.4618891969701342
ARE_LIE,0.3680972779517857,0.5858213197931676,0.44822769739686646,0.6618858373524976,0.3372945437963537,0.34246326752469625,2.368880329044643,0.02717266165372001
ARE_LKA,0.603438160576697,0.2769337148113159,0.05976369298624923,0.4412572249016651,0.1888849445259574,0.1867981459225615,3.4918628037193677,1.8586100571144453
ARE_LSO,2.160308614864576,1.09708356252175,0.7171643158349859,1.3237716747049948,2.792798822633807,2.791594514064951,3.7375320448710005,2.6194445834186046
ARE_LTU,0.0422406712403689,0.985244946924873,1.0458646272593553,0.8194777033888063,0.3980075616796976,0.39435164139207457,2.6732883696914405,0.9510431578801989
ARE_LUX,0.31378784349988287,0.43137751730224205,0.08964553947937354,0.6618858373524976,0.38451577992784336,0.3839739666185994,0.3064000989248181,0.02717266165372001
ARE_LVA,0.1025844872980386,0.910685869860288,0.8964553947937328,0.8194777033888063,0.4249911251834051,0.42548466571250126,2.7618542039440017,1.0108230135183822
ARE_MAR,1.424114058961005,1.3686916289713094,0.8068098553143594,1.7335105263993982,0.30356508941671767,0.30095256843079454,3.5704145071689037,2.0325150916982535
ARE_MDA,1.0379136361919192,0.06390778034107292,0.3585821579174929,0.4097388516944036,0.7622856689797581,0.7575702584637224,3.669802063418282,2.3314143698891723
ARE_MDG,2.039620982749236,1.1769682879480907,1.045864627259355,1.1661798086686859,1.4031453021928302,1.4009860944192132,3.816891339514329,3.1737668811544917
ARE_MDV,1.0741199258265206,1.1503400461393107,0.4183458509037416,1.6704737799848743,0.04047534525556251,0.04151069909390326,3.287273034625305,1.521669052608318
