KWT,7.0,9.0,7.0,6.0,5.0,4.0,4.0,4.0,4.0,4.0
KGZ,80.0,92.0,74.0,85.0,84.0,87.0,81.0,79.0,77.0,76.0
LAO,905.0,695.0,546.0,418.0,294.0,271.0,250.0,230.0,213.0,197.0
LVA,48.0,54.0,30.0,22.0,19.0,21.0,18.0,18.0,18.0,18.0
LBN,74.0,54.0,42.0,27.0,19.0,18.0,17.0,16.0,16.0,15.0
LSO,629.0,525.0,649.0,746.0,587.0,555.0,549.0,532.0,513.0,487.0
LBR,1500.0,1800.0,1270.0,1020.0,811.0,798.0,787.0,762.0,741.0,725.0
LBY,39.0,25.0,17.0,11.0,9.0,9.0,9.0,9.0,9.0,9.0
LTU,29.0,28.0,16.0,12.0,9.0,11.0,10.0,10.0,10.0,10.0
LUX,12.0,13.0,13.0,13.0,11.0,11.0,11.0,10.0,10.0,10.0
MDG,778.0,644.0,536.0,508.0,436.0,420.0,402.0,384.0,369.0,353.0
MWI,957.0,953.0,890.0,648.0,629.0,618.0,624.0,636.0,638.0,634.0
MYS,79.0,68.0,58.0,52.0,48.0,47.0,45.0,43.0,41.0,40.0
MDV,677.0,340.0,163.0,101.0,87.0,82.0,76.0,70.0,69.0,68.0
MLI,1010.0,911.0,834.0,714.0,630.0,617.0,617.0,610.0,601.0,587.0
MLT,13.0,14.0,15.0,13.0,11.0,11.0,11.0,9.0,9.0,9.0
MRT,859.0,824.0,813.0,750.0,723.0,704.0,682.0,655.0,629.0,602.0
MUS,81.0,60.0,40.0,39.0,59.0,51.0,54.0,54.0,54.0,53.0
MEX,90.0,85.0,77.0,54.0,45.0,42.0,42.0,41.0,39.0,38.0
FSM,183.0,166.0,153.0,134.0,115.0,110.0,107.0,104.0,102.0,100.0
MDA,51.0,66.0,49.0,39.0,34.0,25.0,26.0,24.0,24.0,23.0
MNG,186.0,205.0,161.0,95.0,63.0,58.0,53.0,49.0,46.0,44.0
MNE,10.0,12.0,11.0,9.0,8.0,7.0,8.0,7.0,7.0,7.0
MAR,317.0,257.0,221.0,190.0,153.0,144.0,137.0,131.0,126.0,121.0
MOZ,1390.0,1150.0,915.0,762.0,619.0,596.0,563.0,528.0,506.0,489.0
MMR,453.0,376.0,308.0,248.0,205.0,201.0,195.0,189.0,184.0,178.0
NAM,338.0,320.0,352.0,390.0,319.0,315.0,299.0,283.0,273.0,265.0
NPL,901.0,660.0,548.0,444.0,349.0,328.0,308.0,291.0,275.0,258.0
NLD,12.0,13.0,14.0,11.0,8.0,8.0,7.0,7.0,7.0,7.0
NZL,18.0,15.0,12.0,14.0,13.0,12.0,12.0,12.0,11.0,11.0
NIC,173.0,212.0,202.0,190.0,166.0,153.0,164.0,159.0,154.0,150.0
NER,873.0,828.0,794.0,723.0,657.0,635.0,619.0,596.0,574.0,553.0
NGA,1350.0,1250.0,1170.0,946.0,867.0,824.0,819.0,821.0,820.0,814.0
NOR,7.0,7.0,7.0,7.0,6.0,6.0,5.0,5.0,5.0,5.0
OMN,30.0,20.0,20.0,20.0,18.0,18.0,18.0,18.0,18.0,17.0
PAK,431.0,363.0,306.0,249.0,211.0,204.0,197.0,190.0,184.0,178.0
PSE,118.0,96.0,72.0,62.0,54.0,52.0,50.0,48.0,47.0,45.0
PAN,102.0,94.0,82.0,87.0,101.0,102.0,101.0,99.0,97.0,94.0
PNG,470.0,377.0,342.0,277.0,238.0,231.0,227.0,224.0,220.0,215.0
PRY,150.0,147.0,158.0,159.0,139.0,145.0,139.0,136.0,134.0,132.0
PER,251.0,206.0,140.0,114.0,92.0,85.0,75.0,72.0,70.0,68.0
PHL,152.0,122.0,124.0,127.0,129.0,127.0,126.0,121.0,117.0,114.0
POL,17.0,13.0,8.0,6.0,4.0,3.0,3.0,3.0,3.0,3.0
PRT,17.0,15.0,13.0,12.0,11.0,10.0,11.0,10.0,10.0,10.0
QAT,29.0,28.0,24.0,21.0,16.0,15.0,14.0,13.0,13.0,13.0
ROU,124.0,77.0,51.0,33.0,30.0,30.0,30.0,31.0,31.0,31.0
RUS,63.0,82.0,57.0,42.0,29.0,27.0,26.0,25.0,25.0,25.0
RWA,1300.0,1260.0,1020.0,567.0,381.0,361.0,336.0,318.0,304.0,290.0
LCA,45.0,43.0,54.0,67.0,54.0,52.0,50.0,49.0,49.0,48.0
VCT,58.0,81.0,74.0,50.0,50.0,48.0,47.0,46.0,45.0,45.0
WSM,156.0,119.0,93.0,77.0,64.0,61.0,59.0,56.0,53.0,51.0
STP,330.0,263.0,222.0,181.0,162.0,161.0,162.0,161.0,159.0,156.0
SAU,46.0,33.0,23.0,18.0,14.0,13.0,13.0,12.0,12.0,12.0
SEN,540.0,509.0,488.0,427.0,375.0,365.0,351.0,335.0,323.0,315.0
SRB,14.0,15.0,17.0,15.0,16.0,16.0,16.0,17.0,17.0,17.0
SLE,2630.0,2900.0,2650.0,1990.0,1630.0,1580.0,1510.0,1460.0,1410.0,1360.0
SGP,12.0,13.0,18.0,16.0,11.0,12.0,12.0,11.0,10.0,10.0
SVK,11.0,9.0,8.0,7.0,6.0,6.0,6.0,6.0,6.0,6.0
SVN,12.0,12.0,12.0,11.0,9.0,9.0,8.0,9.0,9.0,9.0
SLB,364.0,273.0,214.0,164.0,136.0,131.0,126.0,122.0,118.0,114.0
SOM,1210.0,1190.0,1080.0,939.0,820.0,808.0,791.0,775.0,753.0,732.0
ZAF,108.0,62.0,85.0,112.0,154.0,154.0,152.0,145.0,140.0,138.0
SSD,1730.0,1530.0,1310.0,1090.0,876.0,869.0,857.0,841.0,823.0,789.0
ESP,6.0,6.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0
LKA,75.0,70.0,57.0,43.0,35.0,33.0,32.0,32.0,31.0,30.0
SDN,744.0,648.0,544.0,440.0,349.0,339.0,330.0,325.0,318.0,311.0
SUR,127.0,177.0,259.0,223.0,169.0,157.0,155.0,162.0,158.0,155.0
SWE,8.0,6.0,5.0,5.0,4.0,4.0,4.0,4.0,4.0,4.0
CHE,8.0,8.0,7.0,7.0,6.0,6.0,6.0,5.0,5.0,5.0
SYR,123.0,89.0,73.0,58.0,49.0,52.0,56.0,60.0,64.0,68.0
TJK,107.0,129.0,68.0,46.0,35.0,35.0,34.0,34.0,33.0,32.0
TZA,997.0,961.0,842.0,687.0,514.0,483.0,464.0,438.0,418.0,398.0
THA,40.0,23.0,25.0,26.0,23.0,22.0,22.0,21.0,21.0,20.0
MKD,14.0,13.0,12.0,10.0,8.0,7.0,8.0,8.0,8.0,8.0
TLS,1080.0,897.0,694.0,506.0,317.0,289.0,267.0,248.0,231.0,215.0
TGO,568.0,563.0,491.0,427.0,393.0,396.0,391.0,386.0,378.0,368.0
TON,75.0,100.0,97.0,114.0,130.0,133.0,135.0,131.0,127.0,124.0
TTO,90.0,77.0,62.0,62.0,65.0,65.0,63.0,64.0,63.0,63.0
TUN,131.0,112.0,84.0,74.0,67.0,66.0,64.0,64.0,63.0,62.0
TUR,97.0,86.0,79.0,57.0,23.0,21.0,19.0,18.0,17.0,16.0
TKM,82.0,74.0,59.0,53.0,46.0,46.0,45.0,44.0,43.0,42.0
UGA,687.0,684.0,620.0,504.0,420.0,408.0,395.0,372.0,356.0,343.0
UKR,46.0,52.0,34.0,30.0,26.0,25.0,25.0,24.0,24.0,24.0
ARE,17.0,12.0,8.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0
GBR,10.0,11.0,12.0,12.0,10.0,10.0,10.0,9.0,9.0,9.0
USA,12.0,12.0,12.0,13.0,14.0,14.0,14.0,14.0,14.0,14.0
URY,37.0,36.0,31.0,26.0,19.0,17.0,16.0,16.0,15.0,15.0
UZB,54.0,32.0,34.0,42.0,39.0,38.0,38.0,37.0,37.0,36.0
VUT,225.0,184.0,144.0,116.0,94.0,91.0,87.0,84.0,81.0,78.0
VEN,94.0,90.0,90.0,93.0,99.0,99.0,98.0,98.0,97.0,95.0
VNM,139.0,107.0,81.0,61.0,58.0,56.0,56.0,55.0,54.0,54.0
YEM,547.0,498.0,440.0,428.0,416.0,413.0,410.0,406.0,398.0,385.0
ZMB,577.0,596.0,541.0,372.0,262.0,251.0,243.0,237.0,231.0,224.0
ZWE,440.0,449.0,590.0,629.0,446.0,409.0,379.0,369.0,401.0,443.0
