"Population using improved sanitation facilities (%)"
"HDI Rank (2017)","Country","2000","","2005","","2010","","2015",""
"94"," Dominican Republic","79.3","","80.6","","81.8","","82.7",""
"86"," Ecuador","70.8","","76.1","","81.2","","86.1",""
"115"," Egypt","92.4","","92.7","","92.9","","93.2",""
"121"," El Salvador","81.9","","84.4","","87.9","","91.1",""
"141"," Equatorial Guinea","80.2","","78.0","","75.8","","74.5",""
"179"," Eritrea","7.5","","9.0","","10.4","","11.3",""
"30"," Estonia","99.1","","99.3","","99.4","","99.6",""
"144"," Eswatini (Kingdom of)","49.2","","52.1","","55.0","","58.0",""
"173"," Ethiopia","3.1","","4.4","","5.7","","7.1",""
"92"," Fiji","80.5","","84.3","","90.1","","95.7",""
"15"," Finland","99.4","","99.4","","99.4","","99.4",""
"24"," France","98.7","","98.7","","98.7","","98.7",""
"110"," Gabon","39.0","","39.7","","40.3","","40.9",""
"174"," Gambia","55.2","","50.2","","45.8","","41.7",""
"70"," Georgia","96.5","","92.9","","88.8","","84.9",""
"5"," Germany","99.2","","99.2","","99.2","","99.2",""
"140"," Ghana","11.2","","12.2","","13.3","","14.3",""
"31"," Greece","96.6","","97.4","","98.2","","99.0",""
"75"," Grenada","94.2","","89.2","","82.4","","78.3",""
"127"," Guatemala","59.2","","62.0","","64.7","","67.4",""
"175"," Guinea","9.1","","13.3","","17.6","","22.0",""
"177"," Guinea-Bissau","12.0","","15.0","","18.2","","21.5",""
"125"," Guyana","78.4","","80.9","","83.5","","86.2",""
"168"," Haiti","16.7","","21.9","","26.8","","30.5",""
"133"," Honduras","61.9","","68.2","","74.2","","79.8",""
"7"," Hong Kong, China (SAR)","97.0","","96.8","","96.6","","96.3",""
"45"," Hungary","98.0","","98.0","","98.0","","98.0",""
"6"," Iceland","98.8","","98.8","","98.8","","98.8",""
"130"," India","21.7","","29.2","","36.7","","44.2",""
"116"," Indonesia","44.2","","52.6","","60.5","","67.9",""
"60"," Iran (Islamic Republic of)","87.2","","87.7","","88.0","","88.3",""
"120"," Iraq","75.2","","79.3","","83.3","","85.7",""
"4"," Ireland","88.6","","89.8","","91.0","","92.2",""
"22"," Israel","100.0","","100.0","","100.0","","100.0",""
"28"," Italy","","","","","99.3","","99.3",""
"97"," Jamaica","83.8","","84.4","","84.9","","85.4",""
"19"," Japan","100.0","","100.0","","100.0","","100.0",""
"95"," Jordan","98.5","","98.2","","97.5","","96.7",""
"58"," Kazakhstan","96.9","","97.2","","97.5","","97.8",""
"142"," Kenya","31.0","","30.6","","30.2","","29.8",""
"134"," Kiribati","30.3","","34.2","","38.1","","39.8",""
"n.a"," Korea (Democratic People's Rep. of)","","","77.0","","77.0","","77.1",""
"22"," Korea (Republic of)","100.0","","100.0","","100.0","","99.9",""
"56"," Kuwait","100.0","","100.0","","100.0","","100.0",""
"122"," Kyrgyzstan","91.9","","93.3","","94.9","","96.6",""
"139"," Lao People's Democratic Republic","28.0","","43.4","","58.4","","72.6",""
"41"," Latvia","86.5","","88.3","","90.6","","92.9",""
"80"," Lebanon","75.1","","79.7","","87.6","","95.4",""
"159"," Lesotho","7.2","","19.6","","31.8","","43.8",""
"181"," Liberia","13.1","","14.3","","15.6","","16.9",""
"108"," Libya","99.7","","99.7","","99.7","","99.7",""
"17"," Liechtenstein","100.0","","100.0","","100.0","","100.0",""
"35"," Lithuania","84.9","","87.7","","90.7","","93.6",""
"21"," Luxembourg","97.7","","97.7","","97.6","","97.6",""
"161"," Madagascar","4.6","","6.2","","7.9","","9.7",""
"171"," Malawi","34.5","","37.5","","40.5","","43.5",""
"57"," Malaysia","96.8","","97.9","","98.9","","99.6",""
"101"," Maldives","78.1","","87.6","","95.4","","95.9",""
"182"," Mali","19.3","","23.3","","27.3","","31.3",""
"29"," Malta","100.0","","100.0","","100.0","","100.0",""
"106"," Marshall Islands","","","86.1","","86.5","","86.9",""
"159"," Mauritania","23.3","","30.2","","37.4","","44.6",""
"65"," Mauritius","91.4","","92.0","","92.7","","93.1",""
"74"," Mexico","76.3","","80.9","","85.2","","89.2",""
"131"," Micronesia (Federated States of)","","","","","56.2","","",""
"112"," Moldova (Republic of)","72.1","","74.1","","76.2","","78.4",""
"n.a"," Monaco","100.0","","100.0","","100.0","","100.0",""
"92"," Mongolia","48.0","","52.5","","56.5","","59.2",""
"50"," Montenegro","","","","","93.5","","95.9",""
"123"," Morocco","68.7","","74.2","","79.0","","83.5",""
"180"," Mozambique","12.0","","15.8","","19.6","","23.6",""
"148"," Myanmar","69.6","","67.9","","66.3","","64.7",""
"129"," Namibia","28.4","","30.1","","32.0","","33.8",""
"n.a"," Nauru","65.7","","65.7","","65.6","","65.6",""
"149"," Nepal","19.2","","28.4","","37.3","","46.1",""
"10"," Netherlands","98.1","","97.9","","97.8","","97.7",""
"16"," New Zealand","100.0","","100.0","","100.0","","100.0",""
"124"," Nicaragua","60.4","","65.7","","71.0","","76.3",""
"189"," Niger","6.0","","8.1","","10.4","","12.9",""
"157"," Nigeria","36.5","","35.0","","33.7","","32.6",""
"1"," Norway","98.1","","98.1","","98.1","","98.1",""
"48"," Oman","88.1","","91.8","","96.4","","99.3",""
"150"," Pakistan","31.6","","40.7","","49.6","","58.3",""
"60"," Palau","84.7","","93.1","","99.6","","100.0",""
"119"," Palestine, State of","94.3","","94.9","","95.5","","96.0",""
"66"," Panama","64.1","","68.4","","72.7","","76.9",""
"153"," Papua New Guinea","18.7","","18.6","","18.6","","18.6",""
"110"," Paraguay","71.9","","78.7","","85.0","","91.2",""
"89"," Peru","62.6","","67.7","","72.5","","76.8",""
"113"," Philippines","67.0","","69.5","","72.2","","75.0",""
"33"," Poland","87.0","","90.7","","94.4","","98.1",""
"41"," Portugal","97.3","","98.1","","98.8","","99.4",""
"37"," Qatar","","","99.4","","99.7","","100.0",""
"52"," Romania","","","","","81.6","","81.8",""
"49"," Russian Federation","83.8","","85.5","","87.1","","88.8",""
"158"," Rwanda","44.3","","51.0","","57.0","","62.3",""
"72"," Saint Kitts and Nevis","85.4","","88.8","","91.6","","",""
"90"," Saint Lucia","78.7","","81.3","","87.4","","90.9",""
"99"," Saint Vincent and the Grenadines","70.8","","76.7","","82.5","","87.2",""
"104"," Samoa","98.7","","98.5","","97.5","","96.6",""
"n.a"," San Marino","100.0","","100.0","","100.0","","100.0",""
"143"," Sao Tome and Principe","20.9","","27.2","","33.6","","40.1",""
"39"," Saudi Arabia","98.2","","98.9","","100.0","","100.0",""
"164"," Senegal","38.5","","41.7","","45.0","","48.4",""
"67"," Serbia","97.6","","96.6","","95.6","","94.6",""
"62"," Seychelles","94.1","","96.3","","98.4","","100.0",""
"184"," Sierra Leone","10.1","","11.5","","13.0","","14.5",""
"9"," Singapore","100.0","","100.0","","100.0","","100.0",""
"38"," Slovakia","98.8","","98.9","","98.9","","98.9",""
"25"," Slovenia","99.1","","99.1","","99.1","","99.1",""
"152"," Solomon Islands","20.9","","22.6","","27.3","","31.3",""
"n.a"," Somalia","22.4","","20.6","","18.5","","16.2",""
"113"," South Africa","59.4","","64.3","","68.9","","73.1",""
"187"," South Sudan","","","","","","","10.3",""
"26"," Spain","99.9","","99.9","","99.9","","99.9",""
"76"," Sri Lanka","85.4","","88.6","","91.7","","94.2",""
"167"," Sudan","20.9","","22.2","","28.3","","34.6",""
"100"," Suriname","80.9","","80.3","","79.6","","79.2",""
"7"," Sweden","99.3","","99.3","","99.3","","99.3",""
"2"," Switzerland","99.9","","99.9","","99.9","","99.9",""
"155"," Syrian Arab Republic","93.1","","93.0","","92.9","","92.9",""
"127"," Tajikistan","89.9","","91.9","","93.9","","95.5",""
"154"," Tanzania (United Republic of)","6.5","","11.8","","17.5","","23.5",""
"83"," Thailand","94.9","","95.0","","95.0","","95.0",""
"80"," The former Yugoslav Republic of Macedonia","89.8","","90.0","","90.8","","90.9",""
"132"," Timor-Leste","","","35.9","","39.8","","44.0",""
"165"," Togo","11.0","","11.9","","12.9","","13.9",""
"98"," Tonga","88.7","","89.2","","91.6","","93.5",""
"69"," Trinidad and Tobago","90.5","","91.3","","92.0","","92.1",""
"95"," Tunisia","80.4","","85.1","","89.3","","93.1",""
"64"," Turkey","82.6","","87.0","","92.0","","96.4",""
"108"," Turkmenistan","95.2","","95.7","","96.1","","96.6",""
"n.a"," Tuvalu","","","86.7","","90.1","","91.4",""
"162"," Uganda","15.4","","16.7","","17.9","","19.2",""
"88"," Ukraine","94.7","","95.1","","95.6","","95.9",""
"34"," United Arab Emirates","100.0","","100.0","","100.0","","100.0",""
"14"," United Kingdom","99.1","","99.1","","99.1","","99.1",""
"13"," United States","100.0","","100.0","","100.0","","100.0",""
"55"," Uruguay","94.1","","94.4","","95.1","","95.7",""
"105"," Uzbekistan","89.3","","97.9","","100.0","","100.0",""
"138"," Vanuatu","53.0","","53.1","","53.3","","53.5",""
"78"," Venezuela (Bolivarian Republic of)","87.3","","90.3","","93.2","","94.9",""
"116"," Viet Nam","53.4","","62.0","","70.3","","78.2",""
"178"," Yemen","41.2","","46.1","","53.0","","59.7",""
"144"," Zambia","26.0","","27.7","","29.5","","31.1",""
"156"," Zimbabwe","41.7","","41.0","","39.8","","38.6",""
""
