"Concentration index (exports) (value)"
"HDI Rank (2017)","Country","2010","","2011","","2012","","2013","","2014","","2015","","2016",""
"7"," Hong Kong, China (SAR)","0.196","","0.193","","0.206","","0.229","","0.233","","0.250","","0.268",""
"45"," Hungary","0.141","","0.127","","0.107","","0.105","","0.113","","0.125","","0.123",""
"6"," Iceland","0.455","","0.452","","0.434","","0.448","","0.445","","0.450","","0.441",""
"130"," India","0.164","","0.183","","0.173","","0.184","","0.175","","0.120","","0.120",""
"116"," Indonesia","0.155","","0.172","","0.170","","0.157","","0.152","","0.138","","0.128",""
"60"," Iran (Islamic Republic of)","0.599","","0.620","","0.615","","0.576","","0.592","","0.515","","0.560",""
"120"," Iraq","0.947","","0.977","","0.955","","0.974","","0.974","","0.969","","0.937",""
"4"," Ireland","0.259","","0.262","","0.253","","0.240","","0.241","","0.243","","0.242",""
"22"," Israel","0.273","","0.292","","0.266","","0.276","","0.287","","0.273","","0.255",""
"28"," Italy","0.052","","0.053","","0.056","","0.055","","0.053","","0.052","","0.052",""
"97"," Jamaica","0.425","","0.466","","0.412","","0.441","","0.470","","0.526","","0.441",""
"19"," Japan","0.125","","0.115","","0.123","","0.127","","0.127","","0.135","","0.141",""
"95"," Jordan","0.175","","0.181","","0.163","","0.155","","0.163","","0.161","","0.164",""
"58"," Kazakhstan","0.628","","0.607","","0.592","","0.658","","0.657","","0.563","","0.506",""
"142"," Kenya","0.217","","0.202","","0.204","","0.217","","0.183","","0.197","","0.196",""
"134"," Kiribati","0.629","","0.754","","0.799","","0.878","","0.816","","0.905","","0.892",""
"n.a"," Korea (Democratic People's Rep. of)","0.186","","0.328","","0.359","","0.373","","0.334","","0.334","","0.399",""
"22"," Korea (Republic of)","0.154","","0.152","","0.147","","0.148","","0.148","","0.148","","0.144",""
"56"," Kuwait","0.662","","0.661","","0.697","","0.686","","0.672","","0.629","","0.627",""
"122"," Kyrgyzstan","0.286","","0.276","","0.268","","0.403","","0.436","","0.439","","0.316",""
"139"," Lao People's Democratic Republic","0.310","","0.307","","0.296","","0.283","","0.260","","0.191","","0.204",""
"41"," Latvia","0.081","","0.082","","0.088","","0.091","","0.096","","0.088","","0.093",""
"80"," Lebanon","0.125","","0.161","","0.220","","0.125","","0.101","","0.119","","0.113",""
"159"," Lesotho","0.281","","0.282","","0.264","","0.276","","0.279","","0.278","","0.278",""
"181"," Liberia","0.411","","0.391","","0.344","","0.420","","0.446","","0.446","","0.331",""
"108"," Libya","0.790","","0.804","","0.823","","0.776","","0.733","","0.616","","0.542",""
"35"," Lithuania","0.188","","0.207","","0.200","","0.187","","0.142","","0.133","","0.112",""
"21"," Luxembourg","0.134","","0.133","","0.125","","0.116","","0.109","","0.102","","0.102",""
"161"," Madagascar","0.178","","0.242","","0.226","","0.223","","0.267","","0.295","","0.300",""
"171"," Malawi","0.533","","0.423","","0.499","","0.468","","0.481","","0.488","","0.415",""
"57"," Malaysia","0.165","","0.168","","0.164","","0.172","","0.178","","0.170","","0.174",""
"101"," Maldives","0.518","","0.705","","0.763","","0.800","","0.758","","0.781","","0.769",""
"182"," Mali","0.647","","0.590","","0.682","","0.738","","0.739","","0.774","","0.737",""
"29"," Malta","0.437","","0.432","","0.437","","0.415","","0.379","","0.362","","0.336",""
"106"," Marshall Islands","0.718","","0.707","","0.793","","0.725","","0.796","","0.726","","0.630",""
"159"," Mauritania","0.463","","0.419","","0.439","","0.470","","0.435","","0.371","","0.360",""
"65"," Mauritius","0.249","","0.241","","0.238","","0.248","","0.218","","0.211","","0.203",""
"74"," Mexico","0.148","","0.154","","0.146","","0.141","","0.130","","0.122","","0.124",""
"131"," Micronesia (Federated States of)","0.555","","0.614","","0.866","","0.717","","0.753","","0.704","","0.835",""
"112"," Moldova (Republic of)","0.145","","0.135","","0.142","","0.151","","0.146","","0.168","","0.165",""
"92"," Mongolia","0.499","","0.504","","0.507","","0.373","","0.468","","0.497","","0.401",""
"50"," Montenegro","0.371","","0.389","","0.339","","0.302","","0.234","","0.223","","0.212",""
"123"," Morocco","0.156","","0.167","","0.162","","0.155","","0.160","","0.166","","0.175",""
"180"," Mozambique","0.506","","0.418","","0.318","","0.287","","0.275","","0.311","","0.270",""
"148"," Myanmar","0.375","","0.337","","0.328","","0.424","","0.380","","0.390","","0.289",""
"129"," Namibia","0.222","","0.234","","0.254","","0.229","","0.254","","0.294","","0.275",""
"n.a"," Nauru","0.615","","0.904","","0.931","","0.710","","0.552","","0.638","","0.693",""
"149"," Nepal","0.144","","0.143","","0.142","","0.136","","0.133","","0.138","","0.147",""
"10"," Netherlands","0.120","","0.104","","0.118","","0.112","","0.098","","0.081","","0.072",""
"16"," New Zealand","0.161","","0.172","","0.172","","0.198","","0.203","","0.167","","0.162",""
"124"," Nicaragua","0.214","","0.218","","0.199","","0.206","","0.219","","0.227","","0.219",""
"189"," Niger","0.377","","0.414","","0.400","","0.348","","0.407","","0.392","","0.297",""
"157"," Nigeria","0.801","","0.789","","0.771","","0.805","","0.780","","0.731","","0.734",""
"1"," Norway","0.391","","0.405","","0.406","","0.393","","0.377","","0.334","","0.315",""
"48"," Oman","0.583","","0.602","","0.510","","0.496","","0.619","","0.530","","0.506",""
"150"," Pakistan","0.199","","0.184","","0.183","","0.189","","0.193","","0.202","","0.214",""
"60"," Palau","0.866","","0.912","","0.890","","0.819","","0.699","","0.746","","0.717",""
"119"," Palestine, State of","0.171","","0.179","","0.166","","0.162","","0.189","","0.186","","0.185",""
"66"," Panama","0.144","","0.149","","0.131","","0.126","","0.129","","0.149","","0.151",""
"153"," Papua New Guinea","0.369","","0.301","","0.292","","0.306","","0.280","","0.302","","0.286",""
"110"," Paraguay","0.361","","0.379","","0.320","","0.342","","0.342","","0.317","","0.336",""
"89"," Peru","0.272","","0.266","","0.266","","0.250","","0.227","","0.247","","0.281",""
"113"," Philippines","0.313","","0.245","","0.223","","0.225","","0.231","","0.279","","0.287",""
