Country,2000,2005,2010,2015
Saudi Arabia,5.2,4.9,5.7,5.5
Senegal,23.5,23.7,21.6,20.2
Serbia,26.2,23.0,19.1,19.5
Seychelles,17.3,17.8,16.7,15.7
Sierra Leone,32.8,32.0,29.1,29.7
Singapore,15.0,14.6,12.0,11.9
Slovakia,21.9,21.1,20.0,18.1
Slovenia,40.0,33.6,26.3,24.5
Solomon Islands,18.3,14.8,13.8,13.7
Somalia,13.1,12.7,11.5,12.7
South Africa,20.7,19.6,20.2,20.7
South Sudan,17.4,16.7,15.7,14.3
Spain,10.1,9.2,7.9,9.4
Sri Lanka,59.5,48.2,47.6,58.8
Sudan,18.2,18.6,17.8,16.6
Suriname,46.3,49.4,45.7,41.6
Sweden,17.1,17.2,16.9,17.8
Switzerland,24.1,20.4,15.2,15.5
Syrian Arab Republic,4.0,3.8,4.3,5.2
Tajikistan,8.9,8.9,7.7,7.2
Tanzania (United Republic of),19.1,16.2,16.1,16.5
Thailand,14.5,17.9,19.5,18.2
The former Yugoslav Republic of Macedonia,10.5,9.9,7.3,9.9
Timor-Leste,22.0,15.3,15.1,13.2
Togo,24.7,24.7,23.3,23.1
Tonga,5.1,5.1,5.4,5.1
Trinidad and Tobago,23.5,16.8,19.2,22.4
Tunisia,7.1,6.7,6.8,6.7
Turkey,18.7,16.5,14.9,12.6
Turkmenistan,15.7,19.9,16.0,15.8
Uganda,19.1,17.8,18.0,18.3
Ukraine,57.1,40.4,34.1,28.7
United Arab Emirates,5.7,4.4,4.2,3.6
United Kingdom,12.5,10.9,10.6,11.7
United States,15.9,16.7,18.2,19.5
Uruguay,26.4,22.0,24.2,25.2
Uzbekistan,14.0,11.3,10.4,13.6
Vanuatu,15.4,13.4,11.8,10.8
Venezuela (Bolivarian Republic of),15.9,10.4,6.2,5.4
Viet Nam,11.7,11.1,11.5,11.3
Yemen,13.0,13.6,13.5,12.6
Zambia,21.2,18.5,18.3,18.2
Zimbabwe,30.7,29.3,28.5,26.9
