Country,2010,2011,2012,2013,2014,2015,2016
DMA,0.38378378378378386,0.35459459459459464,0.4140540540540541,0.387027027027027,0.38054054054054054,0.38378378378378386,0.38918918918918927
DOM,0.10054054054054053,0.08648648648648649,0.09081081081081083,0.1275675675675676,0.1502702702702703,0.14810810810810807,0.17837837837837836
ECU,0.48540540540540544,0.5005405405405406,0.5037837837837839,0.5113513513513515,0.4843243243243244,0.3459459459459461,0.32
EGY,0.10918918918918918,0.1275675675675676,0.13297297297297297,0.11675675675675676,0.12108108108108107,0.09945945945945948,0.11027027027027027
SLV,0.17729729729729735,0.1556756756756757,0.15351351351351347,0.16324324324324327,0.1708108108108108,0.17297297297297295,0.1827027027027027
GNQ,0.7416216216216216,0.7167567567567568,0.7383783783783784,0.6691891891891891,0.695135135135135,0.6756756756756758,0.6799999999999999
ERI,0.09189189189189187,0.574054054054054,0.6843243243243243,0.3935135135135136,0.42702702702702705,0.3318918918918919,0.37837837837837845
EST,0.07351351351351351,0.10054054054054053,0.09189189189189187,0.059459459459459456,0.07135135135135136,0.06918918918918918,0.0627027027027027
SWZ,0.22270270270270273,0.1935135135135135,0.19027027027027027,0.212972972972973,0.18486486486486486,0.19783783783783784,0.19135135135135137
ETH,0.3383783783783784,0.34810810810810816,0.3264864864864865,0.2832432432432433,0.2756756756756757,0.26810810810810815,0.2702702702702703
FJI,0.17189189189189194,0.2497297297297298,0.23783783783783788,0.14378378378378381,0.2248648648648649,0.17513513513513512,0.16540540540540538
FIN,0.08864864864864866,0.08864864864864866,0.09405405405405406,0.10054054054054053,0.09729729729729729,0.0962162162162162,0.0983783783783784
FRA,0.038918918918918924,0.03351351351351352,0.042162162162162155,0.042162162162162155,0.04324324324324324,0.049729729729729735,0.049729729729729735
GAB,0.825945945945946,0.815135135135135,0.8205405405405405,0.8237837837837838,0.8162162162162163,0.7837837837837838,0.7664864864864864
GMB,0.1762162162162162,0.20216216216216218,0.3145945945945946,0.3318918918918919,0.3297297297297298,0.3243243243243244,0.3254054054054054
GEO,0.16972972972972972,0.1935135135135135,0.21513513513513516,0.20864864864864868,0.1837837837837838,0.14162162162162165,0.15783783783783786
DEU,0.04864864864864864,0.04324324324324324,0.044324324324324336,0.044324324324324336,0.04864864864864864,0.057297297297297295,0.05837837837837837
GHA,0.46702702702702703,0.318918918918919,0.4248648648648649,0.39459459459459467,0.40972972972972976,0.40216216216216216,0.4064864864864865
GRC,0.17513513513513512,0.2248648648648649,0.3091891891891892,0.31675675675675674,0.31027027027027027,0.21729729729729733,0.19675675675675677
GRD,0.1372972972972973,0.14594594594594595,0.14486486486486494,0.14486486486486494,0.14918918918918922,0.1502702702702703,0.14486486486486494
GTM,0.09729729729729729,0.10054054054054053,0.10054054054054053,0.09405405405405406,0.08972972972972974,0.09405405405405406,0.08756756756756758
GIN,0.4010810810810811,0.4432432432432433,0.44108108108108113,0.4281081081081081,0.42918918918918925,0.425945945945946,0.4281081081081081
GNB,0.8864864864864865,0.8875675675675676,0.8875675675675676,0.8875675675675676,0.8875675675675676,0.8897297297297297,0.8908108108108107
GUY,0.44648648648648653,0.46594594594594596,0.4832432432432433,0.49081081081081085,0.4345945945945946,0.3383783783783784,0.47459459459459463
HTI,0.5113513513513515,0.49297297297297304,0.4940540540540541,0.4832432432432433,0.48000000000000004,0.5027027027027028,0.4940540540540541
HND,0.1827027027027027,0.21513513513513516,0.19675675675675677,0.18594594594594593,0.1643243243243243,0.17405405405405405,0.17297297297297295
HKG,0.1556756756756757,0.15243243243243246,0.16648648648648653,0.19135135135135137,0.19567567567567568,0.2140540540540541,0.23351351351351357
HUN,0.0962162162162162,0.08108108108108109,0.059459459459459456,0.057297297297297295,0.06594594594594595,0.07891891891891892,0.07675675675675676
ISL,0.4356756756756757,0.4324324324324325,0.41297297297297303,0.4281081081081081,0.4248648648648649,0.4302702702702703,0.4205405405405406
IND,0.12108108108108107,0.14162162162162165,0.13081081081081083,0.14270270270270272,0.13297297297297297,0.07351351351351351,0.07351351351351351
IDN,0.11135135135135135,0.1297297297297297,0.1275675675675676,0.11351351351351352,0.1081081081081081,0.09297297297297298,0.08216216216216217
IRN,0.5913513513513513,0.614054054054054,0.6086486486486486,0.5664864864864866,0.5837837837837838,0.5005405405405406,0.5491891891891892
IRQ,0.9675675675675677,1.0,0.9762162162162162,0.9967567567567569,0.9967567567567569,0.9913513513513514,0.9567567567567569
IRL,0.22378378378378383,0.22702702702702707,0.21729729729729733,0.20324324324324325,0.20432432432432435,0.20648648648648651,0.20540540540540542
ISR,0.23891891891891898,0.2594594594594595,0.2313513513513514,0.24216216216216221,0.25405405405405407,0.23891891891891898,0.2194594594594595
ITA,0.0,0.0010810810810810746,0.004324324324324313,0.0032432432432432387,0.0010810810810810746,0.0,0.0
JAM,0.4032432432432433,0.44756756756756766,0.38918918918918927,0.4205405405405406,0.4518918918918919,0.5124324324324325,0.4205405405405406
JPN,0.07891891891891892,0.06810810810810812,0.07675675675675676,0.08108108108108109,0.08108108108108109,0.08972972972972974,0.0962162162162162
JOR,0.13297297297297297,0.13945945945945948,0.12000000000000001,0.11135135135135135,0.12000000000000001,0.11783783783783784,0.12108108108108107
KAZ,0.6227027027027027,0.6,0.5837837837837838,0.655135135135135,0.654054054054054,0.5524324324324323,0.49081081081081085
KEN,0.17837837837837836,0.16216216216216214,0.1643243243243243,0.17837837837837836,0.14162162162162165,0.15675675675675674,0.1556756756756757
KIR,0.6237837837837837,0.7589189189189189,0.8075675675675676,0.892972972972973,0.825945945945946,0.9221621621621622,0.9081081081081082
PRK,0.14486486486486494,0.2983783783783784,0.3318918918918919,0.34702702702702704,0.30486486486486486,0.30486486486486486,0.37513513513513513
KOR,0.11027027027027027,0.1081081081081081,0.1027027027027027,0.1037837837837838,0.1037837837837838,0.1037837837837838,0.09945945945945948
KWT,0.6594594594594595,0.6583783783783783,0.6972972972972974,0.6854054054054053,0.6702702702702703,0.6237837837837837,0.6216216216216216
KGZ,0.25297297297297305,0.24216216216216221,0.23351351351351357,0.37945945945945947,0.41513513513513517,0.41837837837837843,0.28540540540540543
LAO,0.27891891891891896,0.2756756756756757,0.26378378378378387,0.2497297297297298,0.2248648648648649,0.1502702702702703,0.1643243243243243
LVA,0.03135135135135135,0.03243243243243242,0.038918918918918924,0.042162162162162155,0.04756756756756757,0.038918918918918924,0.044324324324324336
LBN,0.07891891891891892,0.11783783783783784,0.18162162162162163,0.07891891891891892,0.052972972972972966,0.07243243243243244,0.06594594594594595
LSO,0.24756756756756762,0.24864864864864863,0.22918918918918924,0.24216216216216221,0.2454054054054054,0.24432432432432438,0.24432432432432438
LBR,0.3881081081081082,0.3664864864864865,0.31567567567567567,0.3978378378378379,0.425945945945946,0.425945945945946,0.30162162162162165
LBY,0.7978378378378379,0.812972972972973,0.8335135135135134,0.7827027027027026,0.7362162162162162,0.6097297297297297,0.5297297297297299
LTU,0.14702702702702705,0.16756756756756755,0.16000000000000003,0.14594594594594595,0.09729729729729729,0.08756756756756758,0.06486486486486485
LUX,0.08864864864864866,0.08756756756756758,0.07891891891891892,0.06918918918918918,0.061621621621621624,0.05405405405405404,0.05405405405405404
MDG,0.13621621621621624,0.20540540540540542,0.1881081081081081,0.18486486486486486,0.23243243243243247,0.26270270270270274,0.26810810810810815
MWI,0.5199999999999999,0.4010810810810811,0.4832432432432433,0.44972972972972974,0.4637837837837839,0.47135135135135137,0.3924324324324325
MYS,0.12216216216216218,0.12540540540540543,0.12108108108108107,0.1297297297297297,0.13621621621621624,0.1275675675675676,0.13189189189189188
MDV,0.5037837837837839,0.705945945945946,0.7686486486486487,0.8086486486486487,0.7632432432432432,0.788108108108108,0.7751351351351352
MLI,0.6432432432432432,0.5816216216216216,0.6810810810810811,0.7416216216216216,0.7427027027027028,0.7805405405405406,0.7405405405405405
MLT,0.41621621621621635,0.41081081081081094,0.41621621621621635,0.3924324324324325,0.35351351351351357,0.3351351351351352,0.30702702702702706
MHL,0.72,0.7081081081081082,0.801081081081081,0.7275675675675676,0.8043243243243242,0.7286486486486486,0.6248648648648648
MRT,0.44432432432432434,0.39675675675675676,0.41837837837837843,0.4518918918918919,0.4140540540540541,0.3448648648648649,0.332972972972973
MUS,0.212972972972973,0.20432432432432435,0.20108108108108108,0.21189189189189192,0.17945945945945946,0.17189189189189194,0.16324324324324327
MEX,0.1037837837837838,0.11027027027027027,0.10162162162162161,0.0962162162162162,0.08432432432432432,0.07567567567567568,0.07783783783783783
FSM,0.5437837837837838,0.6075675675675676,0.88,0.718918918918919,0.7578378378378379,0.704864864864865,0.8464864864864865
MDA,0.10054054054054053,0.08972972972972974,0.09729729729729729,0.10702702702702703,0.10162162162162161,0.12540540540540543,0.12216216216216218
MNG,0.4832432432432433,0.4886486486486487,0.4918918918918919,0.34702702702702704,0.44972972972972974,0.4810810810810812,0.3772972972972974
MNE,0.3448648648648649,0.3643243243243244,0.31027027027027027,0.2702702702702703,0.19675675675675677,0.18486486486486486,0.17297297297297295
MAR,0.11243243243243244,0.1243243243243243,0.11891891891891893,0.11135135135135135,0.11675675675675676,0.12324324324324326,0.13297297297297297
MOZ,0.49081081081081085,0.3956756756756757,0.28756756756756763,0.25405405405405407,0.24108108108108114,0.28,0.2356756756756757
MMR,0.34918918918918923,0.3081081081081082,0.2983783783783784,0.40216216216216216,0.35459459459459464,0.36540540540540545,0.2562162162162162
NAM,0.1837837837837838,0.19675675675675677,0.2183783783783784,0.19135135135135137,0.2183783783783784,0.2616216216216216,0.24108108108108114
NRU,0.6086486486486486,0.9210810810810811,0.9502702702702702,0.7113513513513513,0.5405405405405406,0.6335135135135135,0.6929729729729729
NPL,0.09945945945945948,0.0983783783783784,0.09729729729729729,0.09081081081081083,0.08756756756756758,0.09297297297297298,0.1027027027027027
NLD,0.07351351351351351,0.056216216216216225,0.07135135135135136,0.06486486486486485,0.049729729729729735,0.03135135135135135,0.021621621621621626
NZL,0.11783783783783784,0.1297297297297297,0.1297297297297297,0.15783783783783786,0.16324324324324327,0.1243243243243243,0.11891891891891893
NIC,0.17513513513513512,0.17945945945945946,0.15891891891891888,0.16648648648648653,0.18054054054054053,0.1891891891891892,0.18054054054054053
NER,0.35135135135135137,0.39135135135135135,0.37621621621621626,0.32,0.38378378378378386,0.36756756756756764,0.2648648648648649
NGA,0.8097297297297297,0.7967567567567568,0.7772972972972972,0.8140540540540541,0.7870270270270271,0.734054054054054,0.7372972972972974
NOR,0.3664864864864865,0.38162162162162167,0.3827027027027028,0.36864864864864866,0.35135135135135137,0.30486486486486486,0.28432432432432436
OMN,0.574054054054054,0.5945945945945945,0.4951351351351352,0.48000000000000004,0.6129729729729729,0.5167567567567568,0.49081081081081085
PAK,0.15891891891891888,0.14270270270270272,0.14162162162162165,0.14810810810810807,0.15243243243243246,0.16216216216216214,0.17513513513513512
PLW,0.88,0.9297297297297298,0.905945945945946,0.8291891891891893,0.6994594594594595,0.7502702702702703,0.718918918918919
PSE,0.12864864864864867,0.1372972972972973,0.12324324324324326,0.11891891891891893,0.14810810810810807,0.14486486486486494,0.14378378378378381
PAN,0.09945945945945948,0.10486486486486486,0.08540540540540541,0.08,0.08324324324324325,0.10486486486486486,0.10702702702702703
PNG,0.34270270270270276,0.2691891891891892,0.2594594594594595,0.2745945945945946,0.24648648648648655,0.2702702702702703,0.25297297297297305
PRY,0.3340540540540541,0.35351351351351357,0.28972972972972977,0.3135135135135136,0.3135135135135136,0.2864864864864865,0.30702702702702706
PER,0.23783783783783788,0.2313513513513514,0.2313513513513514,0.2140540540540541,0.1891891891891892,0.21081081081081082,0.24756756756756762
PHL,0.28216216216216217,0.20864864864864868,0.18486486486486486,0.18702702702702703,0.1935135135135135,0.2454054054054054,0.25405405405405407
