"Net migration rate (per 1,000 people)"
"HDI Rank (2017)","Country","1990","","1995","","2000","","2005","","2010","","2015",""
"11"," Denmark","1.3","","2.5","","2.8","","1.7","","3.2","","3.8"," a"
"172"," Djibouti","35.4","","-14.7","","3.0","","-2.4","","-0.4","","1.4"," a"
"94"," Dominican Republic","-3.9","","-3.8","","-3.6","","-3.4","","-3.2","","-3.0"," a"
"86"," Ecuador","-0.4","","-0.4","","-1.2","","-1.8","","-0.6","","-0.5"," a"
"115"," Egypt","-0.8","","-1.5","","-0.6","","-0.2","","-0.7","","-0.6"," a"
"121"," El Salvador","-10.1","","-9.8","","-11.4","","-10.5","","-9.4","","-7.7"," a"
"141"," Equatorial Guinea","10.2","","8.6","","12.5","","14.6","","18.7","","16.9"," a"
"179"," Eritrea","-2.7","","-25.8","","-4.3","","6.0","","-7.7","","-6.9"," a"
"30"," Estonia","2.0","","-14.9","","-0.2","","-2.7","","-2.3","","-1.6"," a"
"144"," Eswatini (Kingdom of)","4.4","","-8.4","","-2.4","","-8.5","","-1.0","","-1.0"," a"
"173"," Ethiopia","3.5","","5.6","","-0.5","","-0.2","","-0.1","","-0.1"," a"
"92"," Fiji","-18.6","","-9.5","","-10.7","","-15.1","","-6.8","","-6.6"," a"
"15"," Finland","0.7"," e","1.9"," e","0.9"," e","1.2"," e","2.2"," e","3.0"," a,e"
"24"," France","1.7","","1.1","","1.3","","1.6","","1.7","","1.1"," a"
"110"," Gabon","1.1","","1.0","","1.7","","4.7","","9.0","","9.6"," a"
"174"," Gambia","11.7","","-3.0","","-4.6","","-2.1","","-1.8","","-1.5"," a"
"70"," Georgia","-1.6"," f","-20.9"," f","-15.0"," f","-12.1"," f","-13.7"," f","-14.9"," a,f"
"5"," Germany","4.4","","6.6","","1.7","","2.0","","0.1","","4.4"," a"
"140"," Ghana","-0.4","","-0.2","","-1.3","","1.6","","1.6","","-0.4"," a"
"31"," Greece","3.5","","8.8","","5.4","","2.0","","1.4","","-2.9"," a"
"75"," Grenada","-30.6","","-8.0","","-9.7","","-8.1","","-8.2","","-8.1"," a"
