Country,2010,2011,2012,2013,2014,2015,2016,2017
TKM,10.2,,,,,,3.6,3.6
TUV,,,,10.5,10.5,10.5,10.5,10.5
UGA,28.2,32.2,32.2,31.2,29.4,29.4,29.4,27.9
UKR,2.8,6.1,6.1,6.1,3.6,3.6,3.6,3.6
GBR,2.1,2.2,2.6,2.6,2.8,2.8,8.7,3.7
USA,3.2,3.7,5.3,6.7,5.3,5.6,5.6,5.5
URY,10.8,10.8,10.8,10.9,9.2,10.4,7.4,7.4
UZB,1.4,1.4,1.4,1.4,1.4,1.4,1.3,0.8
VUT,,,,,17.5,17.5,17.5,17.5
VEN,17.0,18.1,18.1,17.6,17.6,17.6,14.5,12.9
VNM,17.1,17.1,17.1,18.0,18.0,17.6,17.6,17.6
YEM,49.8,49.8,49.8,47.2,48.1,48.1,46.1,46.1
ZMB,24.2,23.8,23.8,23.8,21.7,21.7,21.7,21.7
ZWE,20.1,20.1,17.8,17.8,17.4,17.4,16.8,16.8
