Country,Human Development Index (HDI),[Education] Education Index,[Education] Expected years of schooling (years),[Education] Mean years of schooling (years),[Health] Life expectancy Index,[Health] Life expectancy at birth (years),[Income_composition of resources] Gross national income (GNI) per capita (2011 PPP$),[Income_composition of resources] Income Index
EST,1.1219890501223426,1.4912741515607173,1.3003775306068621,1.535489367703121,0.6454296337073663,0.6444986225156253,0.5148893739762122,0.9667107771364816
ETH,-1.5753795276554936,-1.4910889310226814,-1.090170188843093,-1.6478663262303193,-0.8723958133762251,-0.8706418944118203,-0.7607278363252661,-1.7288172589125392
FIN,1.502155091285662,1.6031127671575949,1.5693141490449816,1.5039709944958588,1.212084467285239,1.2152707350567862,1.4859908648050546,1.4177769605882329
FJI,0.2892443885265004,0.7297064358295994,0.7923861402237464,0.6214565446925291,0.09226658188134602,0.09448185952141595,-0.4227240020167074,-0.04411223638190201
FRA,1.3452611695357206,1.20368914002589,1.2704956841137371,1.031195396386932,1.3402563939278542,1.3398028323384943,1.259165418175243,1.330824443296329
FSM,-0.3564344432905654,-0.20228202747771235,-0.10406925456998653,-0.22953953190353907,0.03829945487393017,0.042593485654037685,-0.6353358436357737,-0.6962561160711805
GAB,-0.012474691761847732,0.05867474224833468,0.19474921036125778,-0.04042929265996849,-0.6632731962224857,-0.6630883989423072,-0.08988875134841981,0.46673380270803383
GBR,1.4538800384395256,1.5658332286253023,1.2704956841137371,1.6930812337394299,1.2323221399130204,1.2256484098302614,1.228638471049892,1.3199553786348408
GEO,0.4401039286706749,0.9746862604703782,0.3142765963337556,1.5039709944958588,0.4835282526851164,0.4888335009134905,-0.4704257218633756,-0.15280288299678138
GHA,-0.6822910500019815,-0.3567258299686385,-0.40288771950123087,-0.261057905110801,-0.8184286863688085,-0.818753520544442,-0.65789455764904,-0.8103812950168046
GIN,-1.5633107644439594,-1.5869506015342902,-1.090170188843093,-1.83697656547389,-1.2973869385596302,-1.2961265601243221,-0.7311161592195465,-1.3429654634297157
GMB,-1.3279698818190477,-1.2940399416377066,-0.8511154168980973,-1.5217928334012722,-0.9331088312595688,-0.9329079430526743,-0.7296086556578009,-1.332096398768228
GNB,-1.4486575139343871,-1.2407834580201462,-0.6718243379393508,-1.5848295798157956,-1.4188129743263174,-1.4206586574060303,-0.7385459982024362,-1.4244834483908757
GNQ,-0.41677825934823515,-0.7668007538238558,-0.7913517239118486,-0.6392783835979422,-1.3311163929392655,-1.3272595844447488,0.762389155167108,1.108008617735825
GRC,1.2185391558146141,1.1025018211525246,1.3302593770999858,0.8420851571433614,1.2525598125408024,1.256781434150688,0.8546699089111139,1.1514848763817769
GRD,0.5064821263341123,0.6657986554885265,1.1509682981412392,0.2117176929981257,0.42956112567769983,0.42656745227263565,-0.1919144388308535,0.34173955910092246
GTM,-0.34436568007903146,-0.7774520505473674,-0.40288771950123087,-0.985980488877822,0.2878974172832305,0.2916576802174525,-0.45561988331051584,-0.11476115668157338
GUY,-0.20557490314639099,-0.06914081843381109,-0.3132421800218579,0.18019931979086404,-0.22479028928722652,-0.22722605845633018,-0.5209270911818573,-0.2832316589346373
HKG,1.4538800384395256,1.1717352498553528,1.0314409121687416,1.220305635630503,1.5089036658260313,1.5058456287141042,1.849568420250371,1.5373366718646009
HND,-0.39264073292516727,-0.6230082480564418,-0.3730058730081065,-0.7338335032197277,0.42281523480177197,0.42656745227263565,-0.598886561089279,-0.5386546784796046
HRV,0.8926825491031974,0.8521963481499891,0.7326224472374973,0.9051219035578852,0.8478063599851785,0.8520521179851384,0.34233405556924645,0.8525855981908571
HTI,-1.1409040520402713,-1.006454930102879,-0.9706428028705951,-0.8914253692560367,-0.7846992319891731,-0.7876204962240153,-0.7251399843854831,-1.283185607791532
HUN,0.9831982731897021,1.2249917334729137,1.0613227586618663,1.2833423820450265,0.6184460702036572,0.6237432729686737,0.3833058488009784,0.879758259844577
IDN,-0.054715363002217236,-0.0904434118808348,-0.014423715090613558,-0.10346603907449212,-0.022413563009414262,-0.01967256298681712,-0.4052800322307926,-0.006070510066693422
IND,-0.5495346546751086,-0.6070313029711739,-0.3730058730081065,-0.7023151300124658,-0.22479028928722652,-0.22722605845633018,-0.6079315824597533,-0.5766964047948132
IRL,1.5262926177087293,1.7043000860309603,1.838250767483101,1.4409342480813354,1.225576249037094,1.2256484098302614,1.3506385807254564,1.3688661696115363
