Country,2010,2011,2012,2013,2014,2015,2016
PSE,2,2,2,2,8,1,9
QAT,7,7,6,7,2,8,8
ROU,0,0,0,0,7,7,7
RUS,0,6,0,1,7,0,1
RWA,3,5,3,4,4,2,2
SAU,0,6,0,1,1,0,1
SDN,3,5,3,4,4,2,2
SEN,3,5,3,4,4,2,2
SGP,7,7,6,7,2,8,8
SLB,5,4,4,5,0,4,0
SLE,9,9,7,8,6,5,6
SLV,8,2,2,3,8,1,3
SMR,4,6,0,0,7,7,7
SOM,9,9,7,8,6,5,6
SRB,0,0,0,0,7,7,7
SSD,9,5,7,8,6,5,6
STP,5,4,4,5,0,4,0
SUR,2,3,2,2,3,3,9
SVK,4,6,1,1,1,0,1
SVN,4,1,1,1,1,0,1
SWE,1,8,6,9,2,6,4
SWZ,3,5,3,4,4,2,0
SYC,6,3,5,6,5,3,5
SYR,8,2,2,5,0,2,0
TCD,9,9,7,8,6,5,6
TGO,3,5,3,4,4,2,2
THA,2,3,5,2,3,3,9
TJK,2,2,2,3,8,1,3
TKM,2,2,2,3,8,1,3
TLS,5,4,4,5,0,4,0
TON,6,3,5,2,8,3,9
TTO,0,0,0,0,7,7,7
TUN,2,3,5,2,3,3,9
TUR,6,3,5,6,5,7,5
TUV,8,2,2,3,8,1,3
TZA,3,5,3,4,4,2,2
UGA,3,5,3,4,4,2,2
UKR,0,0,0,6,7,7,5
URY,0,0,0,0,7,7,7
USA,7,8,6,9,2,8,4
UZB,2,3,2,6,8,3,9
VCT,2,3,5,2,3,3,9
VEN,6,3,5,6,5,3,5
VNM,2,3,2,2,3,3,9
VUT,8,2,2,3,0,1,3
WSM,2,3,2,2,8,1,9
YEM,3,5,3,4,4,2,2
ZAF,2,2,2,3,8,1,9
ZMB,5,4,4,4,4,4,0
ZWE,3,5,3,4,4,2,0
