Country,Human Development Index (HDI),[Education] Education Index,[Education] Expected years of schooling (years),[Education] Mean years of schooling (years),[Health] Life expectancy Index,[Health] Life expectancy at birth (years),[Income_composition of resources] Gross national income (GNI) per capita (2011 PPP$),[Income_composition of resources] Income Index,[Socio-economic sustainability] Research and development expenditure (% of GDP)
GBR,0.8554376657824936,0.8372093023255813,0.6132075471698113,0.8043478260869565,0.8722669735327964,0.8725663716814162,0.24221433047837895,0.8397291196388261,0.372093023255814
GEO,,,0.4150943396226416,,0.762945914844649,0.7628318584070798,0.019628159598913723,0.42437923250564336,0.06976744186046512
GHA,0.36472148541114063,0.37674418604651166,0.2641509433962264,0.3985507246376812,0.527042577675489,0.5256637168141592,0.015575517025276792,0.3882618510158013,
GIN,0.13262599469496023,0.07674418604651162,0.07547169811320756,0.07971014492753623,0.42692750287687,0.42654867256637174,0.00811364111134322,0.29232505643340856,
GMB,0.21352785145888595,0.16046511627906973,0.169811320754717,0.10869565217391305,0.47180667433831996,0.4725663716814159,0.010286191769375392,0.3261851015801354,
GNB,,,0.16037735849056603,,0.4200230149597239,0.4194690265486725,0.009667850428243158,0.31715575620767494,
GNQ,,,,,0.4154200230149597,0.41592920353982304,0.018433256736996032,0.41422121896162534,
GRC,0.7599469496021221,0.6406976744186047,0.5094339622641509,0.5797101449275363,0.8906789413118527,0.8902654867256639,0.1837476498851055,0.7923250564334086,
GRD,,,0.5424528301886793,,0.7433831990794016,0.743362831858407,0.05741382912053478,0.5981941309255079,
GTM,0.41909814323607436,0.277906976744186,0.2452830188679245,0.23188405797101452,0.6743383199079401,0.6743362831858408,0.04459578023814498,0.556433408577878,
GUY,0.5172413793103449,0.5325581395348837,0.4009433962264151,0.5072463768115942,0.6501726121979288,0.6495575221238938,0.03146856068518905,0.4988713318284425,
HKG,0.8116710875331565,0.6837209302325582,0.5424528301886793,0.6159420289855073,0.9159953970080552,0.9168141592920356,0.26551075830373927,0.8544018058690744,
HND,0.4442970822281168,0.3581395348837209,0.339622641509434,0.26086956521739135,0.7376294591484465,0.7380530973451328,0.023898057238353875,0.4548532731376975,
HRV,0.6763925729442972,0.5744186046511627,0.43867924528301894,0.5434782608695653,0.8216340621403913,0.8212389380530974,0.11391685815750992,0.7121896162528216,
HTI,0.3023872679045094,0.2802325581395349,0.25943396226415094,0.2173913043478261,0.5143843498273878,0.5132743362831859,0.012617505744725298,0.35665914221218964,
HUN,0.7254641909814324,0.7313953488372094,0.5235849056603774,0.7246376811594204,0.7560414269275029,0.7557522123893805,0.12102778358053061,0.7223476297968398,0.13953488372093023
IDN,0.5013262599469498,0.41860465116279066,0.3820754716981132,0.31884057971014496,0.668584579976985,0.6672566371681417,0.05038646333820765,0.5756207674943566,
IND,0.35543766578249336,0.313953488372093,0.28773584905660377,0.24637681159420294,0.5891829689298044,0.5893805309734513,0.01601838312095258,0.39277652370203164,0.13953488372093023
IRL,0.7984084880636605,0.7360465116279071,0.5188679245283019,0.7391304347826086,0.8527042577675489,0.8530973451327434,0.21341132233131396,0.8182844243792325,0.3023255813953489
IRN,0.5941644562334218,0.4790697674418605,0.42924528301886794,0.3768115942028986,0.7284234752589183,0.7274336283185842,0.10459995822017966,0.6975169300225733,
IRQ,0.4960212201591512,0.36279069767441857,0.3207547169811321,0.2898550724637681,0.7284234752589183,0.7292035398230089,0.0546563609776478,0.5891647855530474,
ISL,0.8381962864721485,0.7686046511627908,0.6509433962264152,0.6304347826086957,0.907940161104718,0.9079646017699117,0.23400877376227283,0.8329571106094807,
ISR,0.8342175066312998,0.8,0.5471698113207547,0.8260869565217391,0.8918296892980437,0.8920353982300886,0.19672446208481303,0.8036117381489841,0.6046511627906977
ITA,0.8050397877984085,0.6790697674418605,0.5754716981132076,0.5652173913043479,0.8987341772151899,0.8991150442477878,0.27594735742636306,0.8611738148984198,0.23255813953488372
JAM,0.6114058355437667,0.5337209302325582,0.43867924528301894,0.46376811594202905,0.7859608745684695,0.7858407079646018,0.06649676206392313,0.6218961625282168,
JOR,0.6458885941644562,0.6616279069767442,0.47641509433962265,0.6521739130434783,0.7686996547756042,0.7699115044247787,0.05280969291832045,0.5835214446952596,
JPN,0.856763925729443,0.7662790697674419,0.5754716981132076,0.7246376811594204,0.9309551208285385,0.9309734513274338,0.2803843743471903,0.863431151241535,0.6279069767441862
KAZ,0.6193633952254641,0.6627906976744186,0.4669811320754717,0.6666666666666666,0.6363636363636365,0.6353982300884956,0.07252976812199707,0.636568848758465,
KEN,0.3395225464190981,0.36627906976744184,0.30660377358490565,0.31884057971014496,0.45339470655926356,0.45309734513274347,0.016528096929183205,0.3972911963882619,
KGZ,0.48938992042440316,0.6069767441860465,0.4009433962264151,0.644927536231884,0.6800920598388952,0.6796460176991151,0.01265928556507207,0.35665914221218964,
KHM,0.25464190981432366,0.25581395348837205,0.24056603773584906,0.19565217391304351,0.49712313003452235,0.4973451327433629,0.00746187591393357,0.28103837471783294,
KIR,,,0.419811320754717,,0.6237054085155351,0.624778761061947,0.013093795696678505,0.3623024830699774,
KNA,,,0.5141509433962265,,0.7318757192174914,0.7309734513274337,0.13624399415082517,0.7415349887133181,
KOR,0.7824933687002653,0.7790697674418604,0.6037735849056605,0.7101449275362318,0.8273878020713463,0.8265486725663717,0.14505953624399415,0.7528216704288938,0.5116279069767442
KWT,0.7599469496021221,0.563953488372093,0.5283018867924529,0.40579710144927544,0.8009205983889528,0.8,0.7730185920200543,1.0,
LAO,0.32095490716180375,0.28720930232558134,0.25000000000000006,0.23913043478260873,0.5155350978135788,0.5150442477876107,0.016085230833507415,0.39390519187358913,
LBN,,,0.5,,0.7951668584579976,0.7946902654867257,0.10933778984750366,0.7054176072234765,
LBR,,,,0.21014492753623193,0.41426927502876876,0.41415929203539825,0.00010862753290160852,0.010158013544018067,
LBY,0.6763925729442972,0.5790697674418605,0.6084905660377359,0.33333333333333337,0.7502876869965478,0.7504424778761063,0.1646626279506998,0.7742663656884876,
LCA,,,0.5188679245283019,,0.7710011507479863,0.7716814159292037,0.08491330687278045,0.6625282167042889,
LIE,,,,0.6666666666666666,0.8814729574223246,0.8814159292035401,0.7069312721955295,1.0,
LKA,0.6047745358090186,0.6523255813953489,0.4669811320754717,0.6521739130434783,0.7376294591484465,0.7380530973451328,0.03613954459995822,0.5214446952595938,0.04651162790697675
LSO,0.38196286472148544,0.4046511627906976,0.3632075471698114,0.31884057971014496,0.4913693901035674,0.4920353982300885,0.020071025694589514,0.42776523702031605,
LTU,0.680371352785146,0.6953488372093024,0.48584905660377364,0.7028985507246377,0.7491369390103567,0.7486725663716816,0.08053478170043869,0.6534988713318284,0.11627906976744186
LUX,0.8196286472148543,0.6697674418604652,0.4811320754716982,0.6666666666666666,0.8676639815880323,0.8672566371681416,0.45590139962398163,0.9469525959367945,
LVA,0.6379310344827588,0.6395348837209303,0.4622641509433963,0.6304347826086957,0.716915995397008,0.7168141592920354,0.07033214957175685,0.6309255079006771,0.0930232558139535
MAR,0.3978779840848807,0.2581395348837209,0.25000000000000006,0.1884057971014493,0.7008055235903337,0.7008849557522125,0.03355755170252768,0.5101580135440181,
MCO,,,,,,,,,
MDA,0.519893899204244,0.5872093023255814,0.4056603773584906,0.608695652173913,0.6927502876869966,0.6938053097345133,0.019410904533110507,0.4221218961625282,0.20930232558139536
MDG,,,0.25471698113207547,,0.4925201380897584,0.4920353982300885,0.009367035721746396,0.3126410835214447,
MDV,0.4694960212201591,0.3337209302325581,0.33490566037735847,0.22463768115942032,0.6869965477560416,0.6867256637168143,0.057748067683308965,0.5981941309255079,
MEX,0.63395225464191,0.5069767441860465,0.4103773584905661,0.44927536231884063,0.8066743383199079,0.8070796460176992,0.1057113014414038,0.6997742663656886,0.06976744186046512
MHL,,,,,,,0.030833507415918112,0.49661399548532725,
MKD,,,0.43396226415094347,,0.7917146144994247,0.7911504424778761,0.06185084604136202,0.6094808126410836,
MLI,0.0954907161803714,0.048837209302325595,0.05660377358490565,0.050724637681159424,0.33716915995397007,0.33805309734513284,0.00948401921871736,0.3148984198645598,
MLT,0.7480106100795757,0.6325581395348838,0.5330188679245284,0.5289855072463768,0.8791714614499424,0.8778761061946904,0.1716398579486108,0.7810383747178329,
MMR,0.2718832891246684,0.25581395348837205,0.25471698113207547,0.1811594202898551,0.5880322209436134,0.5876106194690266,0.006651347399206183,0.2652370203160271,
MNE,,,,,0.8181818181818181,0.8176991150442479,0.07537915186964696,0.6433408577878105,
MNG,0.4801061007957561,0.4709302325581395,0.2783018867924529,0.5507246376811595,0.5995397008055237,0.5982300884955752,0.03476916649258408,0.515801354401806,
MOZ,0.07161803713527855,0.11162790697674417,0.10377358490566037,0.10144927536231885,0.3279631760644419,0.32743362831858414,0.0019720075203676626,0.12753950338600448,
MRT,0.3037135278514589,0.1953488372093023,0.17452830188679244,0.17391304347826092,0.5661680092059839,0.5663716814159293,0.02342176728640067,0.45259593679458243,
MUS,0.6007957559681698,0.513953488372093,0.43396226415094347,0.42753623188405804,0.757192174913694,0.7575221238938055,0.07473574263630667,0.6410835214446953,
MWI,0.24668435013262602,0.3488372093023256,0.3915094339622642,0.1811594202898551,0.334867663981588,0.3345132743362832,0.007637351159390015,0.28442437923250563,
MYS,0.6578249336870027,0.5511627906976745,0.4056603773584906,0.5434782608695653,0.7859608745684695,0.7858407079646018,0.1235429287654063,0.7257336343115124,0.04651162790697675
NAM,0.506631299734748,0.513953488372093,0.4669811320754717,0.3840579710144928,0.5627157652474108,0.5628318584070797,0.0484478796741174,0.5699774266365688,
NER,0.04774535809018568,0.02325581395348836,0.018867924528301883,0.04347826086956523,0.3486766398158803,0.34867256637168137,0.004495508669312722,0.21557562076749437,
NGA,,,0.2452830188679245,,0.32336018411967776,0.3238938053097345,0.02038019636515563,0.43002257336343114,
NIC,0.4442970822281168,0.38255813953488366,0.33018867924528306,0.31884057971014496,0.713463751438435,0.713274336283186,0.021792354292876542,0.4401805869074492,
NLD,0.8846153846153847,0.8616279069767443,0.6981132075471698,0.7463768115942029,0.8860759493670887,0.8849557522123893,0.30191769375391686,0.8769751693002257,0.4418604651162791
NOR,0.9137931034482759,0.8732558139534885,0.6462264150943396,0.8333333333333334,0.8918296892980437,0.8920353982300886,0.430524336745352,0.9367945823927766,
NPL,0.29310344827586204,0.26627906976744187,0.30188679245283023,0.14492753623188406,0.5615650172612198,0.5610619469026549,0.009500731146856069,0.3148984198645598,
NRU,,,,,,,,,
NZL,0.8687002652519896,0.9034883720930234,0.7028301886792453,0.8188405797101449,0.8791714614499424,0.8778761061946904,0.19506998119908084,0.8024830699774266,
OMN,,,0.3679245283018868,,0.7548906789413119,0.7557522123893805,0.32263212868184665,0.8882618510158012,
PAK,0.3103448275862069,0.18139534883720929,0.14150943396226415,0.1884057971014493,0.6041426927502878,0.6035398230088497,0.026831000626697306,0.4740406320541761,
PAN,0.6564986737400532,0.5872093023255814,0.43396226415094347,0.5652173913043479,0.8262370540851554,0.8265486725663717,0.07496135366617923,0.6422121896162527,0.06976744186046512
PER,0.5954907161803714,0.5872093023255814,0.47641509433962265,0.5144927536231885,0.7249712313003452,0.7238938053097346,0.04958429078754961,0.5733634311512416,
PHL,0.5397877984084881,0.5441860465116278,0.42452830188679247,0.5000000000000001,0.6881472957422324,0.688495575221239,0.03392521412157928,0.5112866817155757,
PLW,,,,0.7753623188405797,0.670886075949367,0.6707964601769912,0.10451639857948611,0.6975169300225733,
PNG,0.30901856763925745,0.19651162790697674,0.1556603773584906,0.19565217391304351,0.5857307249712314,0.5858407079646019,0.023730937956966784,0.45372460496614,
POL,0.7281167108753316,0.7465116279069768,0.5283018867924529,0.7463768115942029,0.7894131185270425,0.7893805309734514,0.09758930436599123,0.6862302483069977,0.13953488372093023
PRK,,,,,0.670886075949367,0.6707964601769912,,,
PRT,0.7533156498673741,0.6546511627906978,0.6273584905660378,0.44927536231884063,0.8504027617951668,0.8495575221238938,0.18713181533319406,0.7957110609480813,0.13953488372093023
PRY,0.5490716180371353,0.47325581395348837,0.38679245283018876,0.4202898550724638,0.7353279631760643,0.7345132743362831,0.05069563400877376,0.5767494356659142,
PSE,,,0.3820754716981132,,0.7491369390103567,0.7486725663716816,0.02501775642364738,0.4627539503386005,
QAT,0.7917771883289124,0.5895348837209302,0.5424528301886793,0.4347826086956522,0.8538550057537401,0.8530973451327434,0.6381199080843952,1.0,
ROU,0.6578249336870027,0.6290697674418605,0.4103773584905661,0.6739130434782609,0.7433831990794016,0.743362831858407,0.08906622101524964,0.6704288939051918,0.1627906976744186
RUS,0.6657824933687002,0.6895348837209303,0.4622641509433963,0.7246376811594204,0.6766398158803222,0.6761061946902654,0.10061416335909755,0.6907449209932279,0.23255813953488372
RWA,0.08355437665782497,0.18953488372093022,0.1981132075471698,0.12318840579710146,0.1472957422324511,0.1469026548672566,0.004370169208272405,0.21218961625282168,
SAU,0.7002652519893899,0.5209302325581395,0.44339622641509435,0.4347826086956522,0.7733026467203683,0.7734513274336283,0.3665176519740965,0.909706546275395,
SDN,0.23342175066313,0.14534883720930233,0.13679245283018868,0.13043478260869568,0.5212888377445339,0.520353982300885,0.014405682055567161,0.3769751693002257,
SEN,0.2254641909814324,0.1418604651162791,0.13207547169811323,0.12318840579710146,0.527042577675489,0.5256637168141592,0.01265928556507207,0.35665914221218964,
SGP,0.7732095490716181,0.5837209302325581,0.4575471698113208,0.5289855072463768,0.8837744533947066,0.8831858407079647,0.3829036975141007,0.9164785553047403,0.3023255813953489
SLB,,,0.24056603773584906,,0.5822784810126582,0.5823008849557523,0.014271986630457489,0.37471783295711064,
SLE,0.09283819628647212,0.17558139534883718,0.17924528301886794,0.12318840579710146,0.14844649021864215,0.1486725663716814,0.006258617087946522,0.2573363431151242,
SLV,0.5119363395225465,0.4255813953488372,0.4103773584905661,0.29710144927536236,0.7088607594936709,0.7079646017699115,0.046074785878420725,0.5609480812641083,
SMR,,,,,,,,,
SOM,,,,,0.36248561565017273,0.3628318584070797,,,
SRB,0.6631299734748012,0.666279069767442,0.5047169811320755,0.6231884057971014,0.7836593785960874,0.7840707964601772,0.06134948819720075,0.608352144469526,
SSD,,,,,0.3509781357882624,0.35044247787610616,,,
STP,0.36472148541114063,0.3372093023255814,0.3207547169811321,0.24637681159420294,0.6225546605293439,0.6230088495575221,0.013336118654689784,0.3645598194130927,
SUR,,,0.43867924528301894,,0.7111622554660529,0.7115044247787611,0.07615625652809693,0.644469525959368,
SVK,0.7360742705570292,0.7348837209302326,0.47641509433962265,0.7898550724637681,0.7928653624856156,0.7929203539823011,0.11653227491121788,0.7155756207674944,0.20930232558139536
SVN,0.7811671087533156,0.7569767441860465,0.5047169811320755,0.7971014492753624,0.8354430379746836,0.8353982300884956,0.15858784207227908,0.7674943566591422,0.3023255813953489
SWE,0.8806366047745359,0.8604651162790697,0.669811320754717,0.7753623188405797,0.9090909090909092,0.9097345132743364,0.2529851681637769,0.8465011286681716,
SWZ,0.41644562334217516,0.37558139534883717,0.3537735849056604,0.28260869565217395,0.4844649021864211,0.4831858407079646,0.04965113850010445,0.5733634311512416,
SYC,,,0.4622641509433963,,0.7686996547756042,0.768141592920354,0.1297514100689367,0.7336343115124153,
SYR,0.5092838196286472,0.3965116279069768,0.3632075471698114,0.30434782608695654,0.7894131185270425,0.7893805309734514,0.03845414664716942,0.5316027088036117,
TCD,,,0.07547169811320756,,0.3521288837744534,0.352212389380531,0.006759974932107792,0.2674943566591423,
TGO,0.28912466843501333,0.327906976744186,0.3113207547169811,0.23913043478260873,0.474108170310702,0.4743362831858407,0.008397743889701274,0.29796839729119634,
THA,0.557029177718833,0.42441860465116277,0.3632075471698114,0.355072463768116,0.7548906789413119,0.7539823008849559,0.07781909337789847,0.6478555304740405,0.023255813953488375
TJK,0.4442970822281168,0.6430232558139536,0.37735849056603776,0.7463768115942029,0.6375143843498273,0.6371681415929205,0.007102569458951326,0.2742663656884876,
TKM,,,,,0.6260069044879171,0.6265486725663717,0.03876331731773553,0.5327313769751693,
TLS,,,,,0.4844649021864211,0.4849557522123894,0.06395654898683936,0.6151241534988714,
TON,0.6259946949602122,0.702325581395349,0.5471698113207547,0.6376811594202898,0.7560414269275029,0.7557522123893805,0.03479423438479214,0.515801354401806,
TTO,0.6511936339522546,0.608139534883721,0.43396226415094347,0.608695652173913,0.7215189873417723,0.72212389380531,0.1025694589513265,0.6941309255079008,0.023255813953488375
TUN,0.5530503978779842,0.4523255813953488,0.4575471698113208,0.2898550724637681,0.7836593785960874,0.7840707964601772,0.049943597242531855,0.5744920993227991,
TUR,0.5517241379310345,0.4116279069767442,0.3584905660377358,0.34057971014492755,0.7077100115074798,0.7079646017699115,0.10520994359724253,0.6986455981941309,0.11627906976744186
TUV,,,,,0.6283084004602991,0.6283185840707965,0.03300605807395028,0.5067720090293453,
TZA,0.22944297082228132,0.23837209302325585,0.1556603773584906,0.2753623188405797,0.3901035673187572,0.3893805309734514,0.00972634217672864,0.31828442437923254,
UGA,0.18435013262599467,0.25465116279069766,0.21226415094339623,0.23188405797101452,0.29804372842347526,0.2973451327433628,0.006241905159807813,0.2573363431151242,
UKR,0.6127320954907162,0.7011627906976745,0.48584905660377364,0.717391304347826,0.7088607594936709,0.7079646017699115,0.03615625652809693,0.5214446952595938,
URY,0.6870026525198941,0.6209302325581396,0.5235849056603774,0.5217391304347827,0.8193325661680093,0.8194690265486727,0.09768957593482348,0.6862302483069977,0.06976744186046512
USA,0.9018567639257296,0.9104651162790699,0.6462264150943396,0.8985507246376812,0.8607594936708861,0.8601769911504427,0.33881763108418633,0.8961625282167042,0.5581395348837209
UZB,,,0.4056603773584906,,0.6881472957422324,0.688495575221239,0.016736996030917068,0.39954853273137697,
VCT,,,0.4905660377358491,,0.761795166858458,0.7610619469026548,0.05163985794861082,0.5801354401805869,
VEN,0.6114058355437667,0.46860465116279065,0.4009433962264151,0.39130434782608703,0.7710011507479863,0.7716814159292037,0.12192187173595154,0.7234762979683973,
VNM,0.4522546419098144,0.40232558139534896,0.3537735849056604,0.32608695652173914,0.7905638665132336,0.7893805309734514,0.015567161061207436,0.3882618510158013,
VUT,,,,,0.6754890678941313,0.6761061946902654,0.018391476916649257,0.41422121896162534,
WSM,0.5689655172413793,0.6139534883720931,0.4622641509433963,0.5797101449275363,0.7123130034522439,0.7115044247787611,0.03051598078128264,0.4943566591422123,
YEM,0.29575596816976135,0.18139534883720929,0.25943396226415094,0.036231884057971016,0.5650172612197929,0.5646017699115045,0.02500104449550867,0.4627539503386005,
ZAF,0.5941644562334218,0.6488372093023257,0.5141509433962265,0.5797101449275363,0.5822784810126582,0.5823008849557523,0.07401712972634218,0.6399548532731376,
