Country,Human Development Index (HDI),[Education] Education Index,[Education] Expected years of schooling (years),[Education] Mean years of schooling (years),[Gender] Share of seats in parliament (% held by women),[Health] Life expectancy Index,[Health] Life expectancy at birth (years),[Income_composition of resources] Gross national income (GNI) per capita (2011 PPP$),[Income_composition of resources] Income Index
BHR,0.7692307692307693,0.636046511627907,0.5377358490566038,0.5289855072463768,,0.8181818181818181,0.8176991150442479,0.34439941508251515,0.8984198645598195
BHS,,,0.4622641509433963,,0.3397212543554007,0.7802071346375145,0.7787610619469026,0.17828284938374764,0.7878103837471784
BIH,,,,,,0.8032220943613348,0.8035398230088496,0.03756005849174848,0.5282167042889392
BLR,0.6206896551724139,0.6593023255813955,0.5094339622641509,0.608695652173913,,0.7088607594936709,0.7079646017699115,0.050954668894923755,0.5778781038374717
BLZ,0.6167108753315651,0.6453488372093024,0.44339622641509435,0.6666666666666666,0.186411149825784,0.7295742232451092,0.7292035398230089,0.046977229997911006,0.5643340857787811
BOL,0.5053050397877984,0.5732558139534883,0.4669811320754717,0.5000000000000001,,0.5558112773302647,0.5557522123893806,0.03364946730729058,0.5101580135440181
BRA,0.6167108753315651,0.541860465116279,0.5471698113207547,0.34057971014492755,0.11498257839721256,0.7261219792865362,0.7256637168141593,0.09266764152914142,0.6772009029345374
BRB,0.7175066312997348,0.6837209302325582,0.5471698113207547,0.6014492753623188,0.3188153310104529,0.8009205983889528,0.801769911504425,0.11327344892416963,0.7110609480812642
BRN,0.8103448275862071,0.6418604651162791,0.5141509433962265,0.572463768115942,,0.8308400460299196,0.831858407079646,0.6966367244620848,1.0
BTN,,,0.22169811320754715,,0.033101045296167246,0.5420023014959724,0.5415929203539824,0.02173386254439106,0.4401805869074492
BWA,0.49204244031830235,0.5360465116279071,0.419811320754717,0.4927536231884058,0.14634146341463417,0.4361334867663982,0.43539823008849565,0.07752663463547106,0.6478555304740405
CAF,0.13660477453580902,0.16395348837209303,0.13207547169811323,0.16666666666666669,0.059233449477351915,0.31070195627157654,0.3115044247787611,0.005255901399623982,0.23476297968397292
CAN,0.8793103448275863,0.8546511627906976,0.679245283018868,0.7608695652173914,0.367595818815331,0.9010356731875719,0.9008849557522125,0.26929601002715686,0.8566591422121896
CHE,0.8819628647214856,0.7872093023255815,0.5990566037735849,0.7318840579710145,0.3519163763066202,0.9113924050632912,0.911504424778761,0.40925005222477545,0.927765237020316
CHL,0.7188328912466844,0.65,0.5047169811320755,0.6014492753623188,0.12369337979094078,0.856156501726122,0.856637168141593,0.1090536870691456,0.7042889390519187
CHN,0.48938992042440316,0.4372093023255814,0.33490566037735847,0.4130434782608696,,0.76409666283084,0.7628318584070798,0.02317944432838939,0.4503386004514673
CIV,0.25464190981432366,0.22325581395348837,0.2075471698113208,0.1811594202898551,0.13763066202090593,0.3613348676639816,0.36106194690265486,0.022118236891581367,0.4435665914221219
CMR,0.29575596816976135,0.30930232558139537,0.24056603773584906,0.29710144927536236,0.09581881533101046,0.3889528193325662,0.3876106194690266,0.017890119072487987,0.4097065462753951
COD,0.17904509283819625,0.24302325581395345,0.22169811320754715,0.20289855072463772,,0.379746835443038,0.38053097345132747,0.0037685397952788805,0.19413092550790073
COG,0.4058355437665783,0.43837209302325575,0.37735849056603776,0.3623188405797102,,0.43498273878020716,0.43539823008849565,0.03448506371422603,0.5146726862302483
COL,0.5875331564986738,0.5011627906976744,0.4150943396226416,0.4347826086956522,0.16898954703832755,0.7525891829689297,0.7522123893805309,0.06902861917693753,0.628668171557562
COM,,,0.2830188679245283,,0.0,0.5581127733026467,0.5592920353982301,0.009918529350323793,0.3216704288939052
CPV,,,,,0.1916376306620209,0.7111622554660529,0.7115044247787611,0.02574472529768122,0.46726862302483074
CRI,0.660477453580902,0.5651162790697675,0.42924528301886794,0.5362318840579711,0.27351916376306623,0.8734177215189872,0.8725663716814162,0.0737915186964696,0.6388261851015802
CUB,0.6233421750663131,0.65,0.4575471698113208,0.6594202898550725,0.3954703832752613,0.856156501726122,0.856637168141593,0.028610820973469814,0.48419864559819403
CYP,0.7864721485411141,0.6825581395348836,0.49528301886792453,0.6666666666666666,0.09233449477351918,0.8849252013808975,0.8849557522123893,0.21464800501357845,0.8182844243792325
CZE,0.7625994694960213,0.7186046511627908,0.5283018867924529,0.6956521739130435,0.24041811846689898,0.8216340621403913,0.8212389380530974,0.163158554418216,0.7720090293453724
DEU,0.8554376657824936,0.8069767441860466,0.6509433962264152,0.7028985507246377,0.4425087108013937,0.8768699654775605,0.8778761061946904,0.2849216628368498,0.8668171557562077
DJI,0.2095490716180372,0.11279069767441863,0.037735849056603765,0.1884057971014493,,0.5212888377445339,0.520353982300885,0.01464800501357844,0.3792325056433409
DMA,,,0.4622641509433963,,0.16202090592334498,0.8630609896432682,0.8619469026548673,0.057940254856904114,0.5993227990970655
DNK,0.8541114058355438,0.8058139534883721,0.6367924528301887,0.717391304347826,0.573170731707317,0.857307249712313,0.856637168141593,0.32141215792772093,0.8871331828442438
DOM,0.5862068965517241,0.530232558139535,0.4669811320754717,0.4202898550724638,0.17247386759581881,0.7514384349827388,0.7504424778761063,0.05511593900146229,0.5914221218961625
DZA,0.5543766578249337,0.43837209302325575,0.38679245283018876,0.355072463768116,0.05400696864111498,0.7318757192174914,0.7309734513274337,0.07374138291205348,0.6388261851015802
ECU,0.6220159151193634,0.5686046511627906,0.47641509433962265,0.47826086956521746,0.0627177700348432,0.7848101265822786,0.7858407079646018,0.06173386254439106,0.6094808126410836
EGY,0.519893899204244,0.4197674418604651,0.4056603773584906,0.2898550724637681,0.033101045296167246,0.7100115074798621,0.7097345132743363,0.05501566743263004,0.590293453724605
ERI,,,0.07547169811320756,,0.3641114982578397,0.4591484464902187,0.45840707964601773,0.01340296636724462,0.36568848758465006
ESP,0.8103448275862071,0.7209302325581396,0.6367924528301887,0.5579710144927537,0.3449477351916376,0.903337169159954,0.9026548672566371,0.21804052642573638,0.8216704288939053
EST,0.7320954907161803,0.7744186046511629,0.5471698113207547,0.7753623188405797,0.18815331010452963,0.7364787111622555,0.7362831858407081,0.1166576143722582,0.7155756207674944
ETH,,,0.0518867924528302,,,0.4027617951668585,0.40176991150442476,0.003484437016920827,0.18510158013544023
FIN,0.8395225464190983,0.7918604651162792,0.6933962264150945,0.6231884057971014,0.5818815331010453,0.8745684695051784,0.8743362831858408,0.24655943179444328,0.8419864559819413
FJI,0.6312997347480107,0.7011627906976745,0.5094339622641509,0.681159420289855,0.09930313588850175,0.6973532796317606,0.6973451327433628,0.049743054104867346,0.5744920993227991
FRA,0.8421750663129975,0.7709302325581397,0.6415094339622641,0.644927536231884,0.15505226480836237,0.8952819332566169,0.8955752212389382,0.2679757677041989,0.8566591422121896
FSM,,,,,0.0,0.6973532796317606,0.6973451327433628,0.022118236891581367,0.4435665914221219
GAB,0.5809018567639258,0.513953488372093,0.4716981132075472,0.3840579710144928,0.16550522648083624,0.5753739930955121,0.5752212389380532,0.16447044077710465,0.7742663656884876
GBR,0.8620689655172415,0.8465116279069769,0.6226415094339623,0.8115942028985508,0.20034843205574912,0.8757192174913694,0.8761061946902655,0.25147273866722375,0.845372460496614
GEO,,,0.42924528301886794,,0.11846689895470384,0.7675489067894131,0.768141592920354,0.02364737831627324,0.45372460496614
GHA,0.36737400530503983,0.38139534883720927,0.2641509433962264,0.3985507246376812,0.15505226480836237,0.5235903337169161,0.5238938053097346,0.015867975767704198,0.3916478555304741
GIN,0.14323607427055704,0.08953488372093023,0.08962264150943396,0.07971014492753623,0.12020905923344949,0.42462600690448793,0.42477876106194695,0.008305828284938374,0.29571106094808125
GMB,0.21883289124668437,0.17093023255813955,0.17924528301886794,0.11594202898550725,0.033101045296167246,0.47871116225546595,0.47964601769911513,0.009868393565907666,0.3205417607223476
GNB,,,0.17452830188679244,,0.17247386759581881,0.42462600690448793,0.42477876106194695,0.01031961562565281,0.32731376975169296
GNQ,,,,,0.1515679442508711,0.4234752589182969,0.42300884955752216,0.051029872571547945,0.5778781038374717
GRC,0.7665782493368701,0.6488372093023257,0.5141509433962265,0.5797101449275363,0.10801393728222997,0.8929804372842348,0.8938053097345132,0.19125130561938583,0.799097065462754
GRD,,,0.5518867924528302,,,0.7456846950517837,0.745132743362832,0.06010444955086693,0.6049661399548533
GTM,0.42970822281167115,0.2895348837209302,0.25943396226415094,0.23913043478260873,0.21602787456445993,0.6846950517836595,0.6849557522123894,0.04559849592646752,0.5598194130925508
GUY,0.5238726790450928,0.5395348837209303,0.4056603773584906,0.5144927536231885,,0.6524741081703108,0.6530973451327434,0.0326718195111761,0.5056433408577878
HKG,0.8183023872679045,0.6883720930232557,0.5471698113207547,0.6159420289855073,,0.9228998849252015,0.9221238938053099,0.2791811155212033,0.863431151241535
HND,0.45358090185676403,0.36627906976744184,0.34433962264150947,0.26811594202898553,,0.7445339470655926,0.745132743362832,0.025009400459578023,0.4627539503386005
HRV,0.6896551724137933,0.5941860465116281,0.44339622641509435,0.572463768115942,0.12369337979094078,0.8273878020713463,0.8265486725663717,0.11982452475454355,0.7200902934537247
HTI,0.3076923076923077,0.28720930232558134,0.2641509433962264,0.22463768115942032,,0.5189873417721519,0.5185840707964602,0.012717777313557551,0.3577878103837472
HUN,0.726790450928382,0.7267441860465116,0.5188679245283019,0.7246376811594204,0.19686411149825786,0.762945914844649,0.7628318584070798,0.1233256736996031,0.7257336343115124
IDN,0.5185676392572944,0.4488372093023256,0.39622641509433965,0.355072463768116,0.19686411149825786,0.6731875719217493,0.6725663716814159,0.05192396072696887,0.5812641083521445
IND,0.363395225464191,0.3220930232558139,0.28773584905660377,0.26086956521739135,0.1254355400696864,0.5972382048331416,0.5964601769911504,0.016411113432212243,0.39616252821670433
IRL,0.8090185676392574,0.7476744186046513,0.5330188679245284,0.7463768115942029,0.23693379790940766,0.856156501726122,0.856637168141593,0.2293294338834343,0.8295711060948082
IRN,0.6021220159151195,0.49186046511627907,0.43867924528301894,0.3840579710144928,0.08362369337979096,0.7341772151898734,0.7345132743362831,0.10409024441194903,0.6963882618510158
IRQ,0.5079575596816978,0.36627906976744184,0.31603773584905664,0.30434782608695654,0.10975609756097562,0.7330264672036824,0.7327433628318585,0.06451639857948611,0.6173814898419864
ISL,0.850132625994695,0.7872093023255815,0.669811320754717,0.6376811594202898,0.44076655052264807,0.9113924050632912,0.911504424778761,0.24401086275329015,0.8408577878103839
ISR,0.843501326259947,0.8197674418604651,0.5707547169811321,0.8333333333333334,0.1289198606271777,0.8952819332566169,0.8955752212389382,0.1980530603718404,0.8047404063205419
ITA,0.8156498673740055,0.6941860465116279,0.589622641509434,0.572463768115942,0.17247386759581881,0.903337169159954,0.9044247787610621,0.28238144975976603,0.86568848758465
JAM,0.6127320954907162,0.5395348837209303,0.43867924528301894,0.47826086956521746,0.21254355400696867,0.7871116225546605,0.7876106194690266,0.06568623354919574,0.6196388261851015
JOR,0.6498673740053051,0.6674418604651163,0.4811320754716982,0.6594202898550725,0.027874564459930314,0.7721518987341771,0.7716814159292037,0.05405473156465427,0.5880361173814899
JPN,0.8607427055702918,0.772093023255814,0.5801886792452831,0.7318840579710145,0.132404181184669,0.9344073647871117,0.9345132743362834,0.2830248589931063,0.86568848758465
KAZ,0.6233421750663131,0.6732558139534884,0.4716981132075472,0.6884057971014493,0.19686411149825786,0.6317606444188721,0.631858407079646,0.07476081052851473,0.6410835214446953
KEN,0.33687002652519893,0.36976744186046506,0.30660377358490565,0.32608695652173914,0.050522648083623695,0.4418872266973533,0.44247787610619477,0.016193858366409023,0.3950338600451467
KGZ,0.5000000000000001,0.6174418604651163,0.4056603773584906,0.6594202898550725,0.0818815331010453,0.6800920598388952,0.6796460176991151,0.013645289325255902,0.36794582392776526
KHM,0.26259946949602125,0.26046511627906976,0.2452830188679245,0.20289855072463772,0.09930313588850175,0.5063291139240507,0.5061946902654868,0.007687486943806142,0.28555304740406334
KIR,,,0.4056603773584906,,0.0,0.6294591484464903,0.6300884955752214,0.01697931898892835,0.40180586907449206
KNA,,,0.5141509433962265,,0.2299651567944251,0.7364787111622555,0.7362831858407081,0.14326300396908292,0.7505643340857788
KOR,0.797082228116711,0.8034883720930234,0.6320754716981133,0.717391304347826,0.050522648083623695,0.8342922899884926,0.8353982300884956,0.15196991852935032,0.7607223476297967
KWT,0.7639257294429709,0.5709302325581396,0.5330188679245284,0.4130434782608696,0.0,0.8020713463751439,0.801769911504425,0.7811405890954669,1.0
LAO,0.3302387267904509,0.29651162790697677,0.2641509433962264,0.24637681159420294,,0.524741081703107,0.5238938053097346,0.016561520785460623,0.3984198645598194
LBN,,,0.5330188679245284,,0.03832752613240418,0.8032220943613348,0.8035398230088496,0.10519323166910383,0.6986455981941309
LBR,,,,0.21014492753623193,,0.425776754890679,0.42477876106194695,0.001829956131188636,0.12076749435665914
LBY,0.6843501326259948,0.5906976744186047,0.6179245283018868,0.34057971014492755,,0.7525891829689297,0.7522123893805309,0.17069563400877377,0.7799097065462754
LCA,,,0.5141509433962265,,0.24738675958188155,0.7710011507479863,0.7716814159292037,0.08314184249007729,0.6591422121896162
LIE,,,,0.681159420289855,0.06794425087108014,0.8849252013808975,0.8849557522123893,0.766459160225611,1.0
LKA,0.6140583554376658,0.6639534883720931,0.4716981132075472,0.6594202898550725,0.09059233449477352,0.7399309551208285,0.7398230088495577,0.03844579068310006,0.5316027088036117
LSO,0.3726790450928382,0.4046511627906976,0.3632075471698114,0.31884057971014496,0.19337979094076654,0.4602991944764097,0.4601769911504425,0.021115521203258825,0.435665914221219
LTU,0.6962864721485413,0.7186046511627908,0.5094339622641509,0.717391304347826,0.30313588850174217,0.7525891829689297,0.7522123893805309,0.08692709421349488,0.6670428893905191
LUX,0.8315649867374005,0.6825581395348836,0.48584905660377364,0.681159420289855,0.34668989547038326,0.8722669735327964,0.8725663716814162,0.4880300814706497,0.9582392776523702
LVA,0.653846153846154,0.6558139534883721,0.4811320754716982,0.6376811594202898,0.15505226480836237,0.7226697353279632,0.72212389380531,0.07765197409651138,0.6478555304740405
MAR,0.4031830238726791,0.26627906976744187,0.25943396226415094,0.19565217391304351,0.010452961672473867,0.7065592635212888,0.7061946902654868,0.032513056193858365,0.5045146726862303
MCO,,,,,0.09581881533101046,,,,
MDA,0.5225464190981433,0.5918604651162791,0.4056603773584906,0.6159420289855073,0.0818815331010453,0.6927502876869966,0.6920353982300886,0.019703363275537917,0.42437923250564336
MDG,,,0.25943396226415094,,0.0627177700348432,0.5074798619102416,0.5061946902654868,0.009567578859410904,0.31602708803611734
MDV,0.48938992042440316,0.3523255813953488,0.3632075471698114,0.2173913043478261,0.10801393728222997,0.7019562715765247,0.7026548672566372,0.061926049717986216,0.6106094808126411
MEX,0.6419098143236074,0.513953488372093,0.419811320754717,0.44927536231884063,0.24041811846689898,0.812428078250863,0.8123893805309735,0.11135157718821809,0.7076749435665914
MHL,,,,,,,,0.028911635679966578,0.48532731376975174
MKD,,,0.43867924528301894,,0.05574912891986063,0.7951668584579976,0.7946902654867257,0.062268644244829745,0.6106094808126411
MLI,0.10875331564986743,0.06395348837209303,0.07547169811320756,0.050724637681159424,0.21080139372822299,0.34062140391254314,0.33982300884955746,0.009701274284520577,0.31828442437923254
MLT,0.7546419098143237,0.6395348837209303,0.5377358490566038,0.5362318840579711,0.09930313588850175,0.8826237054085155,0.8814159292035401,0.17926885314393148,0.7878103837471784
MMR,0.27984084880636606,0.26046511627906976,0.25943396226415094,0.1884057971014493,,0.5937859608745685,0.5929203539823009,0.007010653854188427,0.27313769751693007
MNE,,,,,,0.8147295742232451,0.8141592920353982,0.08066012116147901,0.654627539503386
MNG,0.48938992042440316,0.4813953488372093,0.2924528301886793,0.5579710144927537,0.1358885017421603,0.6041426927502878,0.6035398230088497,0.03591393357008565,0.520316027088036
MOZ,0.08885941644562338,0.12790697674418605,0.12264150943396228,0.11594202898550725,0.43728222996515675,0.33831990794016115,0.33805309734513284,0.002281178190933779,0.14108352144469524
MRT,0.3023872679045094,0.19999999999999998,0.17452830188679244,0.1811594202898551,0.010452961672473867,0.5684695051783659,0.568141592920354,0.02158345519114268,0.43905191873589167
MUS,0.6061007957559681,0.5186046511627908,0.44339622641509435,0.42753623188405804,0.13066202090592335,0.759493670886076,0.7592920353982302,0.07853770628786297,0.6501128668171557
MWI,0.2718832891246684,0.3558139534883721,0.39622641509433965,0.1811594202898551,0.09756097560975611,0.33371691599539705,0.3327433628318584,0.011740129517443075,0.3465011286681716
MYS,0.6724137931034483,0.5732558139534883,0.42452830188679247,0.5579710144927537,0.17770034843205576,0.7894131185270425,0.7893805309734514,0.12848130353039483,0.7325056433408578
NAM,0.4986737400530504,0.5069767441860465,0.4622641509433963,0.3840579710144928,0.29965156794425085,0.5466052934407366,0.5469026548672566,0.04887403384165448,0.5711060948081265
NER,0.05172413793103453,0.02790697674418604,0.02358490566037736,0.050724637681159424,0.01916376306620209,0.36018411967779057,0.36106194690265486,0.004286609567578859,0.20993227990970653
NGA,,,0.25000000000000006,,,0.3245109321058688,0.3238938053097345,0.020522247754334658,0.43115124153498874
NIC,0.4562334217506631,0.3965116279069768,0.34905660377358494,0.32608695652173914,0.186411149825784,0.7215189873417723,0.720353982300885,0.022728222268644245,0.4469525959367946
NLD,0.883289124668435,0.852325581395349,0.6839622641509435,0.7463768115942029,0.49303135888501737,0.8883774453394707,0.888495575221239,0.31121788176310844,0.881489841986456
NOR,0.9217506631299736,0.8837209302325582,0.6556603773584906,0.8405797101449276,0.6324041811846689,0.8952819332566169,0.8955752212389382,0.45119699185293505,0.9446952595936794
NPL,0.3010610079575597,0.2720930232558139,0.30660377358490565,0.14492753623188406,0.07665505226480837,0.5753739930955121,0.5752212389380532,0.009860037601838312,0.3205417607223476
NRU,,,,,,,,,
NZL,0.876657824933687,0.9139534883720931,0.7169811320754718,0.8188405797101449,0.5069686411149825,0.8837744533947066,0.8831858407079647,0.20223104240651765,0.8081264108352144
OMN,,,0.3726415094339623,,,0.762945914844649,0.7628318584070798,0.3420931689993733,0.8972911963882619
PAK,0.31564986737400547,0.1883720930232558,0.14622641509433962,0.19565217391304351,0.04355400696864112,0.6087456846950516,0.608849557522124,0.026279506998119907,0.47065462753950343
PAN,0.6644562334217506,0.5988372093023256,0.4481132075471698,0.572463768115942,0.16724738675958187,0.8296892980437284,0.8300884955752214,0.07730937956966785,0.6467268623024831
PER,0.6034482758620691,0.5918604651162791,0.47641509433962265,0.5217391304347827,0.186411149825784,0.7330264672036824,0.7327433628318585,0.05221641946939628,0.582392776523702
PHL,0.5464190981432361,0.5476744186046512,0.42452830188679247,0.5072463768115942,0.20034843205574912,0.6915995397008055,0.6920353982300886,0.0355379151869647,0.5191873589164785
PLW,,,,0.782608695652174,0.05574912891986063,0.6800920598388952,0.6796460176991151,0.1025694589513265,0.6941309255079008
PNG,0.3129973474801061,0.2069767441860465,0.169811320754717,0.20289855072463772,0.029616724738675958,0.5903337169159955,0.5911504424778762,0.02153331940672655,0.43905191873589167
POL,0.7427055702917773,0.7674418604651163,0.5518867924528302,0.753623188405797,0.21951219512195122,0.7951668584579976,0.7946902654867257,0.1038729893461458,0.6963882618510158
PRK,,,,,0.34843205574912894,0.6582278481012659,0.6584070796460177,,
PRT,0.7612732095490717,0.6639534883720931,0.6415094339622641,0.44927536231884063,0.22473867595818817,0.8550057537399309,0.8548672566371683,0.19319824524754545,0.8013544018058691
PRY,0.5557029177718833,0.48604651162790696,0.4056603773584906,0.4130434782608696,0.09581881533101046,0.7387802071346375,0.7380530973451328,0.05000208899101734,0.5744920993227991
PSE,,,0.4009433962264151,,,0.7537399309551208,0.7539823008849559,0.030340505535826196,0.4932279909706547
QAT,0.797082228116711,0.5988372093023256,0.5330188679245284,0.46376811594202905,,0.8550057537399309,0.8548672566371683,0.8127595571339044,1.0
ROU,0.6591511936339522,0.636046511627907,0.419811320754717,0.681159420289855,0.09581881533101046,0.7456846950517837,0.745132743362832,0.08486317108836432,0.6625282167042889
RUS,0.6697612732095493,0.6988372093023257,0.4622641509433963,0.7463768115942029,0.1289198606271777,0.6731875719217493,0.6725663716814159,0.10147482765824108,0.6930022573363431
RWA,0.11803713527851466,0.19418604651162788,0.20283018867924532,0.13043478260869568,0.2961672473867596,0.21979286536248563,0.21946902654867256,0.004796323375809484,0.2234762979683973
SAU,0.7055702917771883,0.5279069767441861,0.4481132075471698,0.44202898550724645,,0.7790563866513234,0.7787610619469026,0.36324211405890955,0.9074492099322798
SDN,0.24535809018567642,0.15465116279069768,0.14150943396226415,0.13768115942028988,0.09059233449477352,0.527042577675489,0.5274336283185841,0.015792772091080008,0.3905191873589165
SEN,0.226790450928382,0.14302325581395348,0.13679245283018868,0.12318840579710146,0.20209059233449478,0.525891829689298,0.5256637168141592,0.01273448924169626,0.3577878103837472
SGP,0.7877984084880636,0.6034883720930233,0.4669811320754717,0.5579710144927537,0.0818815331010453,0.8860759493670887,0.8867256637168143,0.41174848548151244,0.9288939051918736
SLB,,,0.24056603773584906,,,0.5937859608745685,0.5929203539823009,0.013561729684562356,0.36794582392776526
SLE,0.09151193633952259,0.18720930232558136,0.19339622641509432,0.13043478260869568,,0.1565017261219793,0.1557522123893805,0.004904950908711092,0.22573363431151242
SLV,0.5251989389920425,0.44418604651162785,0.42452830188679247,0.3115942028985507,0.2682926829268293,0.714614499424626,0.7150442477876107,0.04761228326718195,0.5665914221218962
SMR,,,,,0.20209059233449478,,,,
SOM,,,,,,0.378596087456847,0.3787610619469027,,
SRB,0.6710875331564987,0.6732558139534884,0.5094339622641509,0.6304347826086957,,0.7848101265822786,0.7840707964601772,0.06638813453102152,0.6218961625282168
SSD,,,,,,0.35903337169159955,0.35929203539823007,,
STP,0.3687002652519894,0.34651162790697676,0.33018867924528306,0.2536231884057971,0.1254355400696864,0.6248561565017262,0.624778761061947,0.013118863588886568,0.3623024830699774
SUR,,,0.43396226415094347,,0.27177700348432055,0.7111622554660529,0.7115044247787611,0.07775224566534364,0.6478555304740405
SVK,0.740053050397878,0.7290697674418605,0.4811320754716982,0.7753623188405797,0.25435540069686413,0.7963176064441888,0.7964601769911505,0.1227156883225402,0.7246049661399547
SVN,0.7917771883289124,0.7709302325581397,0.5188679245283019,0.8043478260869565,0.13414634146341464,0.8400460299194477,0.8407079646017699,0.16626697305201588,0.775395033860045
SWE,0.8952254641909816,0.8883720930232558,0.7028301886792453,0.782608695652174,0.7020905923344948,0.9125431530494822,0.913274336283186,0.26047211196991854,0.8510158013544018
SWZ,0.4045092838196287,0.37209302325581395,0.34905660377358494,0.2753623188405797,0.14634146341463417,0.4545454545454546,0.45486725663716815,0.05008564863171088,0.5756207674943566
SYC,,,0.4669811320754717,,0.4738675958188153,0.7721518987341771,0.7716814159292037,0.150265301859202,0.7584650112866816
SYR,0.5145888594164458,0.3988372093023256,0.3679245283018868,0.30434782608695654,0.16550522648083624,0.7940161104718068,0.7929203539823011,0.04022561102987257,0.5395033860045148
TCD,,,0.08962264150943396,,0.04006968641114982,0.3532796317606444,0.3539823008849558,0.006893670357217464,0.27088036117381487
TGO,0.2984084880636605,0.3372093023255814,0.3207547169811321,0.24637681159420294,0.01916376306620209,0.46720368239355586,0.46725663716814164,0.009525799039064132,0.31602708803611734
THA,0.5649867374005305,0.44418604651162785,0.37735849056603776,0.3768115942028986,0.1132404181184669,0.7548906789413119,0.7557522123893805,0.07438479214539377,0.6410835214446953
TJK,0.4496021220159151,0.6383720930232559,0.3726415094339623,0.7463768115942029,0.0470383275261324,0.6467203682393556,0.6460176991150443,0.007545435554627115,0.28216704288939054
TKM,,,,,0.3118466898954704,0.6283084004602991,0.6283185840707965,0.034551911426780865,0.5146726862302483
TLS,,,,,,0.5063291139240507,0.5061946902654868,0.07070816795487779,0.6320541760722348
TON,0.6259946949602122,0.702325581395349,0.5471698113207547,0.6376811594202898,0.0,0.7583429228998848,0.7575221238938055,0.034401504073532485,0.5135440180586907
TTO,0.660477453580902,0.616279069767442,0.44339622641509435,0.6159420289855073,0.33623693379790937,0.7226697353279632,0.72212389380531,0.11300605807395028,0.7110609480812642
TUN,0.5623342175066314,0.4604651162790698,0.4575471698113208,0.29710144927536236,0.11498257839721256,0.7905638665132336,0.7911504424778761,0.05249216628368498,0.582392776523702
TUR,0.5636604774535809,0.4197674418604651,0.3632075471698114,0.34782608695652173,0.04006968641114982,0.7180667433831991,0.7185840707964603,0.11154376436181325,0.708803611738149
TUV,,,,,0.14285714285714288,0.6306098964326813,0.6300884955752214,0.035888865677877586,0.520316027088036
TZA,0.23342175066313,0.24069767441860468,0.1556603773584906,0.28260869565217395,0.30313588850174217,0.39470655926352133,0.39469026548672564,0.009768121997075413,0.3194130925507901
UGA,0.20424403183023873,0.29302325581395344,0.2641509433962264,0.23913043478260873,0.31358885017421606,0.3049482163406214,0.3044247787610619,0.006442448297472321,0.2607223476297968
UKR,0.6153846153846153,0.7151162790697675,0.5,0.7246376811594204,0.06445993031358885,0.7054085155350978,0.7061946902654868,0.035354083977438895,0.518058690744921
