Country,1990,1995,2000,2005,2010,2015
Colombia,21.6,23.0,24.4,26.1,28.0,30.1
Comoros,17.0,17.1,17.7,18.4,19.1,19.7
Congo,17.9,18.5,19.0,19.1,19.3,18.9
Congo (Democratic Republic of the),17.4,17.2,17.1,17.0,16.9,16.8
Costa Rica,23.1,24.3,25.6,27.4,29.2,31.4
Croatia,35.8,37.9,38.9,40.5,41.7,42.6
Cuba,27.7,30.2,32.8,35.6,38.5,41.1
Cyprus,29.9,31.0,31.8,32.9,33.9,34.9
Czechia,35.3,36.1,37.5,38.7,39.6,41.4
Côte d'Ivoire,17.5,17.9,18.0,17.8,17.9,18.3
Denmark,37.1,37.7,38.4,39.6,40.6,41.6
Djibouti,17.4,18.1,19.3,20.1,21.9,23.7
Dominican Republic,20.2,21.3,22.4,23.6,24.8,26.1
Ecuador,20.5,21.6,22.8,23.9,25.2,26.6
Egypt,19.6,20.1,21.2,22.6,23.9,24.7
El Salvador,19.7,21.0,22.0,23.0,24.2,25.8
Equatorial Guinea,19.1,18.9,19.6,20.6,21.6,22.2
Eritrea,17.5,16.1,17.1,18.5,18.9,18.9
Estonia,34.4,36.4,38.0,39.4,40.2,41.6
Eswatini (Kingdom of),16.0,16.3,17.2,18.0,19.2,20.4
Ethiopia,16.8,16.7,16.6,16.8,17.5,18.6
Fiji,20.9,21.6,22.1,25.3,26.5,27.6
Finland,36.4,37.8,39.4,40.9,42.0,42.5
France,35.0,36.4,37.7,38.9,40.0,41.2
Gabon,19.4,19.2,19.4,20.2,21.5,22.6
Gambia,17.0,16.6,16.8,16.8,16.8,17.0
Georgia,31.0,32.3,33.8,35.0,36.6,38.0
Germany,37.6,38.4,40.1,42.1,44.3,45.9
Ghana,17.8,18.4,18.8,19.3,19.9,20.4
Greece,35.1,36.4,37.8,39.3,41.0,43.3
Grenada,20.4,20.9,21.8,23.3,25.0,27.2
Guatemala,16.9,17.2,17.7,18.5,19.7,21.3
Guinea,18.2,17.9,17.8,17.8,18.1,18.4
Guinea-Bissau,16.9,17.0,17.1,17.8,18.4,18.9
Guyana,21.1,21.7,22.6,22.9,24.3,24.6
Haiti,18.5,18.5,19.1,20.3,21.6,23.0
Honduras,16.9,17.5,18.4,19.5,21.1,23.0
"Hong Kong, China (SAR)",31.0,34.0,36.2,39.1,41.2,43.2
Hungary,36.4,37.5,38.5,39.1,40.1,41.7
Iceland,30.0,31.5,32.9,34.3,34.8,36.0
India,21.1,21.8,22.7,23.8,25.1,26.7
Indonesia,21.3,22.8,24.4,25.5,26.7,28.0
Iran (Islamic Republic of),17.2,18.5,20.8,24.1,26.9,29.5
Iraq,16.8,17.5,18.2,18.7,18.9,19.4
Ireland,28.3,30.1,31.8,33.3,34.6,36.9
Israel,25.9,27.3,28.0,28.7,30.1,30.2
Italy,37.0,38.7,40.4,42.0,43.8,45.9
Jamaica,22.3,23.5,24.9,26.2,27.6,29.4
Japan,37.3,39.4,41.2,43.0,44.7,46.3
Jordan,16.8,19.2,19.6,20.8,21.5,22.1
Kazakhstan,26.0,27.1,27.8,28.6,28.9,29.3
Kenya,15.5,16.4,17.0,17.6,18.2,19.0
Kiribati,20.4,19.6,19.7,20.8,21.6,22.4
Korea (Democratic People's Rep. of),25.0,27.3,29.4,31.5,33.0,34.0
Korea (Republic of),26.9,29.3,31.9,34.8,38.0,40.8
Kuwait,23.5,26.6,27.8,28.2,29.5,33.4
Kyrgyzstan,21.8,21.6,22.5,23.8,24.0,25.3
Lao People's Democratic Republic,17.6,17.6,18.0,19.1,20.7,22.7
Latvia,34.7,36.2,37.9,39.5,40.8,42.5
Lebanon,23.2,24.5,26.3,26.5,28.5,28.5
Lesotho,17.7,18.4,18.7,19.4,20.5,21.3
Liberia,17.4,17.8,18.1,18.2,18.3,18.6
Libya,18.5,20.2,22.1,24.0,25.8,27.2
Lithuania,32.7,34.0,35.9,38.5,40.6,42.7
Luxembourg,36.4,36.7,37.3,38.5,38.9,39.3
Madagascar,17.1,17.2,17.3,17.5,18.0,18.7
Malawi,17.1,16.9,16.5,16.4,16.7,17.4
Malaysia,21.6,22.5,23.8,25.0,26.0,27.7
Maldives,16.2,16.7,18.6,22.1,25.0,27.9
Mali,16.5,16.5,16.6,16.5,16.2,16.0
Malta,33.1,35.0,36.2,38.2,40.1,40.9
Mauritania,17.4,17.6,18.2,18.7,19.2,19.7
Mauritius,24.9,26.8,29.0,30.5,32.9,35.6
Mexico,19.5,21.2,22.7,24.2,25.9,27.5
Micronesia (Federated States of),17.6,17.8,18.9,19.5,20.2,21.5
Moldova (Republic of),29.9,30.8,31.3,32.4,34.2,35.6
Mongolia,19.3,20.3,22.0,24.0,25.7,27.1
Montenegro,29.8,32.2,34.4,35.0,36.4,37.7
Morocco,19.8,21.1,22.7,24.4,26.3,27.9
Mozambique,16.2,17.5,17.4,17.1,17.0,17.2
Myanmar,20.8,22.1,23.4,24.7,26.3,27.7
Namibia,17.8,18.6,19.5,19.6,19.9,21.0
Nepal,18.7,19.0,19.3,20.0,21.3,23.2
Netherlands,34.6,36.0,37.5,39.0,40.8,42.1
New Zealand,31.1,32.6,34.3,35.5,36.6,37.3
Nicaragua,16.9,18.0,19.4,21.2,23.1,25.2
Niger,15.8,15.9,15.9,15.4,15.0,14.9
Nigeria,17.4,17.7,17.9,18.0,17.9,17.9
Norway,35.4,36.1,36.9,38.0,38.7,39.2
Oman,17.9,20.9,20.9,22.9,26.2,29.0
Pakistan,18.5,18.6,19.2,20.2,21.4,22.5
"Palestine, State of",15.7,15.7,16.0,17.0,18.2,19.3
Panama,21.7,23.1,24.5,25.9,27.2,28.4
Papua New Guinea,18.7,19.3,19.8,20.4,20.9,21.7
Paraguay,19.4,19.7,20.5,21.9,23.3,24.9
Peru,20.4,21.5,22.8,24.3,25.9,27.5
Philippines,19.2,19.8,20.5,21.3,23.1,24.1
Poland,32.2,33.6,35.0,36.6,38.1,39.7
Portugal,34.2,36.0,37.9,39.5,41.6,43.9
Qatar,28.7,29.0,30.5,31.0,31.8,31.3
Romania,32.6,33.9,34.9,37.0,39.4,41.3
Russian Federation,33.4,35.0,36.5,37.3,38.0,38.7
Rwanda,15.3,17.8,17.3,18.3,19.1,19.4
Saint Lucia,21.4,23.1,24.3,26.2,30.3,32.6
Saint Vincent and the Grenadines,20.4,22.3,24.2,26.3,27.9,29.8
Samoa,18.7,19.1,19.5,20.3,20.8,21.2
Sao Tome and Principe,16.0,16.6,17.3,17.5,17.8,18.1
Saudi Arabia,19.5,19.4,21.3,23.7,25.9,29.8
Senegal,16.4,16.8,17.3,17.8,18.1,18.3
Serbia,33.2,34.1,36.1,37.3,38.8,40.0
Seychelles,21.9,24.5,26.3,29.0,31.3,34.6
Sierra Leone,17.4,17.4,17.5,17.6,17.8,18.3
Singapore,29.3,31.8,34.1,35.9,37.3,40.0
Slovakia,31.2,32.4,33.9,35.4,37.3,39.2
Slovenia,34.1,36.2,38.1,40.0,41.5,43.0
Solomon Islands,16.9,17.9,18.7,19.1,19.5,19.9
Somalia,17.8,17.4,16.5,16.1,16.1,16.5
South Africa,20.1,21.6,22.8,23.8,24.8,26.1
South Sudan,17.8,17.7,17.6,17.7,18.1,18.6
Spain,33.4,35.5,37.6,39.1,40.6,43.2
Sri Lanka,24.2,25.8,27.6,28.9,30.4,32.3
Sudan,17.0,17.7,17.9,18.1,18.3,18.9
Suriname,22.8,23.9,25.1,25.9,27.2,28.4
Sweden,38.4,38.5,39.4,40.3,40.7,40.9
Switzerland,36.9,37.2,38.6,40.1,41.6,42.2
Syrian Arab Republic,16.3,17.5,18.7,19.7,21.5,20.2
Tajikistan,18.1,17.8,18.3,19.8,21.3,22.4
Tanzania (United Republic of),16.8,17.0,17.2,17.2,17.2,17.3
Thailand,24.3,26.6,30.1,32.7,35.5,37.8
The former Yugoslav Republic of Macedonia,29.2,30.7,32.3,34.0,35.7,37.4
Timor-Leste,19.8,19.9,14.8,15.4,17.1,17.4
Togo,16.8,17.0,17.9,18.3,18.6,18.9
Tonga,19.7,19.8,19.9,21.1,21.2,21.3
Trinidad and Tobago,24.1,25.7,27.8,29.9,31.9,33.9
Tunisia,21.3,23.1,25.1,27.2,29.2,31.1
Turkey,22.1,23.5,24.9,26.6,28.3,29.9
Turkmenistan,19.6,20.1,21.7,23.0,24.4,25.6
Uganda,15.9,15.5,15.2,15.1,15.3,15.8
Ukraine,35.3,36.4,37.8,39.1,39.5,40.3
United Arab Emirates,26.7,27.8,28.1,29.8,31.9,33.4
United Kingdom,35.8,36.5,37.6,38.7,39.6,40.2
United States,32.8,34.0,35.2,36.1,36.9,37.6
Uruguay,30.7,31.1,31.6,32.6,33.7,34.9
Uzbekistan,19.6,19.8,21.0,22.8,24.5,26.3
Vanuatu,18.1,18.5,18.9,19.8,21.2,22.2
Venezuela (Bolivarian Republic of),21.0,22.0,23.1,24.4,25.8,27.4
Viet Nam,21.0,22.2,24.2,26.4,28.5,30.4
Yemen,14.3,14.9,15.6,16.8,18.0,19.2
Zambia,16.4,16.5,16.6,16.4,16.5,17.1
Zimbabwe,16.6,17.2,17.8,18.3,18.6,19.0
