Country1_Country2,Human Development Index (HDI),[Education] Education Index,[Education] Expected years of schooling (years),[Education] Mean years of schooling (years),[Health] Life expectancy Index,[Health] Life expectancy at birth (years),[Income_composition of resources] Gross national income (GNI) per capita (2011 PPP$),[Income_composition of resources] Income Index,[Socio-economic sustainability] Research and development expenditure (% of GDP)
AFG_EGY,,0.28255813953488373,0.28301886792452835,0.16666666666666669,0.24280782508630605,0.2442477876106195,,,
AFG_ERI,,,0.037735849056603765,,0.010356731875719227,0.010619469026548756,,,
AFG_ESP,,0.5895348837209304,0.5188679245283019,0.4347826086956523,0.4395857307249712,0.4407079646017701,,,
AFG_EST,,0.6232558139534884,0.40566037735849064,0.6376811594202898,0.2715765247410816,0.27256637168141606,,,
AFG_ETH,,,0.080188679245283,,0.06559263521288838,0.06548672566371677,,,
AFG_FIN,,0.6534883720930235,0.5613207547169812,0.5000000000000001,0.4108170310701956,0.4106194690265488,,,
AFG_FJI,,0.5732558139534883,0.3915094339622642,0.5724637681159421,0.23475258918296882,0.23539823008849559,,,
AFG_FRA,,0.6372093023255815,0.5283018867924528,0.5144927536231885,0.43268124280782505,0.4336283185840709,,,
AFG_FSM,,,,,0.2359033371691599,0.23716814159292054,,,
AFG_GAB,,0.3790697674418605,0.3537735849056604,0.2536231884057971,0.12082853855005748,0.12212389380530975,,,
AFG_GBR,,0.7104651162790697,0.49528301886792453,0.6884057971014493,0.4131185270425777,0.4141592920353985,,,
AFG_GEO,,,0.2971698113207548,,0.30379746835443033,0.3044247787610621,,,
AFG_GHA,,0.2500000000000001,0.14622641509433965,0.28260869565217395,0.06789413118527032,0.06725663716814156,,,
AFG_GIN,,0.05000000000000002,0.04245283018867922,0.03623188405797102,0.03222094361334871,0.03185840707964599,,,
AFG_GMB,,0.033720930232558094,0.05188679245283022,0.007246376811594207,0.012658227848101333,0.01415929203539823,,,
AFG_GNB,,,0.04245283018867928,,0.0391254315304948,0.03893805309734516,,,
AFG_GNQ,,,,,0.04372842347525896,0.042477876106194634,,,
AFG_GRC,,0.5139534883720931,0.3915094339622642,0.463768115942029,0.43153049482163397,0.4318584070796462,,,
AFG_GRD,,,0.4245283018867925,,0.28423475258918296,0.28495575221238933,,,
AFG_GTM,,0.15116279069767438,0.1273584905660377,0.11594202898550725,0.21518987341772144,0.21592920353982314,,,
AFG_GUY,,0.4058139534883721,0.28301886792452835,0.391304347826087,0.19102416570771008,0.19115044247787616,,,
AFG_HKG,,0.5569767441860466,0.4245283018867925,0.5000000000000001,0.4568469505178365,0.4584070796460179,,,
AFG_HND,,0.23139534883720927,0.22169811320754723,0.14492753623188404,0.2784810126582278,0.2796460176991151,,,
AFG_HRV,,0.44767441860465107,0.3207547169811321,0.42753623188405804,0.36248561565017257,0.36283185840707977,,,
AFG_HTI,,0.15348837209302327,0.14150943396226412,0.10144927536231886,0.0552359033371691,0.05486725663716818,,,
AFG_HUN,,0.6046511627906977,0.40566037735849064,0.6086956521739132,0.2968929804372842,0.2973451327433628,,,
AFG_IDN,,0.29186046511627906,0.2641509433962264,0.2028985507246377,0.20943613348676637,0.20884955752212397,,,
AFG_IND,,0.1872093023255814,0.169811320754717,0.13043478260869568,0.1300345224395857,0.13097345132743365,,,
AFG_IRL,,0.6093023255813955,0.4009433962264151,0.6231884057971014,0.3935558112773302,0.3946902654867257,,,
AFG_IRN,,0.35232558139534886,0.31132075471698123,0.26086956521739135,0.2692750287686996,0.2690265486725665,,,
AFG_IRQ,,0.23604651162790694,0.20283018867924535,0.17391304347826086,0.2692750287686996,0.2707964601769912,,,
AFG_ISL,,0.6418604651162791,0.5330188679245284,0.5144927536231885,0.4487917146144993,0.4495575221238939,,,
AFG_ISR,,0.6732558139534884,0.42924528301886794,0.7101449275362319,0.43268124280782505,0.4336283185840709,,,
AFG_ITA,,0.5523255813953489,0.4575471698113209,0.44927536231884063,0.4395857307249712,0.4407079646017701,,,
AFG_JAM,,0.40697674418604657,0.3207547169811321,0.34782608695652173,0.32681242807825084,0.32743362831858414,,,
AFG_JOR,,0.5348837209302326,0.3584905660377358,0.5362318840579711,0.3095512082853855,0.31150442477876106,,,
AFG_JPN,,0.6395348837209303,0.4575471698113209,0.6086956521739132,0.4718066743383197,0.47256637168141613,,,
AFG_KAZ,,0.536046511627907,0.34905660377358494,0.5507246376811594,0.17721518987341778,0.17699115044247793,,,
AFG_KEN,,0.2395348837209301,0.18867924528301888,0.2028985507246377,0.005753739930955071,0.005309734513274267,,,
AFG_KGZ,,0.4802325581395349,0.28301886792452835,0.5289855072463768,0.22094361334867652,0.22123893805309747,,,
AFG_KHM,,0.1290697674418604,0.12264150943396228,0.07971014492753627,0.03797468354430372,0.038938053097345215,,,
AFG_KIR,,,0.3018867924528303,,0.16455696202531644,0.1663716814159294,,,
AFG_KNA,,,0.3962264150943397,,0.2727272727272727,0.27256637168141606,,,
AFG_KOR,,0.6523255813953488,0.4858490566037737,0.5942028985507246,0.36823935558112764,0.368141592920354,,,
AFG_KWT,,0.4372093023255814,0.41037735849056617,0.28985507246376807,0.3417721518987341,0.34159292035398237,,,
AFG_LAO,,0.16046511627906965,0.13207547169811334,0.12318840579710151,0.05638665132336007,0.05663716814159303,,,
AFG_LBN,,,0.38207547169811323,,0.33601841196777893,0.33628318584070804,,,
AFG_LBR,,,,0.09420289855072471,0.044879171461449874,0.04424778761061937,,,
AFG_LBY,,0.45232558139534884,0.4905660377358491,0.2173913043478261,0.2911392405063291,0.2920353982300886,,,
AFG_LCA,,,0.4009433962264151,,0.31185270425776757,0.313274336283186,,,
AFG_LIE,,,,0.5507246376811594,0.4223245109321059,0.4230088495575224,,,
AFG_LKA,,0.5255813953488373,0.34905660377358494,0.5362318840579711,0.2784810126582278,0.2796460176991151,,,
AFG_LSO,,0.27790697674418596,0.24528301886792464,0.2028985507246377,0.03222094361334871,0.03362831858407084,,,
AFG_LTU,,0.5686046511627908,0.3679245283018868,0.5869565217391305,0.28998849252013803,0.2902654867256639,,,
AFG_LUX,,0.5430232558139536,0.3632075471698114,0.5507246376811594,0.4085155350978136,0.40884955752212393,,,
AFG_LVA,,0.5127906976744186,0.3443396226415095,0.5144927536231885,0.2577675489067892,0.2584070796460177,,,
AFG_MAR,,0.13139534883720924,0.13207547169811334,0.07246376811594206,0.24165707710011497,0.24247787610619487,,,
AFG_MCO,,,,,,,,,
AFG_MDA,,0.46046511627906983,0.2877358490566038,0.4927536231884057,0.23360184119677796,0.23539823008849559,,,
AFG_MDG,,,0.13679245283018876,,0.03337169159953973,0.03362831858407084,,,
AFG_MDV,,0.20697674418604647,0.21698113207547176,0.10869565217391307,0.2278481012658229,0.22831858407079664,,,
AFG_MEX,,0.38023255813953494,0.29245283018867935,0.33333333333333337,0.3475258918296892,0.34867256637168154,,,
AFG_MHL,,,,,,,,,
AFG_MKD,,,0.3160377358490567,,0.332566168009206,0.33274336283185846,,,
AFG_MLI,,0.07790697674418604,0.06132075471698113,0.06521739130434782,0.12197928653624857,0.12035398230088484,,,
AFG_MLT,,0.5058139534883722,0.4150943396226416,0.41304347826086957,0.4200230149597237,0.4194690265486727,,,
AFG_MMR,,0.1290697674418604,0.13679245283018876,0.06521739130434785,0.12888377445339472,0.12920353982300892,,,
AFG_MNE,,,,,0.35903337169159943,0.3592920353982302,,,
AFG_MNG,,0.3441860465116279,0.1603773584905661,0.4347826086956523,0.14039125431530497,0.13982300884955756,,,
AFG_MOZ,,0.01511627906976748,0.014150943396226412,0.014492753623188415,0.13118527042577677,0.1309734513274336,,,
AFG_MRT,,0.06860465116279066,0.05660377358490566,0.05797101449275367,0.10701956271576518,0.10796460176991163,,,
